,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type
621,0.0,0.0,0.0,11,1,1,What is an example of a song by john lee hooker,[['dbo:writer']],['dbo:artist'],factoid
634,0.0,0.0,0.0,11,2,0,What is the common genere of Abhijit Kunte and Kasparov ?,"[['dbp:knownFor'], ['dbo:genre']]",[],factoid
648,0.0,0.0,0.0,8,1,2,"which county is whitley heights, los angeles in",[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid
657,0.0,0.0,0.0,9,2,3,What was developed by someone working in Cockroach Labs?,"[['dbp:employer'], ['dbp:author']]","['dbo:developer', 'dbo:operatingSystem', 'dbp:developer']",factoid
708,0.0,0.0,0.0,3,1,2,Who created Wikipedia?,[['dbo:author']],"['dbo:creator', 'dbp:creators']",factoid
709,0.0,0.0,0.0,8,1,6,Name the associate acts of  Martin Pugh?,[['dbp:associatedActs']],"['dbo:associatedBand', 'dbo:associatedMusicalArtist', 'dbp:artist', 'dbp:music', 'dbp:starring', 'dbp:themeMusicComposer']",list
717,0.0,0.0,0.0,5,1,1,Who wrote the red violin?,[['dbo:writer']],['dbo:instrument'],factoid
726,0.0,0.0,0.0,7,1,1,how would you label maurice gibb's music,[['dbo:genre']],['dbo:recordLabel'],factoid
728,0.0,0.0,0.0,6,1,1,which country was louis tellier born,[['dbp:birthPlace']],['dbo:birthPlace'],factoid
737,0.0,0.0,0.0,14,2,2,"What all are in the states whose anthem is Ja, vi esker dette landet?","[['dbo:anthem'], ['dbo:country']]","['dbo:capital', 'dbo:currency']",factoid
756,0.0,0.0,0.0,7,1,1,What genre is king of the hill,[['dbo:genre']],['dbo:literaryGenre'],factoid
777,0.0,0.0,0.0,7,1,4,Who was on the Apollo 11 mission?,[['dbp:crewMembers']],"['dbo:musicComposer', 'dbp:mission', 'dbp:modes', 'dbp:type']",factoid
832,0.0,0.0,0.0,6,1,1,What style tv program is blood-c?,[['dbp:genre']],['dbo:genre'],factoid
841,0.0,0.0,0.0,10,2,1,Which U.S. states are in the same timezone as Utah?,"[['dbp:timezone'], ['dbp:timezone']]",['dbo:timeZone'],factoid
879,0.0,0.0,0.0,9,1,1,What is an album by the royal philharmonic orchestra,[['dbo:artist']],['dbo:type'],factoid
904,0.0,0.0,0.0,10,1,1,What type of rock is new ipswich mountain made of,[['dbo:type']],['dbo:genre'],factoid
908,0.0,0.0,0.0,16,2,3,Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?,"[['dbo:composer'], ['dbp:company']]","['dbp:themeMusicComposer', 'dbp:voices', 'dbp:writer']",list
909,0.0,0.0,0.0,6,1,2,What US state is watervale located?,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid
954,0.0,0.0,0.0,7,1,3,Who is the founder of Penguin Books?,[['dbo:founder']],"['dbo:author', 'dbo:foundedBy', 'dbo:publisher']",factoid
973,0.0,0.0,0.0,12,1,1,Who was the writer for the episode titled old money (the simpsons),[['dbp:writer']],['dbo:writer'],factoid
990,0.0,0.0,0.0,8,1,2,"what type of style is jama masjid, delhi?",[['dbp:architectureStyle']],"['dbo:architecturalStyle', 'dbo:genre']",factoid
1013,0.0,0.0,0.0,5,1,1,what anime aired in 1968?,[['dbo:language']],['dbp:genre'],factoid
1030,0.0,0.0,0.0,6,1,0,What is the wavelength of Indigo?,[['dbo:wavelength']],[],factoid
1068,0.0,0.0,0.0,5,1,2,Where was pallavi purohit born,[['dbo:nationality']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid
1103,0.0,0.0,0.0,11,1,4,Did the New Way party merge in the One Israel party?,[['dbo:mergedIntoParty']],"['dbo:leader', 'dbo:leaderName', 'dbp:constituency', 'dbp:party']",boolean
1119,0.0,0.0,0.0,5,1,4,Which rivers start in Wyoming?,[['dbo:sourceRegion']],"['dbo:city', 'dbo:hometown', 'dbo:sourceMountain', 'dbo:state']",factoid
1137,0.0,0.0,0.0,9,1,3,Was the body of Elsie Paroubek discovered in Chicago?,[['dbo:bodyDiscovered']],"['dbo:discoverer', 'dbo:location', 'dbp:discoverer']",boolean
1138,0.0,0.0,0.0,7,1,3,how was beat street sold in stores,[['dbo:type']],"['dbo:distributor', 'dbo:foundationPlace', 'dbo:publisher']",factoid
1141,0.0,0.0,0.0,12,2,4,List the other members of the team where Jason Hayne currently plays?,"[['dbo:currentMember'], ['dbp:name']]","['dbo:formerTeam', 'dbo:team', 'dbp:nationalteam', 'dbp:playedFor']",list
1146,0.0,0.0,0.0,9,1,0,What is the automobile platform of Chiva bus ?,[['dbo:automobilePlatform']],[],factoid
1151,0.0,0.0,0.0,15,1,2,When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,[['dbo:releaseDate']],"['dbo:cinematography', 'dbo:country']",factoid
1153,0.0,0.0,0.0,6,1,1,what kind of album is reallive!,[['dbo:type']],['dbo:genre'],factoid
1165,0.0,0.0,0.0,8,1,2,Which country did anthony acid have nationality in,[['dbo:hometown']],"['dbo:birthPlace', 'dbo:nationality']",factoid
1199,0.0,0.0,0.0,13,2,5, Wringer (novel) and Maniac Magee is the notable work of which author?,"[['dbp:notableworks'], ['dbp:notableworks']]","['dbo:author', 'dbo:literaryGenre', 'dbo:nonFictionSubject', 'dbo:notableWork', 'dbp:author']",list
1223,0.0,0.0,0.0,9,1,1,Name a military leader from the battle of culloden,[['dbo:battle']],['dbo:place'],list
1251,0.0,0.0,0.0,15,2,6,Which district of Fort Heath radar station is also the state of Joesph Story ?,"[['dbp:district'], ['dbp:state']]","['dbo:broadcastArea', 'dbo:city', 'dbo:location', 'dbp:area', 'dbp:broadcastArea', 'dbp:city']",factoid
1279,0.0,0.0,0.0,8,1,1,what is a work by donovan leitch (actor),[['dbo:director']],['dbo:writer'],factoid
1291,0.0,0.0,0.0,8,1,2,which country is john jones a citizen of,[['dbo:hometown']],"['dbo:birthPlace', 'dbo:nationality']",factoid
1349,0.0,0.0,0.0,12,2,2,What are some team members of the team based in Camp Nou?,"[['dbo:homeStadium'], ['dbp:name']]","['dbo:ground', 'dbo:locationCity']",factoid
1355,0.0,0.0,0.0,10,1,3,President of Ghana is the leader title of which country?,[['dbp:leaderTitle']],"['dbo:country', 'dbo:leader', 'dbp:allegiance']",list
1367,0.0,0.0,0.0,6,1,1,Where was jim mitchell (cartoonist) born?,[['dbp:birthPlace']],['dbo:birthPlace'],factoid
1379,0.0,0.0,0.0,8,1,1,Name an album from the Black Label Society,[['dbo:genre']],['dbo:recordLabel'],list
1382,0.0,0.0,0.0,15,2,1,"Enumerate all the first teams of the GPs which were held in Watkins Glen, NY?","[['dbp:location'], ['dbp:firstTeam']]",['dbo:locationCity'],count
1395,0.0,0.0,0.0,12,1,6,How many television shows have  Fox Broadcasting Company as their channel?,[['dbp:channel']],"['dbo:channel', 'dbo:network', 'dbp:company', 'dbp:network', 'dbp:sisterNames', 'dbp:voices']",count
1401,0.0,0.0,0.0,8,1,1,Name a game published by delta tao software?,[['dbo:developer']],['dbo:publisher'],list
1406,0.0,0.0,0.0,7,1,2,Who are currently playing for Barcelona FC?,[['dbp:currentclub']],"['dbo:formerTeam', 'dbo:team']",factoid
1418,0.0,0.0,0.0,9,2,1,Who composed songs in the Mr Tambourine Man album?,"[['dbp:album'], ['dbo:composer']]",['dbo:writer'],factoid
1428,0.0,0.0,0.0,10,1,1,In which company is Raymond Conner at an important position?,[['dbo:keyPerson']],['dbp:keyPeople'],factoid
1455,0.0,0.0,0.0,6,1,4,Where is Richard Stites located ?,[['dbo:birthPlace']],"['dbo:country', 'dbo:district', 'dbo:isPartOf', 'dbo:region']",factoid
1470,0.0,0.0,0.0,8,1,2,When did the Boston Tea Party take place?,[['dbp:date']],"['dbo:leaderName', 'dbo:place']",factoid
1490,0.0,0.0,0.0,6,1,1,what language is kaffe written in?,[['dbo:programmingLanguage']],['dbo:language'],factoid
1494,0.0,0.0,0.0,10,1,1,Was A foreign policy on freedom covered by John Trumbull?,[['dbp:coverArtist']],['dbo:type'],boolean
1507,0.0,0.0,0.0,6,1,1,who wrote the episode mother simpson,[['dbp:writer']],['dbo:writer'],factoid
1515,0.0,0.0,0.0,10,1,4,Does the Toyota Verossa have the front engine design platform?,[['dbo:automobilePlatform']],"['dbo:manufacturer', 'dbp:designer', 'dbp:engine', 'dbp:related']",boolean
1546,0.0,0.0,0.0,6,1,2,which music is produced by speed,[['dbo:hometown']],"['dbo:genre', 'dbo:recordLabel']",factoid
1564,0.0,0.0,0.0,7,1,1,which 2009 album was released by adele?,[['dbo:artist']],['dbo:type'],factoid
1592,0.0,0.0,0.0,12,2,1,In how many states can one find Burr Tuss kind of bridges?,"[['dbo:state'], ['dbp:style']]",['dbo:locatedInArea'],count
1596,0.0,0.0,0.0,5,1,4,where was jános vass deliveed,[['dbo:birthPlace']],"['dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:region']",factoid
1621,0.0,0.0,0.0,10,1,1,what music is played in the one for all album,[['dbo:genre']],['dbo:musicComposer'],factoid
1636,0.0,0.0,0.0,4,1,1,Where did cyprian die,[['dbp:deathPlace']],['dbo:deathPlace'],factoid
1642,0.0,0.0,0.0,8,1,1,What empire was gustav kirchhoff a part of,[['dbo:nationality']],['dbo:battle'],factoid
1651,0.0,0.0,0.0,6,1,1,which position does frank broyles play,[['dbp:playerPositions']],['dbo:position'],factoid
1665,0.0,0.0,0.0,14,1,2,What is the country whose speaker of the Dewan Rakyat is Pandikar Amin Mulia?,[['dbp:leaderName']],"['dbo:officialLanguage', 'dbp:placeOfBirth']",factoid
1693,0.0,0.0,0.0,6,1,8,What is an airport inside ontario?,[['dbp:cityServed']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:province', 'dbo:region', 'dbo:state']",factoid
1716,0.0,0.0,0.0,5,1,1,what nationality is Émilie loit,[['dbo:country']],['dbo:birthPlace'],factoid
1728,0.0,0.0,0.0,12,1,1,Who gave the musical score  of 9 to 5 (musical) ?,[['dbo:musicBy']],['dbo:musicComposer'],factoid
1730,0.0,0.0,0.0,5,1,1,Give me all Swedish holidays.,[['dbo:country']],['dbo:location'],list
1753,0.0,0.0,0.0,9,1,2,How many people currently play for the NYC FC?,[['dbp:currentclub']],"['dbo:formerTeam', 'dbo:team']",count
1754,0.0,0.0,0.0,8,1,3,Was the Model K designed by Herny Ford?,[['dbo:designCompany']],"['dbo:architect', 'dbo:manufacturer', 'dbp:designer']",boolean
1765,0.0,0.0,0.0,7,1,1,what is  john e. thrashers religion,[['dbo:religion']],['dbo:genre'],factoid
1769,0.0,0.0,0.0,6,1,2,what are simple minds album names,[['dbo:artist']],"['dbo:genre', 'dbo:type']",factoid
1781,0.0,0.0,0.0,8,1,2,From which country is Lawrence Okoye's nationality ?,[['dbp:nationality']],"['dbo:birthPlace', 'dbo:nationality']",factoid
1789,0.0,0.0,0.0,7,1,1,what type of store is forever 21,[['dbo:industry']],['dbo:genre'],factoid
1845,0.0,0.0,0.0,9,1,3,What is a body of work by sean delaney,[['dbo:artist']],"['dbo:author', 'dbo:notableWork', 'dbo:writer']",factoid
1847,0.0,0.0,0.0,4,1,2,Who is les schwab?,[['dbo:occupation']],"['dbo:genre', 'dbo:type']",factoid
1869,0.0,0.0,0.0,6,1,1,what types of play is geist,[['dbp:modes']],['dbo:genre'],factoid
1873,0.0,0.0,0.0,12,1,8,"Did James brown make the song Killing is Out, School Is In?",[['dbo:musicalBand']],"['dbo:album', 'dbo:artist', 'dbo:associatedBand', 'dbo:musicalArtist', 'dbo:recordedIn', 'dbo:subsequentWork', 'dbp:album', 'dbp:artist']",boolean
1899,0.0,0.0,0.0,11,2,0,What is the common school of Chris Marve and Neria Douglass?,"[['dbo:school'], ['dbo:almaMater']]",[],factoid
1902,0.0,0.0,0.0,6,1,1,where was  andrzej pałys born,[['dbo:nationality']],['dbo:birthPlace'],factoid
1921,0.0,0.0,0.0,8,1,5,What is the region of Lumberjack  ?,[['dbp:region']],"['dbo:country', 'dbo:isPartOf', 'dbo:occupation', 'dbo:region', 'dbo:state']",factoid
1956,0.0,0.0,0.0,12,2,4,What is the home stadium of the club coached by Justine Omojong?,"[['dbp:coach'], ['dbp:homeStadium']]","['dbo:formerTeam', 'dbo:locationCity', 'dbp:nationalteam', 'dbp:youthclubs']",factoid
1963,0.0,0.0,0.0,8,1,4,Tandem Computers is the subsidiary of which company?,[['dbo:subsidiary']],"['dbo:product', 'dbp:foundation', 'dbp:products', 'dbp:services']",factoid
1970,0.0,0.0,0.0,11,1,0,Was the street dogs of south central narrated by Queen Latifah?,[['dbp:narrator']],[],boolean
1976,0.0,0.0,0.0,7,1,1,What football position does matt odonnell play?,[['dbp:position']],['dbo:position'],factoid
2009,0.0,0.0,0.0,9,1,7,Is Rajya Sabha a house of parliament in India?,[['dbp:houses']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",boolean
2036,0.0,0.0,0.0,7,1,2,"What type of film is ""Mockingbird Lane""?",[['dbo:genre']],"['dbo:director', 'dbo:language']",factoid
2061,0.0,0.0,0.0,7,1,1,which musical films were broadcasted in israel?,"[['dbo:genre', 'dbp:genre']]",['dbo:musicComposer'],factoid
2074,0.0,0.0,0.0,11,2,2,On which river are there things belonging to zambezi river authority?,"[['dbp:owner'], ['dbo:river']]","['dbo:leader', 'dbp:governingBody']",factoid
2080,0.0,0.0,0.0,3,1,1,Who developed Slack?,[['dbo:product']],['dbo:developer'],factoid
2090,0.0,0.0,0.0,4,1,3,Where is tirich mir,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf', 'dbo:region']",factoid
2095,0.0,0.0,0.0,5,1,2,where was amy vanderbilt born,[['dbo:deathPlace']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid
2107,0.0,0.0,0.0,7,1,1,What song was written by vonda shepard?,[['dbo:artist']],['dbo:writer'],factoid
2114,0.0,0.0,0.0,6,1,1,which film did siddiq barmak direct,[['dbo:editing']],['dbo:director'],factoid
2126,0.0,0.0,0.0,11,1,3,Name the home Stadium of Kenya national under-20 football team ?,[['dbp:homeStadium']],"['dbo:ground', 'dbo:homeStadium', 'dbp:stadium']",list
2133,0.0,0.0,0.0,7,1,1,what is a song by roger whittaker,[['dbo:writer']],['dbo:artist'],factoid
2159,0.0,0.0,0.0,10,1,4,What is the country whose leader name is Grard Larcher?,[['dbp:leaderName']],"['dbo:leader', 'dbo:leaderName', 'dbp:allegiance', 'dbp:governingBody']",factoid
2181,0.0,0.0,0.0,7,1,2,Is Tirana the largest city of Albania?,[['dbp:largestCity']],"['dbo:capital', 'dbo:largestCity']",boolean
2212,0.0,0.0,0.0,7,1,1,What style of art does dueljewel create?,[['dbo:genre']],['dbo:movement'],factoid
2245,0.0,0.0,0.0,10,1,1,"Does the white river flow into the connecticut river{u'_id': u'97e02dcf44aa43c1b7cc7a7c155b118f',",[['dbo:rightTributary']],['dbo:riverMouth'],boolean
2277,0.0,0.0,0.0,13,2,1,From which genres of music did those genres emerge where drums are important?,"[['dbp:instruments'], ['dbo:stylisticOrigin']]",['dbo:genre'],factoid
2286,0.0,0.0,0.0,4,1,3,which country contains adevărul,[['dbo:headquarter']],"['dbo:country', 'dbo:isPartOf', 'dbo:region']",factoid
2310,0.0,0.0,0.0,7,1,1,what music was composed by b. reith,[['dbo:recordLabel']],['dbo:writer'],factoid
2312,0.0,0.0,0.0,7,1,2,which country was george schmidt born in,[['dbp:birthPlace']],"['dbo:birthPlace', 'dbo:nationality']",factoid
2314,0.0,0.0,0.0,8,1,2,Is Ingo Steuer the formercoach of Stanislav Morozov?,[['dbp:formercoach']],"['dbp:birthPlace', 'dbp:placeOfBirth']",boolean
2315,0.0,0.0,0.0,7,1,0,In which department does Raymond Baldwin work?,[['dbp:branch']],[],factoid
2332,0.0,0.0,0.0,6,1,1,which country is aliff aziz from,[['dbo:hometown']],['dbo:birthPlace'],factoid
2333,0.0,0.0,0.0,10,2,8,Which sitcoms are made by a company headquartered in NYC?,"[['dbo:company'], ['dbo:headquarter']]","['dbo:distributor', 'dbo:locationCity', 'dbo:manufacturer', 'dbo:product', 'dbp:company', 'dbp:headquarters', 'dbp:products', 'dbp:services']",factoid
2335,0.0,0.0,0.0,9,1,3,What is the province of Rouen Business School ?,[['dbp:province']],"['dbo:city', 'dbo:country', 'dbo:state']",factoid
2337,0.0,0.0,0.0,7,1,1,what is the nationality of tomasz szczypiński?,[['dbo:nationality']],['dbo:birthPlace'],factoid
2338,0.0,0.0,0.0,9,1,1,what type of album is hot! live and otherwise?,[['dbo:genre']],['dbo:type'],factoid
2354,0.0,0.0,0.0,7,1,1,what is an album by jerry garcia?,[['dbo:type']],['dbo:artist'],factoid
2355,0.0,0.0,0.0,8,1,1,what city and state are post records from,[['dbo:hometown']],['dbo:recordLabel'],factoid
2367,0.0,0.0,0.0,10,1,3,Name the movies writtten by the group Monty Python ?,[['dbp:writer']],"['dbo:starring', 'dbp:artist', 'dbp:starring']",list
2378,0.0,0.0,0.0,7,1,3,Give me all animals that are extinct.,[['dbo:conservationStatus']],"['dbo:family', 'dbo:order', 'dbo:species']",list
2414,0.0,0.0,0.0,9,2,5,How many years was the Ford Model T manufactured?,"[['dbo:productionEndYear'], ['dbo:productionStartYear']]","['dbo:class', 'dbo:layout', 'dbo:manufacturer', 'dbo:successor', 'dbp:related']",count
2426,0.0,0.0,0.0,6,1,3,Which country was john smith from,[['dbo:country']],"['dbo:birthPlace', 'dbo:hometown', 'dbo:nationality']",factoid
2430,0.0,0.0,0.0,8,1,1,what genre is the demon spirit classified as,[['dbo:literaryGenre']],['dbo:genre'],factoid
2441,0.0,0.0,0.0,14,2,3,Which country were the people from who became famous for the Ramon Mangsaysay Award?,"[['dbo:knownFor'], ['dbo:stateOfOrigin']]","['dbo:almaMater', 'dbo:award', 'dbp:awards']",factoid
2499,0.0,0.0,0.0,10,1,2,What is the currency of Republic of Montenegro (1992-2006) ?,[['dbp:currency']],"['dbo:capital', 'dbo:currency']",factoid
2520,0.0,0.0,0.0,5,1,1,who made the film scooby-doo,[['dbo:writer']],['dbo:producer'],factoid
2534,0.0,0.0,0.0,7,1,3,what is kapil dev's country of nationality?,[['dbo:birthPlace']],"['dbo:country', 'dbo:hometown', 'dbo:nationality']",factoid
2537,0.0,0.0,0.0,10,2,6,whose is famous works are Maniac Magee and Wringer ?,"[['dbp:notableworks'], ['dbp:notableworks']]","['dbo:author', 'dbo:doctoralStudent', 'dbo:field', 'dbo:knownFor', 'dbo:notableWork', 'dbp:fields']",factoid
2556,0.0,0.0,0.0,7,1,0,Is Angola Avante the anthem of Angola?,[['dbo:anthem']],[],boolean
2560,0.0,0.0,0.0,11,2,3,Who is the common parent of Gettv and hypnotize mind ?,"[['dbo:parentOrganisation'], ['dbp:parent']]","['dbo:parent', 'dbp:distributor', 'dbp:label']",factoid
2570,0.0,0.0,0.0,7,1,1,What's a song written by jack johnson,[['dbo:artist']],['dbo:writer'],factoid
2573,0.0,0.0,0.0,6,1,2,What country is harry winston from,[['dbo:birthPlace']],"['dbo:country', 'dbo:nationality']",factoid
2578,0.0,0.0,0.0,7,1,1,Which university provides license for WRVU ?,[['dbp:licensee']],['dbo:license'],factoid
2582,0.0,0.0,0.0,8,1,3,pico basilé is a part of what island?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:location', 'dbo:region']",list
2597,0.0,0.0,0.0,6,1,2,which actor was born in sydney?,[['dbo:occupation']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid
2601,0.0,0.0,0.0,8,1,1,Is Lyndon bridge a kind of Truss bridge?,[['dbp:design']],['dbo:type'],boolean
2615,0.0,0.0,0.0,7,1,1,What genre is against a dark background,[['dbo:literaryGenre']],['dbo:genre'],factoid
2634,0.0,0.0,0.0,16,1,1,What country was the film living dolls: the making of a child beauty queen created in,[['dbo:director']],['dbo:country'],factoid
2649,0.0,0.0,0.0,9,2,3,Who collaborated with Johnny Cash and Kris Kristofferson ?,"[['dbp:associatedActs'], ['dbp:associatedActs']]","['dbo:associatedMusicalArtist', 'dbp:keyPeople', 'dbp:label']",factoid
2650,0.0,0.0,0.0,4,1,3,Where did rian james,[['dbo:deathPlace']],"['dbo:birthPlace', 'dbo:country', 'dbo:hometown']",factoid
2672,0.0,0.0,0.0,15,2,5,In which state does the ambassador who is in related with J Bennett Johnston live?,"[['dbo:relation'], ['dbp:state']]","['dbo:residence', 'dbo:stateOfOrigin', 'dbp:birthPlace', 'dbp:placeOfBirth', 'dbp:successor']",factoid
2689,0.0,0.0,0.0,6,1,5,what towns are in lasalle county,[['dbo:writer']],"['dbo:city', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",factoid
2705,0.0,0.0,0.0,5,1,2,where was saraswathi gora born?,[['dbo:nationality']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid
2711,0.0,0.0,0.0,6,1,1,what country is cher (department) in?,[['dbo:isPartOf']],['dbo:country'],factoid
2713,0.0,0.0,0.0,6,1,1,which newspaper spread in hong kong,[['dbp:publishingCountry']],['dbo:headquarter'],factoid
2726,0.0,0.0,0.0,5,1,1,What is Jacek Boucki's nationality?,[['dbo:nationality']],['dbo:birthPlace'],factoid
2757,0.0,0.0,0.0,8,1,2,What is the government type of Kumta ?,[['dbp:governmentType']],"['dbo:governmentType', 'dbo:type']",factoid
2767,0.0,0.0,0.0,5,1,1,where is pepe martínez from?,[['dbo:hometown']],['dbo:birthPlace'],factoid
2786,0.0,0.0,0.0,5,1,0,How tall is Michael Jordan?,[['dbo:height']],[],factoid
2797,0.0,0.0,0.0,8,1,3,what type of software is virtuoso universal server,[['dbo:genre']],"['dbo:computingPlatform', 'dbo:industry', 'dbo:license']",factoid
2801,0.0,0.0,0.0,9,2,3,Which city's neighboring municipalities are Lancy and  Pregny-Chambsy?,"[['dbo:neighboringMunicipality'], ['dbp:neighboringMunicipalities']]","['dbo:largestCity', 'dbo:nearestCity', 'dbp:cities']",factoid
2813,0.0,0.0,0.0,14,1,2,what is the name of the album by the American groove metal band Skinlab,[['dbo:type']],"['dbo:artist', 'dbo:recordLabel']",factoid
