,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,training_count
370,0.0,0.0,0.0,10,2,0,Which venues are located at places governed by John Roberts?,"[['dbp:address'], ['dbo:leader']]",[],"[[11], [32]]"
372,0.0,0.0,0.0,15,2,0,How many other family of the mammals exists  whose family is also Hominidae ?,"[['dbo:family'], ['dbo:family']]",[],"[[20], [20]]"
380,0.0,0.0,0.0,6,1,2,Where is the cogalnic river located?,[['dbo:sourceCountry']],"['dbo:country', 'dbo:district']",[[22]]
385,0.0,0.0,0.0,17,2,0,"What is the river whose source region is North-Western Province, Zambia and river mouth is Indian Ocean?","[['dbo:riverMouth'], ['dbp:sourceRegion']]",[],"[[39], [7]]"
396,0.0,0.0,0.0,8,1,0,Name the mouth country of Upper Neretva ?,[['dbo:mouthCountry']],[],[[5]]
397,0.0,0.0,0.0,9,1,0,Do the asiana airlines fly  to Jeju airport?,[['dbo:targetAirport']],[],[[12]]
409,0.5,0.5,0.5,16,2,2,"Who are the people which were the influencer of the person, who influenced Costanzo Preve ?","[['dbo:influencedBy'], ['dbo:influencedBy']]","['dbo:influenced', 'dbo:influencedBy']","[[244], [244]]"
416,0.0,0.0,0.0,5,1,0,What is the highest mountain?,[['dbo:elevation']],[],[[7]]
421,0.0,0.0,0.0,14,2,0,Which moto of american Classical League is also the academic discipline of Probus ?,"[['dbp:motto'], ['dbo:academicDiscipline']]",[],"[[1], [10]]"
424,0.0,0.0,0.0,5,1,0,Was Castillo discovered by Galileo?,[['dbp:discoverer']],[],[[4]]
432,0.0,0.0,0.0,11,1,0,who was the president under which Joe Purcell is a lieutenant?,[['dbo:lieutenant']],[],[[6]]
486,0.0,0.0,0.0,10,1,0,Is the Vadodara railway junction onwed by Indian Railway Ministry?,[['dbo:owningOrganisation']],[],[[9]]
496,0.0,0.0,0.0,7,2,1,What awards have been given to Screenwriters?,"[['dbp:occupation'], ['dbp:awards']]",['dbo:occupation'],"[[7], [50]]"
497,0.0,0.0,0.0,6,1,1,Where was Al-Muzaffar Umar buried ?,[['dbp:placeOfBurial']],['dbo:restingPlace'],[[17]]
526,0.0,0.0,0.0,8,2,0,Terry Pratchett has written about how many topics?,"[['dbp:author'], ['dbo:nonFictionSubject']]",[],"[[24], [14]]"
552,0.0,0.0,0.0,15,2,0,How many other important things have been written by the creator of Stuart Alan Jones?,"[['dbo:creator'], ['dbo:notableWork']]",[],"[[246], [92]]"
557,0.0,0.0,0.0,11,2,0,Which creation of Josh Friedman was portrayed in Terminator 2 ?,"[['dbo:portrayer'], ['dbp:creator']]",[],"[[8], [17]]"
561,0.0,0.0,0.0,13,2,0,Name some local authorities of schools which have a mixed gender education system?,"[['dbo:gender'], ['dbo:localAuthority']]",[],"[[2], [11]]"
566,0.0,0.0,0.0,12,2,0,List the home stadiums of the teams in the Russian Premier League?,"[['dbp:league'], ['dbo:homeStadium']]",[],"[[12], [11]]"
579,0.0,0.0,0.0,9,2,0,Things going to the mediterranean sea also go where?,"[['dbp:destinations'], ['dbo:destination']]",[],"[[18], [10]]"
586,0.0,0.0,0.0,8,2,0,Where is the capital of Kelsey Creek located?,"[['dbo:region'], ['dbo:countySeat']]",[],"[[1153], [10]]"
592,0.0,0.0,0.0,11,2,0,What are some cars related to the ones with a V8?,"[['dbp:engine'], ['dbp:related']]",[],"[[7], [11]]"
598,0.0,0.0,0.0,7,1,0,Is Cologny a neighbouring city of Geneva?,[['dbp:neighboringMunicipalities']],[],[[9]]
603,0.0,0.0,0.0,11,2,0,What other things are provided by the producer of Office 365?,"[['dbo:service'], ['dbp:services']]",[],"[[9], [30]]"
622,0.0,0.0,0.0,6,2,0,Who is 8th president of US?,"[['dbo:wikiPageRedirects'], ['dbp:name']]",[],"[[1], [18]]"
625,0.0,0.0,0.0,15,2,0,List the outflows of the lake whose one of the outflows is Benu river ?,"[['dbp:outflow'], ['dbo:outflow']]",[],"[[8], [16]]"
630,0.0,0.0,0.0,7,1,0,What is the nationality of frank woodley,[['dbo:nationality']],[],[[266]]
635,0.0,0.0,0.0,7,1,0,To which destinations does Air 2000 fly?,[['dbp:destinations']],[],[[18]]
638,0.0,0.0,0.0,9,1,1,What is one of the songs james hetfield wote?,[['dbo:writer']],['dbo:artist'],[[1148]]
644,0.0,0.0,0.0,7,1,1,what is otto liman von sanders's nationality,[['dbp:birthPlace']],['dbo:birthPlace'],[[1526]]
646,0.0,0.0,0.0,9,1,1,This album by Chimaira is an example of deathcore.,[['dbo:genre']],['dbo:artist'],[[5588]]
647,0.0,0.0,0.0,7,1,1,What was the nationality of ku hye-sun?,[['dbo:nationality']],['dbo:birthPlace'],[[266]]
655,0.0,0.0,0.0,11,2,0,Where is the rival school of Somerset Berkeley Regional High school?,"[['dbo:rival'], ['dbo:region']]",[],"[[2], [1153]]"
679,0.0,0.0,0.0,8,2,0,Which religions' people fought in the Miao rebellion?,"[['dbp:combatant'], ['dbo:religion']]",[],"[[14], [257]]"
682,0.0,0.0,0.0,5,1,1,who made the film scooby-doo,[['dbo:writer']],['dbo:producer'],[[1148]]
686,0.0,0.0,0.0,13,2,0,In how many places can I find wine made of Vitis vinifera grapes?,"[['dbo:species'], ['dbo:wineRegion']]",[],"[[14], [12]]"
697,0.0,0.0,0.0,6,1,1,what language is kaffe written in?,[['dbo:programmingLanguage']],['dbo:language'],[[15]]
701,0.0,0.0,0.0,6,1,2,What US state is watervale located?,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",[[1670]]
713,0.0,0.0,0.0,9,1,1,What are the movies with Daniel Waters as screenwriter?,[['dbp:screenplay']],['dbo:occupation'],[[11]]
732,0.0,0.0,0.0,7,1,0,How many shows are made by Playtone?,[['dbp:company']],[],[[24]]
734,0.0,0.0,0.0,19,2,0,Who was buried at St. Mary's Church and fought the battle of  Benedict Arnold's expedition to Quebec ?,"[['dbo:battle'], ['dbp:placeofburial']]",[],"[[293], [8]]"
740,0.0,0.0,0.0,13,2,0,Who was the influencer of Dave Attel who also starred in Adios Amigo?,"[['dbo:starring'], ['dbo:influencedBy']]",[],"[[46], [244]]"
744,0.0,0.0,0.0,14,2,0,Name the movies distributed by RKO Pictures and has music composer as Bernard Herrmann?,"[['dbo:musicComposer'], ['dbp:distributor']]",[],"[[304], [35]]"
746,0.0,0.0,0.0,13,2,0,What is the municipality of the Homestead Grays Bridge and Roberto Clemente Bridge?,"[['dbo:municipality'], ['dbo:municipality']]",[],"[[9], [9]]"
758,0.0,0.0,0.0,7,1,0,Does AMC Gremlin have the Volkswagen engine?,[['dbp:engine']],[],[[7]]
764,0.0,0.0,0.0,10,1,0,Was Zambezi originate in the north western province of zambia?,[['dbp:sourceRegion']],[],[[7]]
768,0.0,0.0,0.0,12,2,0,"Who were the opponents of employees of Henry Howard, the Northampton Earl?","[['dbo:employer'], ['dbo:opponent']]",[],"[[18], [16]]"
769,0.0,0.0,0.0,7,1,1,Which royal people are buried in Rome?,[['dbp:placeOfBurial']],['dbo:restingPlace'],[[17]]
780,0.0,0.0,0.0,8,1,1,what is a film written by david winters,[['dbo:director']],['dbo:writer'],[[607]]
791,0.0,0.0,0.0,5,1,1,what anime aired in 1968?,[['dbo:language']],['dbp:genre'],[[520]]
798,0.0,0.0,0.0,13,2,0,To how many different species does the members of the Animal Kingdom belong?,"[['dbo:species'], ['dbo:kingdom']]",[],"[[14], [7]]"
809,0.0,0.0,0.0,9,1,1,How many artists are signed up with Celluloid Records?,[['dbp:label']],['dbo:recordLabel'],[[33]]
820,0.0,0.0,0.0,5,1,1,"what is banner, virginia within","[['dbo:country', 'dbo:isPartOf']]",['dbo:city'],"[[2554, 1891]]"
833,0.0,0.0,0.0,9,1,0,Was Elizabeth Ann Seton canonized by Pope Paul VI?,[['dbp:canonizedBy']],[],[[7]]
845,0.0,0.0,0.0,9,1,0,Under which president was timothy l. woodruff a lieutenant?,[['dbp:lieutenant']],[],[[4]]
852,0.0,0.0,0.0,9,1,0,Give me a count on associates of Johnny Cash?,[['dbp:associatedActs']],[],[[19]]
858,0.0,0.0,0.0,15,2,0,What race of Linda Hogan is the state of origin of the Holmes Colbert ?,"[['dbo:stateOfOrigin'], ['dbp:ethnicity']]",[],"[[18], [8]]"
863,0.0,0.0,0.0,16,2,0,What is the religion of the member of parliament who is a relative of Sarathchandra Rajakaruna?,"[['dbo:relation'], ['dbo:religion']]",[],"[[24], [257]]"
874,0.0,0.0,0.0,9,1,0,Name the resting place of Charles Edward Magoon ?,[['dbp:restingplace']],[],[[25]]
877,0.0,0.0,0.0,20,2,0,What is the nationality of the economist who is one of the important people in the Foundation for Economic Education?,"[['dbo:keyPerson'], ['dbo:nationality']]",[],"[[17], [266]]"
881,0.0,0.0,0.0,18,2,0,Which city amongst the one which belongs to Boundary Dam was the palce for Soccer Bowl '76 ?,"[['dbp:owner'], ['dbo:city']]",[],"[[51], [1218]]"
884,0.0,0.0,0.0,9,1,1,To which series does Lost special belong to ?,[['dbp:series']],['dbo:series'],[[5]]
895,0.0,0.0,0.0,5,1,1,what is don pacifico's nationality?,[['dbo:birthPlace']],['dbo:nationality'],[[4201]]
899,0.0,0.0,0.0,11,1,0,What was the stadium of Panionios G.S.S. in 2014-15 season ?,[['dbp:stadium']],[],[[7]]
914,0.0,0.0,0.0,9,1,0,Who are the associated musical artist of Carolyn Dennis?,[['dbo:associatedMusicalArtist']],[],[[26]]
920,0.0,0.0,0.0,15,2,0,How many parties have come in power in elections where Y. S. Rajasekhara Reddy won?,"[['dbp:leader'], ['dbo:affiliation']]",[],"[[10], [15]]"
921,0.0,0.0,0.0,9,1,1,what country would you find  possum kingdom lake,[['dbo:location']],['dbo:country'],[[1670]]
931,0.0,0.0,0.0,7,1,1,where from asia is misa uehara from,[['dbo:country']],['dbo:birthPlace'],[[2554]]
941,0.0,0.0,0.0,14,2,0,"Where did the genres originate, which were in the Harry and the Potters album?","[['dbo:genre'], ['dbo:stylisticOrigin']]",[],"[[5588], [7]]"
943,0.0,0.0,0.0,9,1,0,What was founded by Congress of Industrial Organizations ?,[['dbp:founded']],[],[[6]]
982,0.0,0.0,0.0,15,2,0,In which state does the ambassador who is in related with J Bennett Johnston live?,"[['dbo:relation'], ['dbp:state']]",[],"[[24], [21]]"
984,0.0,0.0,0.0,11,2,0,Name the scientist whose doctoral supervisor's doctoral student is John Bowlby?,"[['dbp:doctoralAdvisor'], ['dbo:doctoralStudent']]",[],"[[11], [9]]"
991,0.0,0.0,0.0,16,2,0,Which military unit's  garrison is Pentagon and command structure is United States Department of Defense?,"[['dbo:commandStructure'], ['dbp:garrison']]",[],"[[8], [8]]"
1000,0.0,0.0,0.0,10,2,1,What team did Dan Daoust and Don Ashby play for?,"[['dbo:formerTeam'], ['dbp:playedFor']]",['dbo:team'],"[[36], [16]]"
1009,0.0,0.0,0.0,7,1,1,which genre is when the people fell,[['dbo:literaryGenre']],['dbo:genre'],[[750]]
1012,0.0,0.0,0.0,13,2,0,Who all have written songs that were then recorded in the Criteria Studios?,"[['dbo:recordedIn'], ['dbp:writer']]",[],"[[13], [61]]"
1026,0.0,0.0,0.0,16,2,1,What faith of Buddhist Tai Hung College is also the acadmeic interest of Paul Demiville ?,"[['dbp:religion'], ['dbp:fields']]",['dbo:religion'],"[[78], [20]]"
1029,0.0,0.0,0.0,7,1,1,what is the nationality of thabo nthethe,[['dbo:birthPlace']],['dbo:nationality'],[[4201]]
1039,0.0,0.0,0.0,16,2,1,"Which political party of Arunachal Pradesh Legislative Assembly election, 2014 was the leader of Rishikesh ?","[['dbp:party'], ['dbo:leaderName']]",['dbo:party'],"[[17], [25]]"
1040,0.0,0.0,0.0,15,2,0,What is the official residence of the senator who is the deputy of Everett Dirksen?,"[['dbp:deputy'], ['dbo:residence']]",[],"[[9], [34]]"
1044,0.0,0.0,0.0,14,2,0,What team did J P Paris was former team of Bert McCaffrey play for?,"[['dbo:formerTeam'], ['dbp:playedFor']]",[],"[[36], [16]]"
1048,0.0,0.0,0.0,18,2,0,Tell me the name of the Prime Time Entertainment Network's TV show whose Artist is Christopher Franke ?,"[['dbo:network'], ['dbp:artist']]",[],"[[23], [38]]"
1054,0.0,0.0,0.0,6,1,1,What position does josh samuda play,[['dbp:currentpositionplain']],['dbo:position'],[[12]]
1055,0.0,0.0,0.0,10,2,0,Which country's engineered have studied at Aero Klub in Wroclaw?,"[['dbo:institution'], ['dbp:nationality']]",[],"[[17], [17]]"
1058,0.0,0.0,0.0,7,2,0,Where the club of Kiki Cutter located?,"[['dbp:club'], ['dbo:location']]",[],"[[7], [1670]]"
1060,0.0,0.0,0.0,12,2,0,How many people have trained the wrestlers who were billed in Wisconsin?,"[['dbo:trainer'], ['dbo:billed']]",[],"[[7], [2]]"
1062,0.0,0.0,0.0,9,1,0,Who is the employer of Michael M. Sears ?,[['dbp:employer']],[],[[13]]
1064,0.0,0.0,0.0,6,1,0,What municipalities are adjacent to Chne-Bougeries?,[['dbp:neighboringMunicipalities']],[],[[9]]
1080,0.0,0.0,0.0,15,2,0,In which state does the university which is the alma mater of Mateusz Morawiecki lie?,"[['dbp:almaMater'], ['dbp:state']]",[],"[[29], [21]]"
1082,0.0,0.0,0.0,20,2,0,What is the place of the Geography Club (play) which is also the  official residence of the Scott Berkun?,"[['dbp:place'], ['dbp:residence']]",[],"[[10], [25]]"
1092,0.0,0.0,0.0,13,2,0,Which party has come in power at both Balangir and Amaravila in india?,"[['dbo:leaderName'], ['dbo:leaderName']]",[],"[[25], [25]]"
1096,0.0,0.0,0.0,14,2,0,Which football team is in a city where A J Clark was a builder?,"[['dbp:city'], ['dbo:builder']]",[],"[[28], [14]]"
1099,0.0,0.0,0.0,14,2,0,What is the television show whose company is Playtone and written by Erik Jendresen?,"[['dbo:company'], ['dbp:writer']]",[],"[[11], [61]]"
1100,0.0,0.0,0.0,11,2,1,Where did the conflict take place in which Henri Putz fought?,"[['dbo:battle'], ['dbo:territory']]",['dbo:place'],"[[293], [9]]"
1101,0.0,0.0,0.0,6,1,1,Where was jim mitchell (cartoonist) born?,[['dbp:birthPlace']],['dbo:birthPlace'],[[1526]]
1115,0.0,0.0,0.0,8,1,1,what type of album is a sucked orange,[['dbo:type']],['dbo:genre'],[[1160]]
1122,0.0,0.0,0.0,16,2,0,Whci co founder of Sea gayle Music is also the artist of Brad Paisley Discography /,"[['dbp:artist'], ['dbp:founder']]",[],"[[38], [25]]"
1134,0.0,0.0,0.0,9,1,1,which one of slade's albums was released in 1973?,[['dbo:type']],['dbo:artist'],[[1160]]
1143,0.0,0.0,0.0,13,2,0,What is the city nearest to the islands in the Northwestern Hawaiian Islands?,"[['dbp:archipelago'], ['dbp:nearestCity']]",[],"[[9], [9]]"
1156,0.0,0.0,0.0,6,1,1,what is a work by mayhem,[['dbo:artist']],['dbo:writer'],[[1147]]
1158,0.0,0.0,0.0,10,1,1,What is the album recorded by the romanian artist Inna?,[['dbo:type']],['dbo:artist'],[[1160]]
1160,0.0,0.0,0.0,11,2,0,Name some basketball players whose team is coached by Fred Hoiberg?,"[['dbp:team'], ['dbo:coach']]",[],"[[13], [13]]"
1174,0.0,0.0,0.0,8,2,0,What are some important works of US citizens?,"[['dbp:nationality'], ['dbo:notableWork']]",[],"[[17], [92]]"
1180,0.5,0.5,0.5,15,2,2,Give me a count of everything made by the company which offers electronical manufacturing too.,"[['dbo:service'], ['dbo:manufacturer']]","['dbo:manufacturer', 'dbo:product']","[[9], [58]]"
1182,0.0,0.0,0.0,8,1,1,what is an album released by Dusty Springfield,[['dbo:type']],['dbo:artist'],[[1160]]
1203,0.0,0.0,0.0,17,2,0,Name the fictional character whose species is American Pekin duck and has relatives named Ludwig Von Drake?,"[['dbo:species'], ['dbp:relatives']]",[],"[[14], [24]]"
1237,0.0,0.0,0.0,12,2,0,What are all the religions in which Jacob and Abraham are important?,"[['dbp:veneratedIn'], ['dbp:veneratedIn']]",[],"[[13], [13]]"
1239,0.0,0.0,0.0,5,1,0,Where was Thomy Bourdelle born?,[['dbp:placeOfBirth']],[],[[41]]
1247,0.0,0.0,0.0,6,1,1,where is cross hill based in,"[['dbo:country', 'dbo:isPartOf']]",['dbo:locatedInArea'],"[[2554, 1891]]"
1259,0.0,0.0,0.0,6,1,0,which country is john berry from,[['dbo:birthPlace']],[],[[4201]]
1282,0.0,0.0,0.0,13,2,0,How many cars are the predecessor of cars similar to the Pontiac G8?,"[['dbo:relatedMeanOfTransportation'], ['dbo:predecessor']]",[],"[[4], [20]]"
1305,0.0,0.0,0.0,4,1,1,who wrote the line,[['dbp:writer']],['dbo:writer'],[[61]]
1316,0.0,0.0,0.0,18,2,0,Who was the president under which people won the United States House of Representatives elections in 1790 ?,"[['dbp:leader'], ['dbp:president']]",[],"[[10], [23]]"
1322,0.0,0.0,0.0,8,1,0,where does the mogami river flow out from,[['dbo:riverMouth']],[],[[39]]
1324,0.0,0.0,0.0,4,1,1,What's a jazz album,[['dbo:type']],['dbo:genre'],[[1160]]
1338,0.0,0.0,0.0,16,2,0,Which athletics of Jaimatu Muslim Mindano is same as the genre of the Fritz Chess ?,"[['dbo:genre'], ['dbo:athletics']]",[],"[[5588], [10]]"
1349,0.0,0.0,0.0,6,1,0,Which school did Robbie Diack attend?,[['dbp:school']],[],[[4]]
1355,0.0,0.0,0.0,13,1,0,who all have been a manager of english under twenty one football team?,[['dbp:managerclubs']],[],[[8]]
1356,0.0,0.0,0.0,16,2,0,What is the river on which the Kariba Dam and Batoka Gorge Hydroelectirc power station exist?,"[['dbo:river'], ['dbo:river']]",[],"[[12], [12]]"
1362,0.0,0.0,0.0,9,1,1,which genre does the tv program mccloud fall under,[['dbo:genre']],['dbp:genre'],[[5588]]
1363,0.0,0.0,0.0,7,1,0,Name the source Island of Bayou ?,[['dbo:source']],[],[[13]]
1376,0.0,0.0,0.0,13,1,0,"Was Francisco Pizarro of the monarch of Charles 5, of the roman empire?",[['dbo:monarch']],[],[[5]]
1381,0.0,0.0,0.0,6,1,0,What nation is nick martin from?,[['dbo:hometown']],[],[[505]]
1382,0.0,0.0,0.0,7,1,1,who is the composer of danny elfman,[['dbo:artist']],['dbo:writer'],[[1147]]
1391,0.0,0.0,0.0,8,1,0,Who gave the voice for Allen Walker ?,[['dbo:voice']],[],[[11]]
1393,0.0,0.0,0.0,17,2,0,Name the garrison of the Western Naval Command and line of the Vadodara Junction railway station ?,"[['dbp:line'], ['dbp:garrison']]",[],"[[5], [8]]"
1400,0.0,0.0,0.0,9,2,0,Who appointed the governor under which Robert Witherspoon worked?,"[['dbo:governor'], ['dbp:appointer']]",[],"[[7], [11]]"
1418,0.0,0.0,0.0,13,1,0,Who is the headcoach of 2014-15 Virginia Tech Hokies men's basketball team ?,[['dbp:headcoach']],[],[[10]]
1427,0.0,0.0,0.0,21,2,0,What is the local authority of the Buckhurst Hill County High School is also the birth palce of Sarah hampion ?,"[['dbo:localAuthority'], ['dbp:birthPlace']]",[],"[[11], [1526]]"
1429,0.0,0.0,0.0,5,1,0,where is michael evans from,[['dbo:country']],[],[[2554]]
1433,0.0,0.0,0.0,8,1,1,what style of paint does mary kelly paint,[['dbo:movement']],['dbo:architecturalStyle'],[[52]]
1441,0.0,0.0,0.0,7,1,0,Which classes does the Millepede belong to?,[['dbp:taxon']],[],[[1]]
1447,0.0,0.0,0.0,9,2,0,Where did the narrators of the Championship snooker die?,"[['dbp:narrated'], ['dbo:deathPlace']]",[],"[[12], [1213]]"
1449,0.0,0.0,0.0,14,1,0,What is the name of the crater on the moon named for georg ohm?,[['dbp:namedafter']],[],[[3]]
1472,0.0,0.0,0.0,16,2,0,What is the common university iof vanderbilt Commodores and also the college of hubert Wiggs ?,"[['dbo:college'], ['dbo:university']]",[],"[[13], [10]]"
1475,0.0,0.0,0.0,8,1,0,Where is the tombstone of Johannes Gerhardus Strijdom?,[['dbp:restingplace']],[],[[25]]
1492,0.0,0.0,0.0,5,1,1,Where was angus allan born,[['dbp:birthPlace']],['dbo:birthPlace'],[[1526]]
1506,0.0,0.0,0.0,8,1,1,what mountain range is lagginhorn a part of,[['dbo:locatedInArea']],['dbo:mountainRange'],[[1072]]
1516,0.0,0.0,0.0,13,1,0,Did Bob Dylan write the lyrics of the times they are a changin'?,[['dbp:lyrics']],[],[[4]]
1523,0.0,0.0,0.0,10,2,0,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]",[],"[[25], [58]]"
1532,0.0,0.0,0.0,13,2,0,Through which cities do the rivers starting at the Montauk State Park flow?,"[['dbo:sourcePlace'], ['dbo:city']]",[],"[[9], [1218]]"
1535,0.0,0.0,0.0,9,2,0,Horses grandsired by Sundridge  have won which awards?,"[['dbo:grandsire'], ['dbo:honours']]",[],"[[4], [12]]"
1546,0.0,0.0,0.0,22,2,0,What is the official residence of the Lula J. Davis which is also the death location of the John McTaggart (jockey) ?,"[['dbo:deathPlace'], ['dbo:residence']]",[],"[[1213], [34]]"
1550,0.0,0.0,0.0,9,1,0,Charles Willing Byrd was the governor under which politician?,[['dbp:governor']],[],[[9]]
1562,0.0,0.0,0.0,18,2,0,List the driver of SA MArino Grand Prix is also the Pole driver of Canadian Grand Proix ?,"[['dbp:poleDriver'], ['dbp:firstDriver']]",[],"[[4], [5]]"
1568,0.0,0.0,0.0,9,2,0,What islands are there on the Greater Antilles archipelago?,"[['dbp:archipelago'], ['dbp:name']]",[],"[[9], [18]]"
1579,0.0,0.0,0.0,21,2,0,What is the owning organisation of the Ford Kansas City Assembly Plant and also the builder of the Ford Y-block engine?,"[['dbo:owningOrganisation'], ['dbo:manufacturer']]",[],"[[9], [58]]"
1584,0.0,0.0,0.0,11,2,0,What is the television show whose opening theme's album is Cheers?,"[['dbo:openingTheme'], ['dbo:album']]",[],"[[11], [8]]"
1590,0.0,0.0,0.0,9,1,0,What is the draft team of Bob MacMillan ?,[['dbp:draftTeam']],[],[[17]]
1594,0.0,0.0,0.0,16,2,0,Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V ?,"[['dbp:mother'], ['dbp:spouse']]",[],"[[4], [19]]"
1610,0.0,0.0,0.0,7,1,1,Which position is played by charles philyaw,[['dbp:position']],['dbo:position'],[[16]]
