,recall_x,precision_x,f1_x,word_count_x,rel_count_x,sys_relations_x,question,gold_relations_x,system_relations_x,recall_y,precision_y,f1_y,word_count_y,rel_count_y,sys_relations_y,gold_relations_y,system_relations_y
10,0.0,0.0,0.0,10,2,0,How many teams have LA kings players in them currently?,"[['dbo:team'], ['dbo:formerTeam']]",[],0.0,0.0,0.0,10,2,0,"[['dbo:team'], ['dbo:formerTeam']]",[]
11,0.0,0.0,0.0,6,1,0,Give me all members of Prodigy.,[['dbo:bandMember']],[],0.0,0.0,0.0,6,1,0,[['dbo:bandMember']],[]
12,0.0,0.0,0.0,15,2,0,How many other family of the mammals exists  whose family is also Hominidae ?,"[['dbo:family'], ['dbo:family']]",[],0.0,0.0,0.0,15,2,0,"[['dbo:family'], ['dbo:family']]",[]
13,0.0,0.0,0.0,8,1,0,Name the mouth country of Upper Neretva ?,[['dbo:mouthCountry']],[],0.0,0.0,0.0,8,1,0,[['dbo:mouthCountry']],[]
14,0.0,0.0,0.0,5,1,0,Was Castillo discovered by Galileo?,[['dbp:discoverer']],[],0.0,0.0,0.0,5,1,0,[['dbp:discoverer']],[]
15,0.0,0.0,0.0,10,1,0,Is the Vadodara railway junction onwed by Indian Railway Ministry?,[['dbo:owningOrganisation']],[],0.0,0.0,0.0,10,1,0,[['dbo:owningOrganisation']],[]
16,0.0,0.0,0.0,8,2,0,Terry Pratchett has written about how many topics?,"[['dbp:author'], ['dbo:nonFictionSubject']]",[],0.0,0.0,0.0,8,2,0,"[['dbp:author'], ['dbo:nonFictionSubject']]",[]
17,0.0,0.0,0.0,9,2,0,Things going to the mediterranean sea also go where?,"[['dbp:destinations'], ['dbo:destination']]",[],0.0,0.0,0.0,9,2,0,"[['dbp:destinations'], ['dbo:destination']]",[]
18,0.0,0.0,0.0,15,2,0,List the outflows of the lake whose one of the outflows is Benu river ?,"[['dbp:outflow'], ['dbo:outflow']]",[],0.0,0.0,0.0,15,2,0,"[['dbp:outflow'], ['dbo:outflow']]",[]
19,0.0,0.0,0.0,7,1,0,To which destinations does Air 2000 fly?,[['dbp:destinations']],[],0.0,0.0,0.0,7,1,0,[['dbp:destinations']],[]
20,0.0,0.0,0.0,11,2,0,Where is the rival school of Somerset Berkeley Regional High school?,"[['dbo:rival'], ['dbo:region']]",[],0.0,0.0,0.0,11,2,0,"[['dbo:rival'], ['dbo:region']]",[]
21,0.0,0.0,0.0,8,2,0,Which religions' people fought in the Miao rebellion?,"[['dbp:combatant'], ['dbo:religion']]",[],0.0,0.0,0.0,8,2,0,"[['dbp:combatant'], ['dbo:religion']]",[]
22,0.0,0.0,0.0,5,1,1,who made the film scooby-doo,[['dbo:writer']],['dbo:producer'],0.0,0.0,0.0,5,1,0,[['dbo:writer']],[]
23,0.0,0.0,0.0,14,2,0,Name the movies distributed by RKO Pictures and has music composer as Bernard Herrmann?,"[['dbo:musicComposer'], ['dbp:distributor']]",[],0.0,0.0,0.0,14,2,0,"[['dbo:musicComposer'], ['dbp:distributor']]",[]
24,0.0,0.0,0.0,12,2,0,"Who were the opponents of employees of Henry Howard, the Northampton Earl?","[['dbo:employer'], ['dbo:opponent']]",[],0.0,0.0,0.0,12,2,0,"[['dbo:employer'], ['dbo:opponent']]",[]
25,0.0,0.0,0.0,7,1,1,Which royal people are buried in Rome?,[['dbp:placeOfBurial']],['dbo:restingPlace'],0.0,0.0,0.0,7,1,1,[['dbp:placeOfBurial']],['dbo:restingPlace']
26,0.0,0.0,0.0,13,2,0,To how many different species does the members of the Animal Kingdom belong?,"[['dbo:species'], ['dbo:kingdom']]",[],0.0,0.0,0.0,13,2,0,"[['dbo:species'], ['dbo:kingdom']]",[]
27,0.0,0.0,0.0,9,1,0,Give me a count on associates of Johnny Cash?,[['dbp:associatedActs']],[],0.0,0.0,0.0,9,1,0,[['dbp:associatedActs']],[]
28,0.0,0.0,0.0,16,2,0,What is the religion of the member of parliament who is a relative of Sarathchandra Rajakaruna?,"[['dbo:relation'], ['dbo:religion']]",[],0.0,0.0,0.0,16,2,0,"[['dbo:relation'], ['dbo:religion']]",[]
29,0.0,0.0,0.0,9,1,0,Name the resting place of Charles Edward Magoon ?,[['dbp:restingplace']],[],0.0,0.0,0.0,9,1,1,[['dbp:restingplace']],['dbo:restingPlace']
30,0.0,0.0,0.0,11,1,0,What was the stadium of Panionios G.S.S. in 2014-15 season ?,[['dbp:stadium']],[],0.0,0.0,0.0,11,1,0,[['dbp:stadium']],[]
31,0.0,0.0,0.0,15,2,0,How many parties have come in power in elections where Y. S. Rajasekhara Reddy won?,"[['dbp:leader'], ['dbo:affiliation']]",[],0.0,0.0,0.0,15,2,0,"[['dbp:leader'], ['dbo:affiliation']]",[]
32,0.0,0.0,0.0,7,1,1,where from asia is misa uehara from,[['dbo:country']],['dbo:birthPlace'],0.0,0.0,0.0,7,1,1,[['dbo:country']],['dbo:birthPlace']
33,0.0,0.0,0.0,9,1,0,What was founded by Congress of Industrial Organizations ?,[['dbp:founded']],[],0.0,0.0,0.0,9,1,1,[['dbp:founded']],['dbo:foundedBy']
34,0.0,0.0,0.0,11,2,0,Name the scientist whose doctoral supervisor's doctoral student is John Bowlby?,"[['dbp:doctoralAdvisor'], ['dbo:doctoralStudent']]",[],0.0,0.0,0.0,11,2,0,"[['dbp:doctoralAdvisor'], ['dbo:doctoralStudent']]",[]
35,0.0,0.0,0.0,10,2,1,What team did Dan Daoust and Don Ashby play for?,"[['dbo:formerTeam'], ['dbp:playedFor']]",['dbo:team'],0.0,0.0,0.0,10,2,0,"[['dbo:formerTeam'], ['dbp:playedFor']]",[]
36,0.0,0.0,0.0,16,2,1,What faith of Buddhist Tai Hung College is also the acadmeic interest of Paul Demiville ?,"[['dbp:religion'], ['dbp:fields']]",['dbo:religion'],0.0,0.0,0.0,16,2,1,"[['dbp:religion'], ['dbp:fields']]",['dbo:religion']
37,0.0,0.0,0.0,15,2,0,What is the official residence of the senator who is the deputy of Everett Dirksen?,"[['dbp:deputy'], ['dbo:residence']]",[],0.0,0.0,0.0,15,2,0,"[['dbp:deputy'], ['dbo:residence']]",[]
38,0.0,0.0,0.0,6,1,1,What position does josh samuda play,[['dbp:currentpositionplain']],['dbo:position'],0.0,0.0,0.0,6,1,1,[['dbp:currentpositionplain']],['dbo:position']
39,0.0,0.0,0.0,6,1,0,What municipalities are adjacent to Chne-Bougeries?,[['dbp:neighboringMunicipalities']],[],0.0,0.0,0.0,6,1,0,[['dbp:neighboringMunicipalities']],[]
40,0.0,0.0,0.0,13,2,0,Which party has come in power at both Balangir and Amaravila in india?,"[['dbo:leaderName'], ['dbo:leaderName']]",[],0.0,0.0,0.0,13,2,0,"[['dbo:leaderName'], ['dbo:leaderName']]",[]
41,0.0,0.0,0.0,14,2,0,Which football team is in a city where A J Clark was a builder?,"[['dbp:city'], ['dbo:builder']]",[],0.0,0.0,0.0,14,2,0,"[['dbp:city'], ['dbo:builder']]",[]
42,0.0,0.0,0.0,14,2,0,What is the television show whose company is Playtone and written by Erik Jendresen?,"[['dbo:company'], ['dbp:writer']]",[],0.0,0.0,0.0,14,2,0,"[['dbo:company'], ['dbp:writer']]",[]
43,0.0,0.0,0.0,11,2,1,Where did the conflict take place in which Henri Putz fought?,"[['dbo:battle'], ['dbo:territory']]",['dbo:place'],0.0,0.0,0.0,11,2,1,"[['dbo:battle'], ['dbo:territory']]",['dbp:battles']
44,0.0,0.0,0.0,10,1,1,What is the album recorded by the romanian artist Inna?,[['dbo:type']],['dbo:artist'],0.0,0.0,0.0,10,1,1,[['dbo:type']],['dbo:artist']
45,0.0,0.0,0.0,8,2,0,What are some important works of US citizens?,"[['dbp:nationality'], ['dbo:notableWork']]",[],0.0,0.0,0.0,8,2,0,"[['dbp:nationality'], ['dbo:notableWork']]",[]
46,0.0,0.0,0.0,12,2,0,What are all the religions in which Jacob and Abraham are important?,"[['dbp:veneratedIn'], ['dbp:veneratedIn']]",[],0.0,0.0,0.0,12,2,0,"[['dbp:veneratedIn'], ['dbp:veneratedIn']]",[]
47,0.0,0.0,0.0,18,2,0,Who was the president under which people won the United States House of Representatives elections in 1790 ?,"[['dbp:leader'], ['dbp:president']]",[],0.0,0.0,0.0,18,2,0,"[['dbp:leader'], ['dbp:president']]",[]
48,0.0,0.0,0.0,4,1,1,What's a jazz album,[['dbo:type']],['dbo:genre'],0.0,0.0,0.0,4,1,1,[['dbo:type']],['dbo:genre']
49,0.0,0.0,0.0,6,1,0,Which school did Robbie Diack attend?,[['dbp:school']],[],0.0,0.0,0.0,6,1,0,[['dbp:school']],[]
50,0.0,0.0,0.0,13,1,0,who all have been a manager of english under twenty one football team?,[['dbp:managerclubs']],[],0.0,0.0,0.0,13,1,0,[['dbp:managerclubs']],[]
51,0.0,0.0,0.0,13,1,0,"Was Francisco Pizarro of the monarch of Charles 5, of the roman empire?",[['dbo:monarch']],[],0.0,0.0,0.0,13,1,0,[['dbo:monarch']],[]
52,0.0,0.0,0.0,7,1,1,who is the composer of danny elfman,[['dbo:artist']],['dbo:writer'],0.0,0.0,0.0,7,1,1,[['dbo:artist']],['dbo:writer']
53,0.0,0.0,0.0,13,1,0,Who is the headcoach of 2014-15 Virginia Tech Hokies men's basketball team ?,[['dbp:headcoach']],[],0.0,0.0,0.0,13,1,0,[['dbp:headcoach']],[]
54,0.0,0.0,0.0,8,1,1,what style of paint does mary kelly paint,[['dbo:movement']],['dbo:architecturalStyle'],0.0,0.0,0.0,8,1,1,[['dbo:movement']],['dbo:field']
55,0.0,0.0,0.0,9,2,0,Where did the narrators of the Championship snooker die?,"[['dbp:narrated'], ['dbo:deathPlace']]",[],0.0,0.0,0.0,9,2,0,"[['dbp:narrated'], ['dbo:deathPlace']]",[]
56,0.0,0.0,0.0,9,1,0,Is Julia Gillard the prime minister of Kate Lundy?,[['dbo:primeMinister']],[],0.0,0.0,0.0,9,1,0,[['dbo:primeMinister']],[]
57,0.0,0.0,0.0,9,1,0,Does the Ontario International Airport serve the Inland Empire?,[['dbp:cityServed']],[],0.0,0.0,0.0,9,1,0,[['dbp:cityServed']],[]
58,0.0,0.0,0.0,17,2,0,What is the result of the GazaIsrael conflict is also  the  place of the Qaqun?,"[['dbp:result'], ['dbp:place']]",[],0.0,0.0,0.0,17,2,0,"[['dbp:result'], ['dbp:place']]",[]
59,0.0,0.0,0.0,17,2,0,Count the number of fileds of the scientist whose one of the interest is Chinese poetry ?,"[['dbp:fields'], ['dbp:fields']]",[],0.0,0.0,0.0,17,2,0,"[['dbp:fields'], ['dbp:fields']]",[]
60,0.0,0.0,0.0,4,1,0,which country locates hayashima,[['dbo:region']],[],0.0,0.0,0.0,4,1,2,[['dbo:region']],"['dbo:country', 'dbo:isPartOf']"
61,0.0,0.0,0.0,6,2,0,Where has GARAGE recorded its singles?,"[['dbo:producer'], ['dbo:recordedIn']]",[],0.0,0.0,0.0,6,2,0,"[['dbo:producer'], ['dbo:recordedIn']]",[]
62,0.0,0.0,0.0,5,1,1,what is terrie moffitt's nationality?,[['dbo:citizenship']],['dbo:nationality'],0.0,0.0,0.0,5,1,1,[['dbo:citizenship']],['dbo:birthPlace']
63,0.0,0.0,0.0,7,2,0,How many producers have casted Michael Jackson?,"[['dbp:starring'], ['dbp:producer']]",[],0.0,0.0,0.0,7,2,0,"[['dbp:starring'], ['dbp:producer']]",[]
64,0.0,0.0,0.0,8,1,0,what are some common surnames of female people?,[['dbp:gender']],[],0.0,0.0,0.0,8,1,0,[['dbp:gender']],[]
65,0.0,0.0,0.0,15,2,0,Name the licensee of the TV station whose one of the licensee is Incorporation ?,"[['dbp:licensee'], ['dbp:licensee']]",[],0.0,0.0,0.0,15,2,0,"[['dbp:licensee'], ['dbp:licensee']]",[]
66,0.0,0.0,0.0,8,1,0,What are the towns who have Thesaban system?,[['dbp:settlementType']],[],0.0,0.0,0.0,8,1,0,[['dbp:settlementType']],[]
67,0.0,0.0,0.0,6,1,0,Which valley is schuylkill located in,"[['dbo:country', 'dbo:isPartOf']]",[],0.0,0.0,0.0,6,1,0,"[['dbo:country', 'dbo:isPartOf']]",[]
68,0.0,0.0,0.0,13,1,0,What city in the greater los angeles area is used to film movies?,"[['dbo:city', 'dbo:isPartOf', 'dbo:location']]",[],0.0,0.0,0.0,13,1,0,"[['dbo:city', 'dbo:isPartOf', 'dbo:location']]",[]
69,0.0,0.0,0.0,6,1,2,what country is imun contained by,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",0.0,0.0,0.0,6,1,2,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']"
70,0.0,0.0,0.0,11,2,0,What is the largest city of the birthplace of Pat Kirkwood?,"[['dbp:birthplace'], ['dbo:largestCity']]",[],0.0,0.0,0.0,11,2,0,"[['dbp:birthplace'], ['dbo:largestCity']]",[]
71,0.0,0.0,0.0,9,2,0,Who has Kelly Osbourne and Ozzy Osbourne as relatives?,"[['dbo:relative'], ['dbo:relative']]",[],0.0,0.0,0.0,9,2,0,"[['dbo:relative'], ['dbo:relative']]",[]
72,0.0,0.0,0.0,7,1,1,What song was written by vonda shepard?,[['dbo:artist']],['dbo:writer'],0.0,0.0,0.0,7,1,1,[['dbo:artist']],['dbo:writer']
73,0.0,0.0,0.0,9,2,0,Where were the doctoral students of James Langer born?,"[['dbo:doctoralStudent'], ['dbp:placeOfBirth']]",[],0.0,0.0,0.0,9,2,0,"[['dbo:doctoralStudent'], ['dbp:placeOfBirth']]",[]
74,0.0,0.0,0.0,18,2,0,Name the television show whose subsequent work is Frasier and opening theme is Where Everybody Knows Your Name?,"[['dbo:openingTheme'], ['dbo:subsequentWork']]",[],0.0,0.0,0.0,18,2,0,"[['dbo:openingTheme'], ['dbo:subsequentWork']]",[]
75,0.0,0.0,0.0,3,1,1,where is grenzgipfel,[['dbo:locatedInArea']],['dbo:country'],0.0,0.0,0.0,3,1,1,[['dbo:locatedInArea']],['dbo:country']
76,0.0,0.0,0.0,9,1,0,Name the commander of Battle of the Thames ?,[['dbo:commander']],[],0.0,0.0,0.0,9,1,0,[['dbo:commander']],[]
77,0.0,0.0,0.0,12,2,1,In which city was the film star of Singhasan Battisi born ?,"[['dbo:starring'], ['dbp:birthPlace']]",['dbo:birthPlace'],0.0,0.0,0.0,12,2,0,"[['dbo:starring'], ['dbp:birthPlace']]",[]
78,0.0,0.0,0.0,16,2,0,Whichi office of Walter Evnas Edge is also the part of Atlantic seaboard fall lines ?,"[['dbo:part'], ['dbp:office']]",[],0.0,0.0,0.0,16,2,0,"[['dbo:part'], ['dbp:office']]",[]
79,0.0,0.0,0.0,14,2,0,"In which of the parties that have governed over Rishikesh, does Govinda belong too?","[['dbo:party'], ['dbo:leaderName']]",[],0.0,0.0,0.0,14,2,0,"[['dbo:party'], ['dbo:leaderName']]",[]
80,0.0,0.0,0.0,14,2,0,List the destinations to which the airlines headquartered at the Gatwick Airport fly to?,"[['dbp:headquarters'], ['dbo:destination']]",[],0.0,0.0,0.0,14,2,0,"[['dbp:headquarters'], ['dbo:destination']]",[]
81,0.0,0.0,0.0,6,1,0,When did Latvia join the EU?,[['dbp:accessioneudate']],[],0.0,0.0,0.0,6,1,0,[['dbp:accessioneudate']],[]
82,0.0,0.0,0.0,16,2,0,Name the president who has relations with Clinton family and had a lieutenant named Winston Bryant?,"[['dbo:lieutenant'], ['dbo:relation']]",[],0.0,0.0,0.0,16,2,0,"[['dbo:lieutenant'], ['dbo:relation']]",[]
83,0.0,0.0,0.0,9,1,0,what type of disaster was the san juanico disaster?,[['dbo:birthPlace']],[],0.0,0.0,0.0,9,1,0,[['dbo:birthPlace']],[]
84,0.0,0.0,0.0,7,1,0,In which department does Raymond Baldwin work?,[['dbp:branch']],[],0.0,0.0,0.0,7,1,0,[['dbp:branch']],[]
85,0.5,0.5,0.5,12,2,2,Which awards have been given to both Ingmar Bergman and Charles LeMaire?,"[['dbp:awards'], ['dbp:awards']]","['dbo:award', 'dbp:awards']",0.5,0.5,0.5,12,2,2,"[['dbp:awards'], ['dbp:awards']]","['dbo:award', 'dbp:awards']"
86,0.0,0.0,0.0,17,2,0,Which composer subsequent work of Moondog Matinee and also composed The TImes They are A changin ?,"[['dbo:subsequentWork'], ['dbo:musicBy']]",[],0.0,0.0,0.0,17,2,0,"[['dbo:subsequentWork'], ['dbo:musicBy']]",[]
87,0.0,0.0,0.0,11,2,0,Who is the head coach of the teams in Middlesbrough FC?,"[['dbp:club'], ['dbo:manager']]",[],0.0,0.0,0.0,11,2,0,"[['dbp:club'], ['dbo:manager']]",[]
88,0.0,0.0,0.0,19,2,0,How many other wine region are there of the grapes whose one of the wine region is Michigan ?,"[['dbo:wineRegion'], ['dbo:wineRegion']]",[],0.0,0.0,0.0,19,2,0,"[['dbo:wineRegion'], ['dbo:wineRegion']]",[]
89,0.0,0.0,0.0,7,1,0,Is Esther Alder the mayor of Geneva?,[['dbp:mayor']],[],0.0,0.0,0.0,7,1,0,[['dbp:mayor']],[]
90,0.0,0.0,0.0,11,2,0,What is written in a programming language developed by GNOME Project?,"[['dbp:developer'], ['dbp:programmingLanguage']]",[],0.0,0.0,0.0,11,2,0,"[['dbp:developer'], ['dbp:programmingLanguage']]",[]
91,0.0,0.0,0.0,10,1,0,from what town in South West England is nick hewer,[['dbo:birthPlace']],[],0.0,0.0,0.0,10,1,0,[['dbo:birthPlace']],[]
92,0.0,0.0,0.0,9,1,0,Which organisation has superintendent as Lieutenant general (United States)?,[['dbo:superintendent']],[],0.0,0.0,0.0,9,1,0,[['dbo:superintendent']],[]
93,0.0,0.0,0.0,5,1,1,where is lucybell originally from,[['dbo:hometown']],['dbo:birthPlace'],0.0,0.0,0.0,5,1,1,[['dbo:hometown']],['dbo:birthPlace']
94,0.0,0.0,0.0,8,1,0,Who is the monarch of Bertalan Szemere ?,[['dbo:monarch']],[],0.0,0.0,0.0,8,1,0,[['dbo:monarch']],[]
95,0.0,0.0,0.0,9,2,0,Which river flows through both eastern and western washington?,"[['dbo:river'], ['dbo:river']]",[],0.0,0.0,0.0,9,2,0,"[['dbo:river'], ['dbo:river']]",[]
96,0.0,0.0,0.0,8,1,0,What are some scientists who have stateless citizenship?,[['dbo:citizenship']],[],0.0,0.0,0.0,8,1,0,[['dbo:citizenship']],[]
97,0.0,0.0,0.0,9,1,1,Which country does p. s. veerappa have nationality in,[['dbo:birthPlace']],['dbo:nationality'],0.0,0.0,0.0,9,1,0,[['dbo:birthPlace']],[]
98,0.0,0.0,0.0,5,1,1,Where is carlos garaikoetxea from,[['dbo:nationality']],['dbo:birthPlace'],0.0,0.0,0.0,5,1,1,[['dbo:nationality']],['dbo:birthPlace']
99,0.0,0.0,0.0,5,1,2,where did Alfred Tarnowski die?,[['dbp:placeOfDeath']],"['dbo:deathPlace', 'dbp:deathPlace']",0.0,0.0,0.0,5,1,0,[['dbp:placeOfDeath']],[]
100,0.0,0.0,0.0,11,1,0,What are the track and field events of Jamiatu Muslim Mindanao?,[['dbp:athletics']],[],0.0,0.0,0.0,11,1,0,[['dbp:athletics']],[]
101,0.0,0.0,0.0,8,1,0,Name the ssignificant buildings of Ivan Fomin ?,[['dbo:significantBuilding']],[],0.0,0.0,0.0,8,1,0,[['dbo:significantBuilding']],[]
102,0.0,0.0,0.0,9,2,0,Which city has radio stations which are Religious ?,"[['dbp:format'], ['dbp:city']]",[],0.0,0.0,0.0,9,2,0,"[['dbp:format'], ['dbp:city']]",[]
103,0.0,0.0,0.0,17,2,0,List the total number of regions of the building whose are located in\Grand Forks Air Force Base?,"[['dbo:region'], ['dbo:region']]",[],0.0,0.0,0.0,17,2,0,"[['dbo:region'], ['dbo:region']]",[]
104,0.0,0.0,0.0,6,1,1,What's an album that features dalida,[['dbo:type']],['dbo:artist'],0.0,0.0,0.0,6,1,1,[['dbo:type']],['dbo:genre']
105,0.0,0.0,0.0,7,1,0,who operates the south side elevated railroad?,[['dbo:operatedBy']],[],0.0,0.0,0.0,7,1,0,[['dbo:operatedBy']],[]
106,0.0,0.0,0.0,8,1,1,what type of game is quest: brian's journey,[['dbp:modes']],['dbo:genre'],0.0,0.0,0.0,8,1,1,[['dbp:modes']],['dbo:genre']
107,0.0,0.0,0.0,5,1,0,Who wrote the magic show?,[['dbo:author']],[],0.0,0.0,0.0,5,1,1,[['dbo:author']],['dbo:writer']
108,0.0,0.0,0.0,7,1,0,Bickle Knob is contained by which state?,"[['dbo:region', 'dbo:state']]",[],0.0,0.0,0.0,7,1,1,"[['dbo:region', 'dbo:state']]",['dbo:country']
109,0.0,0.0,0.0,7,1,1,What film did burton lane contribute to,[['dbo:musicComposer']],['dbo:writer'],0.0,0.0,0.0,7,1,1,[['dbo:musicComposer']],['dbo:writer']
110,0.0,0.0,0.0,5,1,2,where is sam chan from?,[['dbo:country']],"['dbo:birthPlace', 'dbo:hometown']",0.0,0.0,0.0,5,1,1,[['dbo:country']],['dbo:birthPlace']
111,0.0,0.0,0.0,7,1,1,The nationality of abdul halim sharar is?,[['dbo:nationality']],['dbo:birthPlace'],0.0,0.0,0.0,7,1,0,[['dbo:nationality']],[]
112,0.0,0.0,0.0,10,2,0,"What political party has governed both in Baraily,MP and Jowai?","[['dbo:leaderName'], ['dbo:leaderName']]",[],0.0,0.0,0.0,10,2,0,"[['dbo:leaderName'], ['dbo:leaderName']]",[]
113,0.0,0.0,0.0,6,1,0,what county is john hardin from,[['dbp:namedFor']],[],0.0,0.0,0.0,6,1,1,[['dbp:namedFor']],['dbo:birthPlace']
114,0.0,0.0,0.0,11,2,0,List the area of radio stations whose sister station is WBCQ-FM?,"[['dbp:sisterStations'], ['dbp:area']]",[],0.0,0.0,0.0,11,2,0,"[['dbp:sisterStations'], ['dbp:area']]",[]
115,0.0,0.0,0.0,17,2,0,Name the basketball team which is coached by Louis Dunbar and has president as Jeff Munn ?,"[['dbp:coach'], ['dbp:president']]",[],0.0,0.0,0.0,17,2,0,"[['dbp:coach'], ['dbp:president']]",[]
116,0.0,0.0,0.0,9,1,0,Was robert sarvis a nominee of the US Senate?,[['dbo:nominee']],[],0.0,0.0,0.0,9,1,0,[['dbo:nominee']],[]
117,0.0,0.0,0.0,11,1,0,Was Michael Schumacher the Pole driver of 1994 Spanish Grand Prix?,[['dbp:poleDriver']],[],0.0,0.0,0.0,11,1,0,[['dbp:poleDriver']],[]
118,0.0,0.0,0.0,9,2,0,Which  NASA astronaut was on mission Gemini 8?,"[['dbp:mission'], ['dbp:type']]",[],0.0,0.0,0.0,9,2,0,"[['dbp:mission'], ['dbp:type']]",[]
119,0.0,0.0,0.0,10,1,0,What is the district of Methodist Central Hall Westminster ?,[['dbo:district']],[],0.0,0.0,0.0,10,1,0,[['dbo:district']],[]
120,0.0,0.0,0.0,7,1,1,what is bo brundin's country of nationality,[['dbo:nationality']],['dbo:birthPlace'],0.0,0.0,0.0,7,1,1,[['dbo:nationality']],['dbo:birthPlace']
121,0.0,0.0,0.0,18,2,0,Which appointer of the Joseph Clay (Georgia) is also the  President of the William Carmichael (diplomat) ?,"[['dbo:appointer'], ['dbp:president']]",[],0.0,0.0,0.0,18,2,0,"[['dbo:appointer'], ['dbp:president']]",[]
122,0.0,0.0,0.0,5,1,1,where is maurice tempelsman from,[['dbo:nationality']],['dbo:birthPlace'],0.0,0.0,0.0,5,1,1,[['dbo:nationality']],['dbo:birthPlace']
123,0.0,0.0,0.0,10,1,0,In which television shows has Eliza Schneider given her voice?,[['dbp:voices']],[],0.0,0.0,0.0,10,1,0,[['dbp:voices']],[]
124,0.0,0.0,0.0,9,2,0,Which city's neighboring municipalities are Lancy and  Pregny-Chambsy?,"[['dbo:neighboringMunicipality'], ['dbp:neighboringMunicipalities']]",[],0.0,0.0,0.0,9,2,0,"[['dbo:neighboringMunicipality'], ['dbp:neighboringMunicipalities']]",[]
125,0.0,0.0,0.0,7,1,0,Which basketball team's coach is Kurt Rambis?,[['dbo:coach']],[],0.0,0.0,0.0,7,1,0,[['dbo:coach']],[]
126,0.0,0.0,0.0,11,2,0,"What region was Gloria Schaffer born in, which also contains Newington?","[['dbp:birthPlace'], ['dbo:isPartOf']]",[],0.0,0.0,0.0,11,2,0,"[['dbp:birthPlace'], ['dbo:isPartOf']]",[]
127,0.0,0.0,0.0,15,2,0,Who are the people whose alumna is a part of the National Collegiate Athletic Association?,"[['dbo:athletics'], ['dbp:education']]",[],0.0,0.0,0.0,15,2,0,"[['dbo:athletics'], ['dbp:education']]",[]
128,0.0,0.0,0.0,7,1,1,Where was bryn lewis when he died,[['dbp:deathPlace']],['dbo:deathPlace'],0.0,0.0,0.0,7,1,1,[['dbp:deathPlace']],['dbo:deathPlace']
129,0.0,0.0,0.0,8,2,0,Where do the CNN employees typically graduate from?,"[['dbp:employer'], ['dbo:almaMater']]",[],0.0,0.0,0.0,8,2,0,"[['dbp:employer'], ['dbo:almaMater']]",[]
130,0.0,0.0,0.0,11,2,0,What have been made in the state whose capital is Boston?,"[['dbp:capital'], ['dbo:location']]",[],0.0,0.0,0.0,11,2,0,"[['dbp:capital'], ['dbo:location']]",[]
131,0.0,0.0,0.0,13,2,0,To which places do the flights go by airlines headquartered in the UK?,"[['dbp:headquarters'], ['dbp:destinations']]",[],0.0,0.0,0.0,13,2,0,"[['dbp:headquarters'], ['dbp:destinations']]",[]
