,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right
48,1.0,1.0,1.0,8,1,1,What type of game is tork: prehistoric punk?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
50,1.0,1.0,1.0,11,1,1,what musical genre does the artist  the fiery furnaces create,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,11,1,1,[['dbo:genre']],['dbo:genre']
51,1.0,1.0,1.0,9,1,1,Who was a writer for the episode the forgotten,[['dbo:writer']],['dbo:writer'],1.0,1.0,1.0,9,1,1,[['dbo:writer']],['dbo:writer']
52,1.0,1.0,1.0,10,1,2,Who is a film director that was born in aarhus?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",1.0,1.0,1.0,10,1,2,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
53,1.0,1.0,1.0,6,1,1,what position does miguel areias play,[['dbo:position']],['dbo:position'],1.0,1.0,1.0,6,1,1,[['dbo:position']],['dbo:position']
54,1.0,1.0,1.0,8,1,1,what type of school is rogers high school,[['dbo:type']],['dbo:type'],1.0,1.0,1.0,8,1,1,[['dbo:type']],['dbo:type']
55,1.0,1.0,1.0,6,1,1,what position does lee sang-ho play?,[['dbo:position']],['dbo:position'],1.0,1.0,1.0,6,1,1,[['dbo:position']],['dbo:position']
56,1.0,1.0,1.0,11,1,1,What is the name of an album by the bouncing souls,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,11,1,1,[['dbo:artist']],['dbo:artist']
57,1.0,1.0,1.0,7,1,2,What German rower was born in speyer?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",1.0,1.0,1.0,7,1,2,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
59,1.0,1.0,1.0,9,1,1,What kind of school is middle college high school?,[['dbo:type']],['dbo:type'],1.0,1.0,1.0,9,1,1,[['dbo:type']],['dbo:type']
61,1.0,1.0,1.0,5,1,1,Who are alternative rock artists?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,5,1,1,[['dbo:genre']],['dbo:genre']
62,1.0,1.0,1.0,8,1,1,What's a game classified as a tactical shooter,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
63,1.0,1.0,1.0,8,1,1,what is the genre of the album introspective,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
64,1.0,1.0,1.0,5,1,1,what nationality is david rozgonyi,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,5,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
65,1.0,1.0,1.0,7,1,1,What type of music does buckethead play,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,7,1,1,[['dbo:genre']],['dbo:genre']
67,1.0,1.0,1.0,7,1,1,what time zone is ben arous in?,[['dbo:timeZone']],['dbo:timeZone'],1.0,1.0,1.0,7,1,1,[['dbo:timeZone']],['dbo:timeZone']
69,1.0,1.0,1.0,7,1,1,what genre does butt trumpet compose in,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,7,1,1,[['dbo:genre']],['dbo:genre']
70,1.0,1.0,1.0,8,1,1,what kind of music does tim armstrong play,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
72,1.0,1.0,1.0,7,1,2,which swedish singer was born in kungsbacka,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",1.0,1.0,1.0,7,1,2,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
73,1.0,1.0,1.0,11,1,1,what kind of game is pirates: the legend of black kat?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,11,1,1,[['dbo:genre']],['dbo:genre']
74,1.0,1.0,1.0,6,1,1,what label is a part of,[['dbo:recordLabel']],['dbo:recordLabel'],1.0,1.0,1.0,6,1,1,[['dbo:recordLabel']],['dbo:recordLabel']
75,1.0,1.0,1.0,6,1,7,What is a raion within kiev?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",1.0,1.0,1.0,6,1,7,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
76,1.0,1.0,1.0,6,1,1,which country is bernd hollerbach from,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,6,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
78,1.0,1.0,1.0,11,1,1,"if spellfire is a novel, what kind of book is it",[['dbo:literaryGenre']],['dbo:literaryGenre'],1.0,1.0,1.0,11,1,1,[['dbo:literaryGenre']],['dbo:literaryGenre']
79,0.5,1.0,0.6666666666666666,15,2,1,Which battle is Jim Jones associated with to which Allen Boyd is also associated ?,"[['dbp:battles'], ['dbo:battle']]",['dbo:battle'],1.0,1.0,1.0,15,2,2,"[['dbp:battles'], ['dbo:battle']]","['dbo:battle', 'dbp:battles']"
80,1.0,1.0,1.0,10,1,1,What is the title of an album by the shamen?,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,10,1,1,[['dbo:artist']],['dbo:artist']
81,1.0,1.0,1.0,7,1,2,who was an influence on helena blavatsky,"[['dbo:influencedBy', 'dbo:influenced']]","['dbo:influenced', 'dbo:influencedBy']",1.0,1.0,1.0,7,1,2,"[['dbo:influencedBy', 'dbo:influenced']]","['dbo:influenced', 'dbo:influencedBy']"
82,1.0,1.0,1.0,7,1,1,what type of release is texican badman,[['dbo:type']],['dbo:type'],1.0,1.0,1.0,7,1,1,[['dbo:type']],['dbo:type']
83,1.0,1.0,1.0,10,1,2,What is the name of a historical fiction tv program?,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",1.0,1.0,1.0,10,1,2,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']"
84,1.0,1.0,1.0,9,1,1,whose music is in the film door ki awaaz?,[['dbo:musicComposer']],['dbo:musicComposer'],1.0,1.0,1.0,9,1,1,[['dbo:musicComposer']],['dbo:musicComposer']
85,1.0,1.0,1.0,5,1,1,What is kunal khemu's nationality?,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,5,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
87,1.0,1.0,1.0,8,1,1,which mountain range includes the mountain gasherbrum iii,[['dbo:mountainRange']],['dbo:mountainRange'],1.0,1.0,1.0,8,1,1,[['dbo:mountainRange']],['dbo:mountainRange']
88,1.0,1.0,1.0,7,1,1,what genre of music is ima robot,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,7,1,1,[['dbo:genre']],['dbo:genre']
89,1.0,1.0,1.0,6,1,1,which conflict did pericles participate in,[['dbo:battle']],['dbo:battle'],1.0,1.0,1.0,6,1,1,[['dbo:battle']],['dbo:battle']
90,1.0,1.0,1.0,7,1,1,which album is created by joshua redman,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,7,1,1,[['dbo:artist']],['dbo:artist']
91,1.0,1.0,1.0,3,1,1,Who composed bad,[['dbo:writer']],['dbo:writer'],1.0,1.0,1.0,3,1,1,[['dbo:writer']],['dbo:writer']
92,1.0,1.0,1.0,9,1,1,what type of music is the artist joanna james,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,9,1,1,[['dbo:genre']],['dbo:genre']
93,1.0,1.0,1.0,8,1,1,what album is by the artist mike oldfield?,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,8,1,1,[['dbo:artist']],['dbo:artist']
94,1.0,1.0,1.0,8,1,1,Who did the music for hard candy (film),[['dbo:musicComposer']],['dbo:musicComposer'],1.0,1.0,1.0,8,1,1,[['dbo:musicComposer']],['dbo:musicComposer']
98,1.0,1.0,1.0,11,1,2,"what former professional football player was born in  homestead, florida","[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",1.0,1.0,1.0,11,1,2,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
99,1.0,1.0,1.0,7,1,2,what is a 1970's western (genre) show,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",1.0,1.0,1.0,7,1,2,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']"
100,1.0,1.0,1.0,6,1,1,from what country is toñito from,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,6,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
101,1.0,1.0,1.0,6,1,2,Where is the valea negrii river?,"[['dbo:country', 'dbo:district']]","['dbo:country', 'dbo:district']",1.0,1.0,1.0,6,1,1,"[['dbo:country', 'dbo:district']]",['dbo:country']
102,1.0,1.0,1.0,8,1,1,What's an artist that would be labeled post-grunge,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
104,1.0,1.0,1.0,6,1,1,what religion does brad owen practice,[['dbo:religion']],['dbo:religion'],1.0,1.0,1.0,6,1,1,[['dbo:religion']],['dbo:religion']
105,1.0,1.0,1.0,9,1,1,What is the name of track by wild nothing?,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,9,1,1,[['dbo:artist']],['dbo:artist']
106,1.0,1.0,1.0,6,1,1,what position does daniel mckay play,[['dbo:position']],['dbo:position'],1.0,1.0,1.0,6,1,1,[['dbo:position']],['dbo:position']
107,1.0,1.0,1.0,8,1,2,Which sketch comedy shows came out in 1999,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",1.0,1.0,1.0,8,1,2,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']"
108,1.0,1.0,1.0,6,1,1,What time zone is Troy Township?,[['dbo:timeZone']],['dbo:timeZone'],1.0,1.0,1.0,6,1,1,[['dbo:timeZone']],['dbo:timeZone']
109,1.0,1.0,1.0,10,1,1,what type of gameplay mode is the game zombie zombie?,[['dbp:modes']],['dbp:modes'],1.0,1.0,1.0,10,1,1,[['dbp:modes']],['dbp:modes']
111,1.0,1.0,1.0,8,1,1,what is a known track by 24-7 spyz,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,8,1,1,[['dbo:artist']],['dbo:artist']
112,1.0,1.0,1.0,5,1,1,Where did tzavalas karousos die,[['dbo:deathPlace']],['dbo:deathPlace'],1.0,1.0,1.0,5,1,1,[['dbo:deathPlace']],['dbo:deathPlace']
113,1.0,1.0,1.0,6,1,1,where did marco polo pass away,[['dbo:deathPlace']],['dbo:deathPlace'],1.0,1.0,1.0,6,1,1,[['dbo:deathPlace']],['dbo:deathPlace']
114,1.0,1.0,1.0,6,1,1,Who owns the wdtw-fm radio station,[['dbo:owner']],['dbo:owner'],1.0,1.0,1.0,6,1,1,[['dbo:owner']],['dbo:owner']
115,1.0,1.0,1.0,7,1,1,What is an album of power pop?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,7,1,1,[['dbo:genre']],['dbo:genre']
116,1.0,1.0,1.0,11,1,1,Which genre of music is the album i am a photograph?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,11,1,1,[['dbo:genre']],['dbo:genre']
117,1.0,0.5,0.6666666666666666,5,1,2,which painter influenced byron galvez,[['dbo:influencedBy']],"['dbo:influenced', 'dbo:influencedBy']",1.0,0.5,0.6666666666666666,5,1,2,[['dbo:influencedBy']],"['dbo:influenced', 'dbo:influencedBy']"
120,1.0,1.0,1.0,9,1,1,What war did walter bedell smith take part in,[['dbo:battle']],['dbo:battle'],1.0,1.0,1.0,9,1,1,[['dbo:battle']],['dbo:battle']
121,1.0,1.0,1.0,10,1,1,what's the main gameplay mode of xak i & ii,[['dbp:modes']],['dbp:modes'],1.0,1.0,1.0,10,1,1,[['dbp:modes']],['dbp:modes']
122,1.0,1.0,1.0,10,1,1,What is the name of an album by juelz santana,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,10,1,1,[['dbo:artist']],['dbo:artist']
123,1.0,1.0,1.0,5,1,1,where was andrew higgins born,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,5,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
125,1.0,1.0,1.0,7,1,1,which military commander died from a gunshot?,[['dbo:deathCause']],['dbo:deathCause'],1.0,1.0,1.0,7,1,1,[['dbo:deathCause']],['dbo:deathCause']
126,1.0,1.0,1.0,6,1,2,in what state is kenosha located,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",1.0,1.0,1.0,6,1,2,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
127,1.0,1.0,1.0,5,1,1,what are hard rock albums?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,5,1,1,[['dbo:genre']],['dbo:genre']
128,0.5,1.0,0.6666666666666666,9,2,1,Which religion followers are in the Royal Thai Army?,"[['dbo:militaryBranch'], ['dbo:religion']]",['dbo:religion'],0.5,1.0,0.6666666666666666,9,2,1,"[['dbo:militaryBranch'], ['dbo:religion']]",['dbo:religion']
131,1.0,1.0,1.0,8,1,1,Where in mississippi was nathaniel h. harris born,"[['dbp:birthPlace', 'dbo:birthPlace']]",['dbo:birthPlace'],1.0,1.0,1.0,8,1,1,"[['dbp:birthPlace', 'dbo:birthPlace']]",['dbo:birthPlace']
132,1.0,1.0,1.0,8,1,1,what label is  illinois jacquet apart of,[['dbo:recordLabel']],['dbo:recordLabel'],1.0,1.0,1.0,8,1,1,[['dbo:recordLabel']],['dbo:recordLabel']
133,1.0,1.0,1.0,10,1,1,what position is baseball player joe margoneri known to play,[['dbo:position']],['dbo:position'],1.0,1.0,1.0,10,1,1,[['dbo:position']],['dbo:position']
134,1.0,1.0,1.0,8,1,1,who is an artist that performs experimental music,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
135,1.0,1.0,1.0,12,1,1,who was the writer of the film the punch and judy man,[['dbo:writer']],['dbo:writer'],1.0,1.0,1.0,12,1,1,[['dbo:writer']],['dbo:writer']
136,1.0,1.0,1.0,6,1,2,where is mashpee neck located in,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",1.0,1.0,1.0,6,1,1,"[['dbo:country', 'dbo:isPartOf']]",['dbo:country']
137,1.0,1.0,1.0,10,1,1,what city and state was c. jack ellis born in,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,10,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
138,1.0,0.5,0.6666666666666666,3,1,2,Where is castricum,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:region']",1.0,1.0,1.0,3,1,1,"[['dbo:country', 'dbo:isPartOf']]",['dbo:country']
140,1.0,1.0,1.0,8,1,1,what album is in the heavy metal genre?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
141,1.0,1.0,1.0,6,1,1,Who published golden axe: beast rider,[['dbo:publisher']],['dbo:publisher'],1.0,1.0,1.0,6,1,1,[['dbo:publisher']],['dbo:publisher']
142,1.0,1.0,1.0,7,1,2,What Italian artist was born in rome?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",1.0,1.0,1.0,7,1,2,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
143,1.0,1.0,1.0,6,1,2,where did laila ghofran come from,"[['dbo:hometown', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbo:hometown']",1.0,1.0,1.0,6,1,1,"[['dbo:hometown', 'dbo:birthPlace']]",['dbo:hometown']
144,1.0,1.0,1.0,5,1,1,where was gary coulibaly born,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,5,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
145,1.0,1.0,1.0,7,1,1,What was gracita morales's place of death?,[['dbo:deathPlace']],['dbo:deathPlace'],1.0,1.0,1.0,7,1,1,[['dbo:deathPlace']],['dbo:deathPlace']
147,1.0,1.0,1.0,4,1,2,Who influenced albert einstein,"[['dbo:influencedBy', 'dbo:influenced']]","['dbo:influenced', 'dbo:influencedBy']",1.0,1.0,1.0,4,1,2,"[['dbo:influencedBy', 'dbo:influenced']]","['dbo:influenced', 'dbo:influencedBy']"
148,1.0,1.0,1.0,10,1,1,who wrote the music for the movie women in trouble,[['dbo:musicComposer']],['dbo:musicComposer'],1.0,1.0,1.0,10,1,1,[['dbo:musicComposer']],['dbo:musicComposer']
149,1.0,1.0,1.0,6,1,1,what film did richard curtis write?,[['dbo:writer']],['dbo:writer'],1.0,1.0,1.0,6,1,1,[['dbo:writer']],['dbo:writer']
150,1.0,1.0,1.0,8,1,1,what is a major landmark in downtown cleveland,[['dbo:location']],['dbo:location'],1.0,1.0,1.0,8,1,1,[['dbo:location']],['dbo:location']
151,1.0,1.0,1.0,9,1,1,Who wrote the lyrics for beyond here lies nothin'?,[['dbo:writer']],['dbo:writer'],1.0,1.0,1.0,9,1,1,[['dbo:writer']],['dbo:writer']
152,1.0,0.8,0.888888888888889,5,1,5,what is located in jakarta?,"[['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",1.0,0.8333333333333334,0.9090909090909091,5,1,6,"[['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']"
153,1.0,1.0,1.0,5,1,1,Where was mike bellamy born?,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,5,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
