,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations
40,1.0,1.0,1.0,7,1,1,what label is kenny loggins signed to,[['dbo:recordLabel']],['dbo:recordLabel']
41,1.0,1.0,1.0,7,1,1,Which position does zhang wenzhao currently play?,[['dbo:position']],['dbo:position']
42,0.0,0.0,0.0,5,1,0,what is toyota carina's successor?,[['dbo:successor']],[]
43,1.0,1.0,1.0,7,1,1,what is a song recorded by anggun,[['dbo:artist']],['dbo:artist']
44,1.0,1.0,1.0,5,1,1,what business is permira in,[['dbo:industry']],['dbo:industry']
45,1.0,1.0,1.0,5,1,1,which city contains hurricane isaac,[['dbp:areas']],['dbp:areas']
46,1.0,1.0,1.0,6,1,1,what genre is the album mabruk?,[['dbo:genre']],['dbo:genre']
47,1.0,1.0,1.0,5,1,7,What is contained in Illinois?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
48,1.0,1.0,1.0,15,1,1,What genre of album is the lord of the rings: the fellowship of the ring,[['dbo:genre']],['dbo:genre']
49,1.0,1.0,1.0,5,1,1,What nationality is zhai yanpeng,[['dbo:birthPlace']],['dbo:birthPlace']
50,0.5,1.0,0.6666666666666666,8,2,1,How many companies have developed cross platformed softwares?,"[['dbp:operatingSystem'], ['dbo:developer']]",['dbo:developer']
51,1.0,1.0,1.0,5,1,1,Where did thomas tusser die,[['dbo:deathPlace']],['dbo:deathPlace']
52,1.0,1.0,1.0,9,1,1,in what puerto rican town was carlos delgado born,[['dbo:birthPlace']],['dbo:birthPlace']
53,0.0,0.0,0.0,10,1,0,What are the teams for which Wilfred McDonald played for?,[['dbp:playedFor']],[]
54,1.0,1.0,1.0,9,1,2, Waht is a Russian bishop located in kashira?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
55,1.0,1.0,1.0,7,1,1,what films were released by lionsgate entertainment,[['dbo:distributor']],['dbo:distributor']
56,1.0,1.0,1.0,11,1,1,What is the name of a popular album by ryuichi sakamoto,[['dbo:artist']],['dbo:artist']
57,0.0,0.0,0.0,12,1,0,In which television shows have Steven Moffat served as an executive producer?,[['dbo:executiveProducer']],[]
58,1.0,1.0,1.0,10,1,2,who is a person that was born in  beersheba,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
59,1.0,1.0,1.0,6,1,2,What county is maple valley within,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
60,1.0,0.5,0.6666666666666666,5,1,2,who is arjumand banu's child,[['dbo:parent']],"['dbo:child', 'dbo:parent']"
61,0.0,0.0,0.0,19,2,0,List all the former partners of the figure skater whose one of the former partner was Andrea poapst ?,"[['dbo:formerPartner'], ['dbo:formerPartner']]",[]
62,1.0,1.0,1.0,8,1,1,what films have been directed by nancy walker?,[['dbo:director']],['dbo:director']
63,0.0,0.0,0.0,15,2,0,Which writer of Tales of Suspense is also the writer of karakuri Dji Ultimo ?,"[['dbp:author'], ['dbp:writers']]",[]
64,1.0,1.0,1.0,8,1,1,what kind of music does djansug kakhidze perform,[['dbo:genre']],['dbo:genre']
65,1.0,1.0,1.0,5,1,1,who produced the real glory?,[['dbo:producer']],['dbo:producer']
66,1.0,1.0,1.0,9,1,1,which municipality of Puerto Rico is bobby valentín fmor,"[['dbo:hometown', 'dbo:birthPlace']]",['dbo:birthPlace']
67,1.0,1.0,1.0,6,1,1,Who would be called heavy metal,[['dbo:genre']],['dbo:genre']
68,1.0,1.0,1.0,5,1,1,where was marcelo garcia born,[['dbo:birthPlace']],['dbo:birthPlace']
69,0.0,0.0,0.0,8,2,1,Who appointed the successor of Charles Pinckney ?,"[['dbo:successor'], ['dbp:appointer']]",['dbp:successor']
70,1.0,1.0,1.0,7,1,1,What label is joaquin cardiel signed to,[['dbo:recordLabel']],['dbo:recordLabel']
71,1.0,1.0,1.0,5,1,1,where did theodore achilles die,[['dbo:deathPlace']],['dbo:deathPlace']
72,1.0,1.0,1.0,9,1,7,what is a town located in georgia (u.s. state),"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
73,1.0,1.0,1.0,8,1,1,which city uses north american central time zone,[['dbo:timeZone']],['dbo:timeZone']
74,1.0,1.0,1.0,9,1,1,What is the name of an album by heiruspecs,[['dbo:artist']],['dbo:artist']
75,1.0,0.875,0.9333333333333333,6,1,8,What is a location in canada,"[['dbo:province', 'dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:province', 'dbo:region', 'dbo:state']"
76,1.0,0.5,0.6666666666666666,6,1,2,"What state is wallula, washington in?",[['dbo:isPartOf']],"['dbo:country', 'dbo:isPartOf']"
77,1.0,1.0,1.0,7,1,1,what city is st. charles-muller's hotel located,[['dbo:location']],['dbo:location']
78,1.0,1.0,1.0,3,1,1,Who directed ghajini?,[['dbo:director']],['dbo:director']
79,1.0,1.0,1.0,8,1,1,what kind of music does paolo zavallone like,[['dbo:genre']],['dbo:genre']
80,1.0,1.0,1.0,7,1,1,In which municipality did richard katz die?,[['dbo:deathPlace']],['dbo:deathPlace']
81,1.0,1.0,1.0,6,1,2,"which county contains monte sereno, california","[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
82,1.0,1.0,1.0,11,1,1,is big sugar a blues or contemporary rhythm and blues album,[['dbo:genre']],['dbo:genre']
83,1.0,1.0,1.0,6,1,1,what compositions have paul raven composed?,[['dbo:writer']],['dbo:writer']
84,1.0,1.0,1.0,11,1,1,what types of book is the problem of the covered bridge,[['dbo:literaryGenre']],['dbo:literaryGenre']
85,0.0,0.0,0.0,21,2,0,"Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames?","[['dbo:commander'], ['dbo:commander']]",[]
86,1.0,1.0,1.0,9,1,1,What type of school is the management development institute,[['dbo:type']],['dbo:type']
87,1.0,1.0,1.0,5,1,1,Where is rosie rowell from,[['dbo:birthPlace']],['dbo:birthPlace']
88,1.0,1.0,1.0,6,1,2,what larger area includes cerreto laziale,"[['dbo:country', 'dbo:region']]","['dbo:country', 'dbo:region']"
89,1.0,1.0,1.0,7,1,1,who was the editor for american teacher,[['dbo:editing']],['dbo:editing']
90,1.0,1.0,1.0,7,1,1,what industry is  midwest airlines in,[['dbo:industry']],['dbo:industry']
91,0.0,0.0,0.0,11,1,0,Which military people served their allegiance to Union (American Civil War)?,[['dbp:allegiance']],[]
92,1.0,1.0,1.0,7,1,1,What genre is the book Bad Business?,[['dbo:literaryGenre']],['dbo:literaryGenre']
93,1.0,1.0,1.0,8,1,1,what position does takis gonias play for football?,[['dbo:position']],['dbo:position']
94,1.0,1.0,1.0,8,1,1,Which country is the film pole poppenspäler from?,[['dbo:country']],['dbo:country']
95,1.0,1.0,1.0,7,1,1,who produced  it happened one night,[['dbo:producer']],['dbo:producer']
96,1.0,1.0,1.0,5,1,2,Where is drukgyal dzong located?,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
97,1.0,1.0,1.0,5,1,1,what genre is tour 2003?,[['dbo:genre']],['dbo:genre']
98,1.0,1.0,1.0,8,1,1,which comedy album was recorded by bob saget?,[['dbo:type']],['dbo:type']
99,1.0,1.0,1.0,5,1,1,Where did aranmula ponnamma die,[['dbo:deathPlace']],['dbo:deathPlace']
100,1.0,1.0,1.0,4,1,1,what game requires multiplayer,[['dbp:modes']],['dbp:modes']
101,1.0,1.0,1.0,5,1,1,Name a dance music album.,[['dbo:genre']],['dbo:genre']
102,1.0,1.0,1.0,7,1,1,what movie is produced by michael balcon,[['dbo:producer']],['dbo:producer']
103,1.0,1.0,1.0,8,1,1,Who developed the video game World of Warcraft?,[['dbo:developer']],['dbo:developer']
104,1.0,1.0,1.0,10,1,1,who is the executive producer of the film the company?,[['dbo:producer']],['dbo:producer']
105,1.0,1.0,1.0,7,1,1,which continent was melissa hauschildt born in,[['dbo:birthPlace']],['dbo:birthPlace']
106,1.0,1.0,1.0,6,1,1,What position does lou vedder play,[['dbo:position']],['dbo:position']
107,1.0,1.0,1.0,8,1,1,What type of show is beat the boss?,[['dbo:genre']],['dbo:genre']
108,1.0,1.0,1.0,6,1,1,Where was peter hathaway capstick born?,[['dbo:birthPlace']],['dbo:birthPlace']
109,1.0,1.0,1.0,5,1,1,which artist creates world music,[['dbo:genre']],['dbo:genre']
110,1.0,1.0,1.0,5,1,1,who directed steal this movie!,[['dbo:director']],['dbo:director']
111,1.0,1.0,1.0,6,1,2,what US state is whitfield in,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
112,1.0,1.0,1.0,6,1,1,Who wrote the film 800 bullets,[['dbo:writer']],['dbo:writer']
113,1.0,1.0,1.0,9,1,1,what kind of music does jet lag gemini make?,[['dbo:genre']],['dbo:genre']
114,1.0,1.0,1.0,8,1,1,what kind of music does martin axenrot perform,[['dbo:genre']],['dbo:genre']
115,1.0,1.0,1.0,9,1,7,whats one of the largest states in the US,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
116,1.0,1.0,1.0,6,1,2,which actor was born in wrexham?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
117,1.0,1.0,1.0,9,1,1,which song did yael naim write the lyrics for,[['dbo:writer']],['dbo:writer']
118,1.0,1.0,1.0,6,1,1,what genre is the album fvlgvres,[['dbo:genre']],['dbo:genre']
119,1.0,1.0,1.0,6,1,1,what position does ed frutig play,[['dbo:position']],['dbo:position']
120,0.5,1.0,0.6666666666666666,12,2,1,What is the common party of Chandra Shekhar and Govinda  ?,"[['dbo:otherParty'], ['dbo:party']]",['dbo:party']
121,1.0,1.0,1.0,6,1,1,where did kim nam-il originate from,[['dbo:birthPlace']],['dbo:birthPlace']
122,1.0,1.0,1.0,7,1,1,What country made the film nebeští jezdci,[['dbo:country']],['dbo:country']
123,1.0,1.0,1.0,6,1,1,What area does jomsom airport serve,[['dbo:city']],['dbo:city']
124,0.0,0.0,0.0,6,1,1,which country is timo salonen from,[['dbp:birthPlace']],['dbo:birthPlace']
125,1.0,1.0,1.0,9,1,7,Name a city and state in the united states,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
126,0.0,0.0,0.0,12,1,0,What is the mountain whose parent mountain peak is Nevado de Toluca?,[['dbo:parentMountainPeak']],[]
127,1.0,1.0,1.0,7,1,1,which city did duran duran originate from,[['dbo:hometown']],['dbo:hometown']
128,1.0,1.0,1.0,7,1,1,who was the author of blood rites,[['dbo:author']],['dbo:author']
129,0.0,0.0,0.0,5,1,0,Which rivers start in Wyoming?,[['dbo:sourceRegion']],[]
130,1.0,1.0,1.0,6,1,2,Which ruler was born in beijing?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
131,1.0,1.0,1.0,6,1,2,Name a lake within kalamazoo county,"[['dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location']"
132,0.0,0.0,0.0,6,1,7,What is an airport inside ontario?,[['dbp:cityServed']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
133,1.0,1.0,1.0,8,1,1,what city in England did gerard heinz die,[['dbo:deathPlace']],['dbo:deathPlace']
134,1.0,1.0,1.0,10,1,1,what language is spoken in the film muqaddar ka faisla,[['dbo:language']],['dbo:language']
135,1.0,1.0,1.0,7,1,1,which country is filmed in the trial,[['dbo:country']],['dbo:country']
136,0.0,0.0,0.0,10,1,1,whats the title of an  album by ben webster,[['dbo:type']],['dbo:artist']
137,1.0,1.0,1.0,8,1,1,Name a composition from the composer Lionel Bart.,[['dbo:writer']],['dbo:writer']
138,1.0,1.0,1.0,8,1,1,which rock music album was released in 2005?,[['dbo:genre']],['dbo:genre']
139,1.0,1.0,1.0,11,1,1,What is the genre of the album for all of this,[['dbo:genre']],['dbo:genre']
140,1.0,1.0,1.0,6,1,1,What genre of game is legoland?,[['dbo:genre']],['dbo:genre']
141,1.0,1.0,1.0,8,1,1,What genre of music does Travis Cottrell perform?,[['dbo:genre']],['dbo:genre']
142,1.0,1.0,1.0,6,1,7,whats a town in north carolina,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
143,1.0,1.0,1.0,8,1,1,What type of game is tork: prehistoric punk?,[['dbo:genre']],['dbo:genre']
144,1.0,1.0,1.0,9,1,1,Which country does peter soulsby have his nationality in,[['dbo:nationality']],['dbo:nationality']
145,1.0,1.0,1.0,6,1,1,where do people speak kung-ekoka language,[['dbo:spokenIn']],['dbo:spokenIn']
146,0.0,0.0,0.0,17,2,0,"Which founder of European School, karlsruhe is also the jursdiction of Eurpoean Border of Coast guard ?","[['dbp:jurisdiction'], ['dbp:founder']]",[]
147,1.0,1.0,1.0,7,1,1,what type of music does conefive play?,[['dbo:genre']],['dbo:genre']
148,1.0,1.0,1.0,6,1,1,Which film is a silent film?,[['dbo:language']],['dbo:language']
149,1.0,1.0,1.0,7,1,1,Where was adolphe perraud's place of death?,[['dbo:deathPlace']],['dbo:deathPlace']
150,1.0,1.0,1.0,11,1,1,what musical genre does the artist  the fiery furnaces create,[['dbo:genre']],['dbo:genre']
151,1.0,1.0,1.0,11,1,1,what prince consort is princess alice of the united kingdom's father,[['dbo:parent']],['dbo:parent']
152,1.0,1.0,1.0,9,1,1,Who was a writer for the episode the forgotten,[['dbo:writer']],['dbo:writer']
153,0.0,0.0,0.0,12,1,0,"Over how many cities did the Bellaton MMA, Season 11 take place?",[['dbp:city']],[]
154,1.0,1.0,1.0,5,1,1,Where did lewis billups die?,[['dbo:deathPlace']],['dbo:deathPlace']
155,1.0,1.0,1.0,8,1,1,which war did harold e. wilson attend to,[['dbo:battle']],['dbo:battle']
156,1.0,1.0,1.0,11,1,1,who was the creator of the fictional character  doctor faustus,[['dbo:creator']],['dbo:creator']
157,1.0,1.0,1.0,9,1,1,who provided the music for the film dragons forever?,[['dbo:musicComposer']],['dbo:musicComposer']
158,1.0,1.0,1.0,10,1,2,Who is a film director that was born in aarhus?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
159,1.0,1.0,1.0,5,1,1,Where is al suomi from,[['dbo:birthPlace']],['dbo:birthPlace']
160,1.0,1.0,1.0,11,1,1,What is the name of an album that the whigs recorded?,[['dbo:artist']],['dbo:artist']
161,1.0,1.0,1.0,9,1,1,what style of music does kieran hebden belong to?,[['dbo:genre']],['dbo:genre']
162,1.0,1.0,1.0,7,1,1,Which album is also an album release?,[['dbo:type']],['dbo:type']
163,1.0,1.0,1.0,8,1,1,what type of album is the remix album,[['dbo:genre']],['dbo:genre']
164,1.0,1.0,1.0,6,1,1,what position does miguel areias play,[['dbo:position']],['dbo:position']
165,1.0,1.0,1.0,10,1,7,what is the name of a city located in louisiana,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
166,1.0,1.0,1.0,4,1,1,Who plays the guitar?,[['dbo:instrument']],['dbo:instrument']
167,1.0,1.0,1.0,6,1,1,what position does anthony mounier play,[['dbo:position']],['dbo:position']
168,1.0,1.0,1.0,8,1,1,what type of school is rogers high school,[['dbo:type']],['dbo:type']
169,1.0,1.0,1.0,5,1,1,what album did kiss record,[['dbo:artist']],['dbo:artist']
170,1.0,1.0,1.0,6,1,1,what position does lee sang-ho play?,[['dbo:position']],['dbo:position']
171,0.0,0.0,0.0,12,1,1,what type of musical compilation is the free for all tour (demo),[['dbo:type']],['dbo:genre']
172,1.0,1.0,1.0,8,1,1,what revolutionary war did james richards participate in,[['dbo:battle']],['dbo:battle']
173,1.0,1.0,1.0,7,1,1,what is an album by urge overkill,[['dbo:artist']],['dbo:artist']
174,1.0,1.0,1.0,9,1,1,"what types of music is save me, san francisco",[['dbo:genre']],['dbo:genre']
175,0.5,1.0,0.6666666666666666,13,2,1,Count the number of shows whose creators are Jerry Seinfeld and Larry David?,"[['dbo:creator'], ['dbo:creator']]",['dbo:creator']
176,1.0,1.0,1.0,11,1,1,What is the name of an album by the bouncing souls,[['dbo:artist']],['dbo:artist']
177,1.0,1.0,1.0,9,1,7,What is the name of a community in kentucky?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
178,1.0,1.0,1.0,8,1,1,what kind of school is bathurst high school,[['dbo:type']],['dbo:type']
179,1.0,1.0,1.0,7,1,2,What German rower was born in speyer?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
180,1.0,1.0,1.0,8,1,1,Which language family do uto-aztecan languages belong to?,[['dbo:languageFamily']],['dbo:languageFamily']
181,1.0,1.0,1.0,9,1,1,What kind of school is middle college high school?,[['dbo:type']],['dbo:type']
182,1.0,1.0,1.0,7,1,1,Where was Álvaro raposo de oliveira born?,[['dbo:birthPlace']],['dbo:birthPlace']
183,1.0,1.0,1.0,8,1,1,what position does karim hendou play in soccer,[['dbo:position']],['dbo:position']
184,1.0,1.0,1.0,8,1,1,where in california did andrew l. stone die?,[['dbo:deathPlace']],['dbo:deathPlace']
185,1.0,1.0,1.0,5,1,1,where was andrew buchan born,[['dbo:birthPlace']],['dbo:birthPlace']
186,0.0,0.0,0.0,7,1,1,What is the nationality of jade macrae,[['dbo:hometown']],['dbo:nationality']
187,1.0,1.0,1.0,12,1,1,what genre of music does the album throat full of heart feature,[['dbo:genre']],['dbo:genre']
188,1.0,1.0,1.0,6,1,1,which instrument did george morgan play,[['dbo:instrument']],['dbo:instrument']
189,1.0,1.0,1.0,5,1,1,Who are alternative rock artists?,[['dbo:genre']],['dbo:genre']
190,1.0,1.0,1.0,8,1,1,What area does clarksville/red river county airport serve?,[['dbo:city']],['dbo:city']
191,1.0,1.0,1.0,5,1,1,Who is a notable screenwriter,[['dbo:occupation']],['dbo:occupation']
192,1.0,1.0,1.0,7,1,1,what industry is the business tefen in,[['dbo:industry']],['dbo:industry']
193,1.0,1.0,1.0,8,1,1,What's a game classified as a tactical shooter,[['dbo:genre']],['dbo:genre']
194,1.0,1.0,1.0,6,1,7,What is a town in michigan?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
195,0.0,0.0,0.0,14,2,0,Name the artist who made Dream Dancing and is often associated with Joe Pass?,"[['dbp:artist'], ['dbo:associatedBand']]",[]
196,0.0,0.0,0.0,8,1,0,Is Brazilian jiu-jitsu the trainer of Nick Diaz?,[['dbo:trainer']],[]
197,1.0,1.0,1.0,8,1,1,what is the genre of the album introspective,[['dbo:genre']],['dbo:genre']
198,1.0,1.0,1.0,7,1,1,who executively produced rise of the guardians,[['dbo:producer']],['dbo:producer']
199,1.0,1.0,1.0,7,1,1,what is kim hye-jin's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace']
200,1.0,1.0,1.0,7,1,1,what kind of music does arianna perform,[['dbo:genre']],['dbo:genre']
201,1.0,1.0,1.0,5,1,1,what nationality is david rozgonyi,[['dbo:birthPlace']],['dbo:birthPlace']
202,0.0,0.0,0.0,9,1,1,which city did josef de mendoza y ríos die,[['dbo:birthPlace']],['dbo:deathPlace']
203,1.0,1.0,1.0,7,1,1,What type of music does buckethead play,[['dbo:genre']],['dbo:genre']
204,0.0,0.0,0.0,13,2,0,In which wars were people from the Saudi Arabian ministry of defense involved?,"[['dbp:office'], ['dbp:battles']]",[]
205,1.0,1.0,1.0,7,1,1,what time zone is ben arous in?,[['dbo:timeZone']],['dbo:timeZone']
206,0.0,0.0,0.0,10,2,0,How many teams have LA kings players in them currently?,"[['dbo:team'], ['dbo:formerTeam']]",[]
207,1.0,1.0,1.0,6,1,1,from which country is morgenstern from,[['dbo:hometown']],['dbo:hometown']
208,1.0,1.0,1.0,7,1,1,what genre does butt trumpet compose in,[['dbo:genre']],['dbo:genre']
209,0.0,0.0,0.0,10,1,1,What kind of album is take this to your grave?,[['dbo:genre']],['dbo:type']
210,1.0,1.0,1.0,8,1,1,what kind of music does tim armstrong play,[['dbo:genre']],['dbo:genre']
211,1.0,1.0,1.0,7,1,1,who is an artist on polydor records?,[['dbo:recordLabel']],['dbo:recordLabel']
212,0.0,0.0,0.0,11,1,0,Name a city that starts with an 'f' in sacramento county,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]",[]
213,1.0,1.0,1.0,8,1,1,what is the position that chuck howley plays?,[['dbo:position']],['dbo:position']
214,1.0,1.0,1.0,6,1,1,who produced the film the guardsman?,[['dbo:producer']],['dbo:producer']
215,1.0,1.0,1.0,7,1,2,which swedish singer was born in kungsbacka,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']"
216,1.0,0.5,0.6666666666666666,5,1,2,who influenced edwy searles brooks,[['dbo:influencedBy']],"['dbo:influenced', 'dbo:influencedBy']"
217,1.0,1.0,1.0,9,1,1,in what language was the film the nest made,[['dbo:language']],['dbo:language']
218,1.0,1.0,1.0,11,1,1,what kind of game is pirates: the legend of black kat?,[['dbo:genre']],['dbo:genre']
219,1.0,1.0,1.0,8,1,1,What is a 2008 soundtrack to a film?,[['dbo:genre']],['dbo:genre']
220,1.0,1.0,1.0,6,1,1,what label is a part of,[['dbo:recordLabel']],['dbo:recordLabel']
221,1.0,1.0,1.0,7,1,1,What musical genre is samaris know for?,[['dbo:genre']],['dbo:genre']
