,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
65,1.0,1.0,1.0,10,1,1,what are songs played by the the allman brothers band,[['dbo:artist']],['dbo:artist'],factoid,songs played allman brothers band,0,-0.015740822804483807,-0.01771047991790534
68,0.0,0.0,0.0,11,2,0,In which cities do some railways operated by Russian railways start?,"[['dbo:operatedBy'], ['dbo:routeStart']]",[],factoid,cities railways operated russian railways start ?,0,-0.03008907447982741,-0.014914750305229485
69,1.0,1.0,1.0,5,1,1,How did freddy heineken die?,[['dbo:deathCause']],['dbo:deathCause'],factoid,freddy heineken die ?,0,-0.04119550677858815,-0.01898731057188192
72,1.0,1.0,1.0,9,1,1,what social worker is also known as a writer,[['dbo:occupation']],['dbo:occupation'],factoid,social worker also known writer,0,-0.02650210318159835,-0.015465438248827477
73,0.0,0.0,0.0,8,1,1,what art forms did pier francesco mola create,[['dbo:field']],['dbo:movement'],factoid,art forms pier francesco mola create,0,-0.019625377111862064,-0.018010085084685983
75,1.0,1.0,1.0,9,1,1,What profession does Catherine Janice Yap De Belen have?,[['dbo:occupation']],['dbo:occupation'],factoid,profession catherine janice yap de belen ?,0,-0.03045300108029098,-0.01483089998713546
77,1.0,1.0,1.0,8,1,1,what is fireman jim flynn's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,fireman jim flynn 's place birth ?,0,-0.042121798532839934,-0.008686888814781994
80,1.0,1.0,1.0,4,1,1,Who published dead nation,[['dbo:publisher']],['dbo:publisher'],factoid,published dead nation,0,-0.02994122493939707,-0.016363953713188488
86,0.0,0.0,0.0,16,2,0,Which television show is the subsequent work of Frasier and the opening theme is Gary Portnoy?,"[['dbo:openingTheme'], ['dbo:subsequentWork']]",[],factoid,television show subsequent work frasier opening theme gary portnoy ?,0,-0.027460033315480036,-0.01688629357943484
87,1.0,1.0,1.0,7,1,1,Which label does the supremes record for?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,label supremes record ?,0,-0.024224084437482238,-0.006639814445496061
89,0.0,0.0,0.0,8,1,1,In what country in the montessori oberschule potsdam,[['dbo:location']],['dbo:country'],factoid,country montessori oberschule potsdam,0,-0.042542956152877655,-0.015869801872867368
90,1.0,1.0,1.0,7,1,2,what state is the norbourne estates located,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid,state norbourne estates located,0,-0.06972580281683066,-0.0035089201656476553
91,1.0,1.0,1.0,7,1,1,in what language is the film archangel,[['dbo:language']],['dbo:language'],factoid,language film archangel,0,-0.05478770796961125,-0.024937119520193177
92,1.0,1.0,1.0,6,1,7,what's a market town within england,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,'s market town within england,0,-0.039076195286584584,0.0013726816476547943
93,0.0,0.0,0.0,9,1,1,what country in east-central Asia is pagamsuren altantulga from,[['dbo:birthPlace']],['dbo:nationality'],factoid,country east-central asia pagamsuren altantulga,0,-0.04572459300813242,-0.012253920703061536
94,1.0,1.0,1.0,7,1,1,What is a track by chris parnell?,[['dbo:artist']],['dbo:artist'],factoid,track chris parnell ?,0,-0.027962851226966113,-0.0033233717140734144
96,1.0,1.0,1.0,4,1,1,who produced hands up!,[['dbo:producer']],['dbo:producer'],factoid,produced hands !,0,-0.035766158898883106,-0.017780630706271863
97,1.0,1.0,1.0,5,1,2,Who was gordon macrae's daughter?,"[['dbo:parent', 'dbo:child']]","['dbo:child', 'dbo:parent']",factoid,gordon macrae 's daughter ?,0,-0.028747005200381676,-0.012205251515124802
101,0.0,0.0,0.0,7,1,0,What is the dubai zoo membership called?,[['dbp:members']],[],factoid,dubai zoo membership called ?,0,-0.02669682947735464,-0.013718282835722535
103,1.0,1.0,1.0,10,1,1,which city does the group the method actors come from,[['dbo:hometown']],['dbo:hometown'],factoid,city group method actors come,0,-0.054985543991706375,0.007040852092456487
105,1.0,1.0,1.0,7,1,1,which time zone is lilydale based in,[['dbo:timeZone']],['dbo:timeZone'],factoid,time zone lilydale based,0,-0.06047978349279141,-0.0004920674054061559
108,0.0,0.0,0.0,16,2,0,What is the birthplace of the office holder who is the predecessor of Brian Peddle ?,"[['dbp:predecessor'], ['dbp:birthPlace']]",[],factoid,birthplace office holder predecessor brian peddle ?,0,-0.02924780690540717,-0.015793237611949677
109,1.0,1.0,1.0,7,1,1,What label is tim sult affiliated with?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,label tim sult affiliated ?,0,-0.02749236099657138,-0.011557532764963855
110,1.0,1.0,1.0,5,1,1,Where did alfred uhl die,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,alfred uhl die,0,-0.042461984035003716,-0.01850790417722004
112,1.0,1.0,1.0,9,1,1,Who is the publisher of the videogame p.t.o. iv?,[['dbo:publisher']],['dbo:publisher'],factoid,publisher videogame p.t.o . iv ?,0,-0.027868868607333435,-0.01710091139204919
113,0.0,0.0,0.0,7,1,1,Does Fa'a' International Airport serve tahiti too?,[['dbp:cityServed']],['dbo:city'],boolean,fa ' ' international airport serve tahiti ?,0,-0.03014299307152889,-0.013617082684328461
116,1.0,1.0,1.0,8,1,1,Where in russia did konstantin rodzaevsky died in?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,russia konstantin rodzaevsky died ?,0,-0.032152670335833036,-0.010964138544507961
118,1.0,1.0,1.0,7,1,1,what is trond egil soltvedt's birth place,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,trond egil soltvedt 's birth place,0,-0.040926252312720984,-0.00866971614897827
121,1.0,1.0,1.0,7,1,1,what country is david delano glover from,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,country david delano glover,0,-0.046996345600615844,-0.020338463745015772
125,1.0,1.0,1.0,7,1,1,what is a book by emile durkheim,[['dbo:author']],['dbo:author'],factoid,book emile durkheim,0,-0.014532430679549584,-0.012820294587879916
128,1.0,1.0,1.0,5,1,2,Where is scotland landing located?,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid,scotland landing located ?,0,-0.05994134818343496,-0.0046314370057203525
129,1.0,1.0,1.0,4,1,1,where is therobotateme from,[['dbo:hometown']],['dbo:hometown'],factoid,therobotateme,0,-0.027089266128948568,-0.014047065303295147
130,1.0,1.0,1.0,10,1,1,whats the title of a film by  warner bros.,[['dbo:distributor']],['dbo:distributor'],factoid,whats title film warner bros .,0,-0.025964800788651484,0.007830658194564574
132,1.0,1.0,1.0,4,1,2,which state locates rickahock,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid,state locates rickahock,0,-0.04384166490758509,-0.012571834783425875
133,0.0,0.0,0.0,9,1,0,How many airlines are members of the Star Alliance?,[['dbo:alliance']],[],count,many airlines members star alliance ?,0,-0.03245682541702591,-0.019500271151788966
134,1.0,1.0,1.0,8,1,1,What is the ideology behind the eurasia party?,[['dbo:ideology']],['dbo:ideology'],factoid,ideology behind eurasia party ?,0,-0.029414120628815148,-0.016815008178316694
136,0.0,0.0,0.0,9,1,0,Were the 1995 south pacific games hosted in tahiti?,[['dbp:hostCity']],[],factoid,1995 south pacific games hosted tahiti ?,0,-0.0316557939476335,-0.014566874764063303
137,1.0,1.0,1.0,5,1,1,"Where is sainte-justine, quebec located?","[['dbo:country', 'dbo:isPartOf']]",['dbo:country'],factoid,"sainte-justine , quebec located ?",0,-0.05414954044774664,-0.0064095199309559415
138,0.0,0.0,0.0,8,2,0,Whose opponents are Ike Clanton and Billy Clanton?,"[['dbo:opponent'], ['dbo:opponent']]",[],factoid,whose opponents ike clanton billy clanton ?,0,-0.02779535517837993,-0.016002653288217015
139,1.0,1.0,1.0,8,1,1,What is a work written by ken auletta?,[['dbo:author']],['dbo:author'],factoid,work written ken auletta ?,0,-0.03241508615073204,-0.01581814701751009
140,1.0,1.0,1.0,9,1,1,Which city was rené cloërec in when she died,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,city rené cloërec died,0,-0.06407399865810426,0.013955524224629893
143,1.0,1.0,1.0,6,1,6,what comune is located in italy?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,comune located italy ?,0,-0.06368276818845006,0.0006055995686548568
144,0.5,1.0,0.6666666666666666,16,2,1,What is the predecessor of the car engine which was succeeded by  BMW M43 ?,"[['dbo:successor'], ['dbp:predecessor']]",['dbo:successor'],factoid,predecessor car engine succeeded bmw m43 ?,0,-0.027874038849433257,-0.014403761052939711
145,1.0,1.0,1.0,8,1,1,what language is spoken in life goes on,[['dbo:language']],['dbo:language'],factoid,language spoken life goes,0,-0.04049016674407766,-0.026048206812095902
146,1.0,1.0,1.0,13,1,1,what is the area of circulation for the newspaper titled  24 heures,[['dbo:headquarter']],['dbo:headquarter'],factoid,area circulation newspaper titled 24 heures,0,-0.029204494047206146,-0.014468138216019406
151,1.0,1.0,1.0,5,1,1,Where did hugo fischer-köppe die,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,hugo fischer-köppe die,0,-0.03940530983678681,-0.01868503886083652
152,1.0,1.0,1.0,8,1,1,What city did the september when come from?,[['dbo:hometown']],['dbo:hometown'],factoid,city september come ?,0,-0.06640864396912756,0.014590244756253534
153,1.0,1.0,1.0,6,1,2,what's a town in cullman county,"[['dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location']",list,'s town cullman county,0,-0.05087109638724019,0.0008634768733065851
154,0.0,0.0,0.0,6,1,1,what country is rockingham county in?,"[['dbo:region', 'dbo:isPartOf', 'dbo:location']]",['dbo:country'],factoid,country rockingham county ?,0,-0.06762127359520627,-0.008690136380153958
162,0.0,0.0,0.0,7,1,1,What film did burton lane contribute to,[['dbo:musicComposer']],['dbo:writer'],factoid,film burton lane contribute,0,-0.04116054017105079,-0.019235947371681477
163,0.5,1.0,0.6666666666666666,15,2,1,Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family ?,"[['dbp:languages'], ['dbo:languageFamily']]",['dbo:languageFamily'],count,count ethinic group speaks language belongs anglo-frisian language family ?,0,-0.03446224137985062,-0.021304555158238918
165,1.0,1.0,1.0,6,1,1,what label is virgin prunes worth?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,label virgin prunes worth ?,0,-0.0274864616126052,-0.010280756845609616
168,1.0,1.0,1.0,9,1,1,what record label is you kikkawa a part of,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,record label kikkawa part,0,-0.024280504288509256,-0.00800794026882061
169,1.0,1.0,1.0,10,1,2,"who is the transgendered person from bowral, new south wales","[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid,"transgendered person bowral , new south wales",0,-0.04378721535549645,0.017320161426156385
170,1.0,1.0,1.0,6,1,1,what artists are under mercury records?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,artists mercury records ?,0,-0.02044438824916927,-0.00041954775236938656
171,0.0,0.0,0.0,7,1,1,What is the successor of PlayStation 4,[['dbp:successor']],['dbo:successor'],factoid,successor playstation 4,0,-0.0285598687132224,-0.01429949258602101
172,1.0,1.0,1.0,9,1,1,what was the production company behind the last voyage,[['dbp:studio']],['dbp:studio'],factoid,production company behind last voyage,0,-0.034110825853696784,-0.018943983935685325
173,0.0,0.0,0.0,8,1,0,List the doctoral students of Harry Harlow ?,[['dbp:doctoralStudents']],[],list,list doctoral students harry harlow ?,0,-0.030766084047877233,-0.01568699274670865
175,1.0,1.0,1.0,6,1,1,what song did billy bragg compose,[['dbo:writer']],['dbo:writer'],factoid,song billy bragg compose,0,-0.03009967419451522,-0.01809957014095941
178,1.0,1.0,1.0,5,1,1,who produced the butterfly effect,[['dbo:producer']],['dbo:producer'],factoid,produced butterfly effect,0,-0.033169934621149255,-0.015730394739436788
180,0.0,0.0,0.0,16,1,0,What is the religious affiliation of Hong Kong Taoist Association Tang Hin Memorial Secondary School ?,[['dbp:religiousAffiliation']],[],factoid,religious affiliation hong kong taoist association tang hin memorial secondary school ?,0,-0.028535569063831895,-0.016783462570423267
181,0.5,1.0,0.6666666666666666,8,2,1,"How many companies were founded in Denton, texas?","[['dbo:foundationPlace'], ['dbo:part']]",['dbo:foundationPlace'],count,"many companies founded denton , texas ?",0,-0.036225771942701546,-0.01163647341105036
182,1.0,1.0,1.0,3,1,1,Who produced monster-in-law,[['dbo:producer']],['dbo:producer'],factoid,produced monster-in-law,0,-0.03279001049415932,-0.016777616395967095
183,1.0,1.0,1.0,7,1,1,what film was directed by hal hartley,[['dbo:director']],['dbo:director'],factoid,film directed hal hartley,0,-0.0499839262602713,-0.019222738520329966
186,0.5,1.0,0.6666666666666666,17,2,1,Count the number of ingredient of the foods which have one of the ingredient is Pork ?,"[['dbo:ingredient'], ['dbo:ingredient']]",['dbo:ingredient'],count,count number ingredient foods one ingredient pork ?,0,-0.028659304136403534,-0.013415520548585108
187,1.0,1.0,1.0,5,1,1,who directed the film repast,[['dbo:director']],['dbo:director'],factoid,directed film repast,0,-0.054855816121014214,-0.021193959867169213
189,1.0,1.0,1.0,8,1,1,abbas tyrewala contributed story credits to what movie?,[['dbo:writer']],['dbo:writer'],list,abbas tyrewala contributed story credits movie ?,0,-0.031551403640421236,-0.018808604016753838
190,0.0,0.0,0.0,8,1,0,Which company's division is Audi India? Correct Question,[['dbp:divisions']],[],factoid,company 's division audi india ? correct question,0,-0.03413401243660518,-0.014684448358144623
191,1.0,1.0,1.0,10,1,1,Who was the author of the book swords against death,[['dbo:author']],['dbo:author'],factoid,author book swords death,0,-0.016081687035027485,-0.009181840280026774
192,1.0,1.0,1.0,7,1,1,which film was bernard knowles the director,[['dbo:director']],['dbo:director'],factoid,film bernard knowles director,0,-0.04593304606342378,-0.014662567213956722
193,0.0,0.0,0.0,10,2,0,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]",[],factoid,manufactured company founded akio morita ?,0,-0.03411839466023313,-0.016328402679003175
194,0.0,0.0,0.0,20,2,0,Which ceremonial County of the East Tilbury is also the local authority of the Buckhurst Hill County High School ?,"[['dbo:localAuthority'], ['dbo:ceremonialCounty']]",[],factoid,ceremonial county east tilbury also local authority buckhurst hill county high school ?,0,-0.044507283939175496,-0.01188986384991544
196,1.0,1.0,1.0,7,1,1,what types of videogame is dark seed,[['dbo:genre']],['dbo:genre'],factoid,types videogame dark seed,0,-0.01902376480410752,-0.024281155864492664
200,0.0,0.0,0.0,14,1,1,what is a film that was produced by  the company  cruise/wagner productions,[['dbp:studio']],['dbo:distributor'],factoid,film produced company cruise/wagner productions,0,-0.048545417016442,-0.021005143866542824
201,0.0,0.0,0.0,21,2,0,What is the local authority of the Buckhurst Hill County High School is also the birth palce of Sarah hampion ?,"[['dbo:localAuthority'], ['dbp:birthPlace']]",[],factoid,local authority buckhurst hill county high school also birth palce sarah hampion ?,0,-0.04272629122509786,-0.015747518749365846
203,1.0,1.0,1.0,4,1,2,Who is from atlanta,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid,atlanta,0,-0.027076258619938932,-0.012044185980113182
204,0.0,0.0,0.0,4,1,0,Is lion an animal?,[['dbo:kingdom']],[],boolean,lion animal ?,0,-0.024976121356930368,-0.012873319755185507
205,1.0,1.0,1.0,7,1,1,which city did shamus culhane died in?,"[['dbp:deathPlace', 'dbo:deathPlace']]",['dbo:deathPlace'],factoid,city shamus culhane died ?,0,-0.06271805809601405,0.013233545199713776
206,1.0,1.0,1.0,6,1,1,what country is tinkerbells fairydust from,[['dbo:hometown']],['dbo:hometown'],factoid,country tinkerbells fairydust,0,-0.04538780665733862,-0.016155002595895
207,0.0,0.0,0.0,11,2,0,List the television shows whose network's executive officer is Steve Burke.,"[['dbo:network'], ['dbo:keyPerson']]",[],list,list television shows whose network 's executive officer steve burke .,0,-0.03170195980912041,-0.017137836958513862
208,1.0,0.5,0.6666666666666666,9,1,2,what region is the city of piazzatorre  in,"[['dbo:country', 'dbo:region']]","['dbo:country', 'dbo:location']",factoid,region city piazzatorre,0,-0.06510419305111945,0.015845989346480124
210,0.0,0.0,0.0,8,1,0,List the destinations of Novair International Airways ?,[['dbp:destinations']],[],list,list destinations novair international airways ?,0,-0.02959194228097725,-0.015493913817215885
215,0.0,0.0,0.0,17,2,0,Which architect of Marine Corps Air Station Kaneohe Bay was also tenant of New Sanno hotel /',"[['dbp:architect'], ['dbo:tenant']]",[],factoid,architect marine corps air station kaneohe bay also tenant new sanno hotel / ',0,-0.03157050223388477,-0.007754572392934546
216,1.0,1.0,1.0,5,1,6,what cities are within italy,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,cities within italy,0,-0.03488028647198596,-0.0030564798694568867
218,1.0,1.0,1.0,7,1,1,what is a work by ivan okhlobystin,[['dbo:writer']],['dbo:writer'],factoid,work ivan okhlobystin,0,-0.02938944638685391,-0.015925118441277968
220,0.0,0.0,0.0,12,2,0,How many universities are located in a country led by Olemic Thommessen?,"[['dbo:country'], ['dbp:leaderName']]",[],count,many universities located country led olemic thommessen ?,0,-0.067918047792639,-0.012006499761174644
221,1.0,1.0,1.0,5,1,1,Where did james cook die?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,james cook die ?,0,-0.04715436782279354,-0.020264514149292322
222,1.0,1.0,1.0,9,1,1,what company published the game black & white 2,[['dbo:publisher']],['dbo:publisher'],factoid,company published game black & white 2,0,-0.033736043995033355,-0.021856222965949048
228,0.0,0.0,0.0,10,1,0,List the actors of  Lucy Sullivan Is Getting Married?,[['dbp:starring']],[],list,list actors lucy sullivan getting married ?,0,-0.02948244673099074,-0.015497436894073294
232,1.0,1.0,1.0,9,1,1,h. r. piyasiri is a part of what religion?,[['dbo:religion']],['dbo:religion'],list,h. r. piyasiri part religion ?,0,-0.0313701215555365,-0.018019367749259607
234,1.0,1.0,1.0,8,1,1,which war was fritz albrecht a part of,[['dbo:battle']],['dbo:battle'],factoid,war fritz albrecht part,0,-0.027770586174269658,-0.015779892144920676
235,0.0,0.0,0.0,7,1,0,who wrote rosencrantz & guildenstern are dead,[['dbo:writer']],[],factoid,wrote rosencrantz & guildenstern dead,0,-0.032171016083126634,-0.01781002957895258
236,1.0,1.0,1.0,8,1,1,what songs have jim steinman written lyrics for?,[['dbo:writer']],['dbo:writer'],factoid,songs jim steinman written lyrics ?,0,-0.03425315688232272,-0.01675051119926003
238,1.0,1.0,1.0,9,1,1,which country did sir anthony jackson pass away in,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,country sir anthony jackson pass away,0,-0.0470425175638931,-0.018466486535875563
239,1.0,0.5,0.6666666666666666,7,1,2,Which film did john ottman contribute to?,[['dbo:musicComposer']],"['dbo:musicComposer', 'dbo:writer']",factoid,film john ottman contribute ?,0,-0.04775595328547048,-0.028954542471836098
242,1.0,1.0,1.0,5,1,1,serbian revolution event occured here,[['dbo:place']],['dbo:place'],factoid,serbian revolution event occured,0,-0.028133380739966775,-0.013985125019709792
243,1.0,1.0,1.0,8,1,1,what country is georgi yumatov a citizen of,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,country georgi yumatov citizen,0,-0.044306649497026826,-0.016992479652598258
245,0.0,0.0,0.0,5,1,1,What nationality is johnny clarke,[['dbo:hometown']],['dbo:birthPlace'],factoid,nationality johnny clarke,0,-0.03551580347155462,-0.022118452187034017
247,0.0,0.0,0.0,14,2,1,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]",['dbo:successor'],factoid,information appliance whose successor playstation 4 maker foxconn ?,0,-0.029152050135781458,-0.012958769849945751
249,1.0,0.5,0.6666666666666666,5,1,4,what is located in arona?,"[['dbo:country', 'dbo:region']]","['dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region']",factoid,located arona ?,0,-0.06985544384282803,-0.001510686485080097
250,1.0,1.0,1.0,6,1,1,what industry is dubai holding in,[['dbo:industry']],['dbo:industry'],factoid,industry dubai holding,0,-0.0294628854164571,-0.017115342372959228
