,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
618,0.0,0.0,0.0,17,2,0,"How many awards have been received by graduates of University of Melbourne, Faculty of VCA & MCM?","[['dbo:training'], ['dbo:award']]",[],count,"many awards received graduates university melbourne , faculty vca & mcm ?",3,-0.033646757460980836,-0.015766186357915154
625,0.0,0.0,0.0,9,2,0,How many rivers start in an English speaking country?,"[['dbo:sourceCountry'], ['dbo:officialLanguage']]",[],count,many rivers start english speaking country ?,3,-0.047468677809844664,-0.015235689057377351
649,0.0,0.0,0.0,18,2,0,Which parent company of the Cornell University Press is also the alma mater of the Mario Garca Menocal?,"[['dbo:parentCompany'], ['dbo:almaMater']]",[],factoid,parent company cornell university press also alma mater mario garca menocal ?,3,-0.03592036987386879,-0.016542961896127795
701,1.0,1.0,1.0,5,1,1,What company published spartacus legends?,[['dbo:publisher']],['dbo:publisher'],factoid,company published spartacus legends ?,3,-0.03590361411235205,-0.01776800072161721
803,0.0,0.0,0.0,14,2,0,Where is the head quarters of the parent company of Mall of America located?,"[['dbp:owned'], ['dbp:headquarters']]",[],factoid,head quarters parent company mall america located ?,3,-0.05670642705732644,-0.007223488377696341
827,1.0,1.0,1.0,8,1,1,what company released fire emblem: the sacred stones?,[['dbo:publisher']],['dbo:publisher'],factoid,company released fire emblem : sacred stones ?,3,-0.021537996956299002,-0.012396953452011224
891,0.0,0.0,0.0,13,2,0,How many have order (taxonomy) as Bacillales and division as Firmicutes are there?,"[['dbo:division'], ['dbo:order']]",[],count,many order ( taxonomy ) bacillales division firmicutes ?,3,-0.031109991212057545,-0.017237688731877938
895,0.0,0.0,0.0,14,2,0,In how many places are the tombs of people who died in Connecticut Colony?,"[['dbo:restingPlace'], ['dbp:placeOfDeath']]",[],count,many places tombs people died connecticut colony ?,3,-0.03897412691466385,-0.015545213851646922
902,0.0,0.0,0.0,6,1,0,How many people live in Poland?,[['dbo:populationTotal']],[],count,many people live poland ?,3,-0.026920787161456985,-0.019734832933052726
908,0.0,0.0,0.0,16,2,0,Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?,"[['dbo:composer'], ['dbp:company']]",[],list,name tv show whose composer judy hart angelo company paramount television ?,3,-0.01528450077583964,0.08144963172424444
924,0.0,0.0,0.0,8,1,0,How many times has Jeff Conaway been casted?,[['dbo:starring']],[],count,many times jeff conaway casted ?,3,-0.03101677259015385,-0.018672403108537797
947,0.0,0.0,0.0,16,2,0,Which company of Ford Theatre is the owning organization of F0ord Kansa City Assemply Plant ?,"[['dbo:owningOrganisation'], ['dbp:company']]",[],factoid,company ford theatre owning organization f0ord kansa city assemply plant ?,3,-0.048316002094991935,-0.0005529282875171166
961,0.0,0.0,0.0,17,2,0,In how many different wars have people graduated from the Army Command and General staff college fought?,"[['dbo:almaMater'], ['dbp:battles']]",[],count,many different wars people graduated army command general staff college fought ?,3,-0.03421383272610526,-0.018142896479762468
989,0.0,0.0,0.0,9,1,0,How many movies have been cinematographed by Jordan Cronenweth?,[['dbp:cinematography']],[],count,many movies cinematographed jordan cronenweth ?,3,-0.03206412400000825,-0.01814715593173859
995,1.0,1.0,1.0,8,1,1,What record company is shininghalmstad a part of,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,record company shininghalmstad part,3,-0.030312953433003064,-0.015684668611783376
999,1.0,1.0,1.0,8,1,1,which company made the software netscape messenger 9,[['dbo:developer']],['dbo:developer'],factoid,company made software netscape messenger 9,3,-0.029673342362513122,-0.018425177970843577
1006,0.0,0.0,0.0,9,2,1,How many different writers have written for Jump Square?,"[['dbp:magazine'], ['dbp:author']]",['dbp:writer'],count,many different writers written jump square ?,3,-0.03513376546795235,-0.018170630486377973
1031,0.0,0.0,0.0,16,2,0,In how many  territories were the wars fought where Fusil Gras Mile 1874 were used?,"[['dbo:usedInWar'], ['dbo:territory']]",[],count,many territories wars fought fusil gras mile 1874 used ?,3,-0.03226218142266544,-0.01811113595230316
1058,0.0,0.0,0.0,10,2,0,How many services does the company who made Onedrive provide?,"[['dbo:service'], ['dbp:services']]",[],count,many services company made onedrive provide ?,3,-0.03383995070296443,-0.020607727951828216
1060,0.0,0.0,0.0,12,2,0,How many cities are around the sea which flows into the Atlantic?,"[['dbp:cities'], ['dbo:inflow']]",[],count,many cities around sea flows atlantic ?,3,-0.03326389679509803,-0.01668313693734058
1106,1.0,1.0,1.0,7,1,1,How many children did Benjamin Franklin have?,[['dbo:child']],['dbo:child'],count,many children benjamin franklin ?,3,-0.032839795044653265,-0.018769692167949176
1166,0.0,0.0,0.0,8,1,0,How many areas are led by Willem Alexander?,[['dbo:leader']],[],count,many areas led willem alexander ?,3,-0.03232410467306903,-0.017058366465202188
1191,1.0,1.0,1.0,8,1,1,what is an example of a conglomerate company?,[['dbo:industry']],['dbo:industry'],factoid,example conglomerate company ?,3,-0.01752293031121367,-0.00897397775102487
1203,0.0,0.0,0.0,10,1,1,How many movies have been directed by Orson Welles ?,[['dbp:director']],['dbo:director'],count,many movies directed orson welles ?,3,-0.039554074176614745,-0.020769268825432004
1256,0.0,0.0,0.0,6,1,0,Gregg Toland cinematographed how many things?,[['dbo:cinematography']],[],count,gregg toland cinematographed many things ?,3,-0.03147994971586761,-0.01786611939386564
1320,1.0,1.0,1.0,8,1,1,how many players can play top spin 2,[['dbp:modes']],['dbp:modes'],count,many players play top spin 2,3,-0.0285056305178285,-0.11204826974529929
1357,0.0,0.0,0.0,8,2,0,Terry Pratchett has written about how many topics?,"[['dbp:author'], ['dbo:nonFictionSubject']]",[],count,terry pratchett written many topics ?,3,-0.03567170995044718,-0.016828978728212637
1395,0.0,0.0,0.0,12,1,0,How many television shows have  Fox Broadcasting Company as their channel?,[['dbp:channel']],[],count,many television shows fox broadcasting company channel ?,3,-0.036017643769631416,-0.019118730890785172
1402,0.0,0.0,0.0,13,2,0,How many artists have their works in the Sao Paolo Museum of Art?,"[['dbp:artist'], ['dbp:museum']]",[],count,many artists works sao paolo museum art ?,3,-0.025526903871681886,-0.01605192467452
1428,0.0,0.0,0.0,10,1,1,In which company is Raymond Conner at an important position?,[['dbo:keyPerson']],['dbp:keyPeople'],factoid,company raymond conner important position ?,3,-0.046843966657339545,-0.09626156029703486
1431,1.0,1.0,1.0,7,1,1,what recording company is randy newman with?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,recording company randy newman ?,3,-0.03413375207349087,-0.01803767917344702
1472,0.0,0.0,0.0,16,2,0,How many things are manufactured by the company whose subsidiary is Sony Corporation shareholders and subsidiaries?,"[['dbo:subsidiary'], ['dbo:manufacturer']]",[],count,many things manufactured company whose subsidiary sony corporation shareholders subsidiaries ?,3,-0.03320349608063592,-0.017982308718982133
1476,1.0,1.0,1.0,6,1,1,which company developed richard burns rally?,[['dbo:developer']],['dbo:developer'],factoid,company developed richard burns rally ?,3,-0.038880813605686085,-0.015650439065903715
1477,0.0,0.0,0.0,10,1,0,How many people are in the England national football team?,[['dbp:nationalteam']],[],count,many people england national football team ?,3,-0.049970360405651684,-0.05799376031076212
1498,0.0,0.0,0.0,12,2,0,How many awards have been given to the founder of Grameen Bank?,"[['dbp:founder'], ['dbo:award']]",[],count,many awards given founder grameen bank ?,3,-0.03313935476483611,-0.01837882005047176
1523,0.5,1.0,0.6666666666666666,14,2,1,How many companies were founded in places where Dallas is the governing body ?,"[['dbo:foundationPlace'], ['dbp:governingBody']]",['dbo:foundationPlace'],count,many companies founded places dallas governing body ?,3,-0.037491942174024386,-0.014503760595091855
1555,0.0,0.0,0.0,9,1,0,How many states are in the Mediterranean Basketball Association?,[['dbo:country']],[],count,many states mediterranean basketball association ?,3,-0.04251168192538052,-0.00832007296771806
1588,0.0,0.0,0.0,11,2,0,What company made the front row and distributed big top ballet?,"[['dbp:distributor'], ['dbp:developer']]",[],factoid,company made front row distributed big top ballet ?,3,-0.027864773475205308,-0.015596311706912436
1592,0.0,0.0,0.0,12,2,0,In how many states can one find Burr Tuss kind of bridges?,"[['dbo:state'], ['dbp:style']]",[],count,many states one find burr tuss kind bridges ?,3,-0.0006059542920887108,-0.037805162997427394
1605,1.0,1.0,1.0,4,1,1,What company published lightspeed?,[['dbo:publisher']],['dbo:publisher'],factoid,company published lightspeed ?,3,-0.03764915757057894,-0.018402377013190734
1706,0.0,0.0,0.0,16,2,0,"How many home stadium are there, of the soccer club seasons whose chairman is Merritt Paulson?","[['dbp:chairman'], ['dbo:homeStadium']]",[],count,"many home stadium , soccer club seasons whose chairman merritt paulson ?",3,-0.03256807816811596,-0.025113551914156557
1750,0.0,0.0,0.0,7,1,1,which company produced so proudly we hail!,[['dbo:distributor']],['dbp:studio'],factoid,company produced proudly hail !,3,-0.03817266513033507,-0.019713369908145373
1753,0.0,0.0,0.0,9,1,0,How many people currently play for the NYC FC?,[['dbp:currentclub']],[],count,many people currently play nyc fc ?,3,-0.03229440325883027,-0.10937432874154045
1862,0.5,1.0,0.6666666666666666,12,2,1,How many more teams have rented the stadium used by Raptors 905?,"[['dbp:arena'], ['dbo:tenant']]",['dbo:tenant'],count,many teams rented stadium used raptors 905 ?,3,-0.03327125725340823,-0.018878522906394326
1910,0.0,0.0,0.0,9,2,0,Who owns the company that made the Edsel Villager?,"[['dbp:products'], ['dbp:parent']]",[],factoid,owns company made edsel villager ?,3,-0.03144369642912512,-0.01809596876142569
1940,0.0,0.0,0.0,9,1,1,How many people are buried in Arlington National Cemetery?,[['dbp:placeofburial']],['dbo:restingPlace'],count,many people buried arlington national cemetery ?,3,-0.03792868389840763,-0.01933130960120458
1952,0.0,0.0,0.0,13,2,0,For how many other teams have the members of Atlant Moscow Oblast played?,"[['dbp:playedFor'], ['dbo:formerTeam']]",[],count,many teams members atlant moscow oblast played ?,3,-0.028708537758802343,-0.024287492047714025
1963,0.0,0.0,0.0,8,1,0,Tandem Computers is the subsidiary of which company?,[['dbo:subsidiary']],[],factoid,tandem computers subsidiary company ?,3,-0.03298600332536495,-0.01625194497119128
2001,1.0,1.0,1.0,9,1,1,the agency: covert ops was developed by which company?,[['dbo:developer']],['dbo:developer'],factoid,agency : covert ops developed company ?,3,-0.034651952354798246,-0.01707722899141972
2028,0.0,0.0,0.0,19,2,0,How many other wine region are there of the grapes whose one of the wine region is Michigan ?,"[['dbo:wineRegion'], ['dbo:wineRegion']]",[],count,many wine region grapes whose one wine region michigan ?,3,-0.03195162238733589,-0.011314035530544626
2052,0.0,0.0,0.0,13,1,1,what is the name of the production company that released fright night ii?,[['dbo:distributor']],['dbp:studio'],factoid,name production company released fright night ii ?,3,-0.004232853847216055,0.11069960736776056
2057,0.5,0.5,0.5,10,2,2,How many different genres of games are produced by Blizzard?,"[['dbo:developer'], ['dbp:genre']]","['dbo:genre', 'dbp:genre']",count,many different genres games produced blizzard ?,3,-0.03658391158585878,-0.020512838049286462
2068,0.5,1.0,0.6666666666666666,10,2,1,How many different things are used as ingredients in Sweden?,"[['dbo:country'], ['dbo:ingredient']]",['dbo:ingredient'],count,many different things used ingredients sweden ?,3,-0.0343671637521557,-0.02011994753079877
2088,0.5,0.5,0.5,15,2,2,Give me a count of everything made by the company which offers electronical manufacturing too.,"[['dbo:service'], ['dbo:manufacturer']]","['dbo:manufacturer', 'dbo:product']",list,give count everything made company offers electronical manufacturing .,3,-0.03132647104649705,-0.017942134662089878
2091,0.0,0.0,0.0,11,1,0,what is the production company of the sound of music (film)?,[['dbp:studio']],[],factoid,production company sound music ( film ) ?,3,0.09934332950334318,-0.0763418490935091
2167,0.0,0.0,0.0,8,1,0,How many thesis were supervised by Ernest Rutherford?,[['dbo:doctoralAdvisor']],[],count,many thesis supervised ernest rutherford ?,3,-0.03044083601938329,-0.01674979160172552
2218,0.0,0.0,0.0,15,2,0, How many scientist have won an award by the society led by Venkatraman Ramakrishnan?,"[['dbp:prizes'], ['dbp:leaderName']]",[],count,many scientist award society led venkatraman ramakrishnan ?,3,-0.03031239570671755,-0.015667650631016824
2238,1.0,1.0,1.0,10,1,1,what company did produce the cheetah girls: pop star sensations,[['dbo:publisher']],['dbo:publisher'],factoid,company produce cheetah girls : pop star sensations,3,-0.010532961655962562,-0.005525146071094521
2242,1.0,1.0,1.0,5,1,1,which company developed vmware server?,[['dbo:developer']],['dbo:developer'],factoid,company developed vmware server ?,3,-0.03567570276862989,-0.017671201515862062
2248,0.0,0.0,0.0,12,2,1,How many things are crossed over by bridges which can carry cars?,"[['dbp:carries'], ['dbp:crosses']]",['dbo:crosses'],count,many things crossed bridges carry cars ?,3,-0.0318195576480064,-0.017489215842401675
2280,0.0,0.0,0.0,8,1,1,What company is the distributor of Bombay Sapphire?,[['dbp:distributor']],['dbo:distributor'],factoid,company distributor bombay sapphire ?,3,-0.03342802316739691,-0.01670410423107688
2308,0.0,0.0,0.0,11,1,0,What is the airline company has its headquarters in Dublin Airport?,[['dbp:headquarters']],[],factoid,airline company headquarters dublin airport ?,3,-0.035222327915690854,-0.016510829416506067
2333,0.0,0.0,0.0,10,2,0,Which sitcoms are made by a company headquartered in NYC?,"[['dbo:company'], ['dbo:headquarter']]",[],factoid,sitcoms made company headquartered nyc ?,3,-0.03031331190518568,-0.01763639988141451
2359,1.0,1.0,1.0,7,1,1,what cargill a private or public company,[['dbo:type']],['dbo:type'],factoid,cargill private public company,3,-0.034980457603175134,-0.01435003505121968
2382,0.0,0.0,0.0,10,2,1,How many rivers are crossed by different Box Girder bridges?,"[['dbp:crosses'], ['dbp:design']]",['dbo:crosses'],count,many rivers crossed different box girder bridges ?,3,-0.03189176671310638,-0.017067643259492078
2399,0.5,1.0,0.6666666666666666,18,2,1,What is the common governing body of the Naval Air Facility Adak and Oahu Railway and Land Company?,"[['dbp:governingBody'], ['dbp:governingBody']]",['dbp:governingBody'],factoid,common governing body naval air facility adak oahu railway land company ?,3,-0.03304519839351537,-0.016305251669937272
2414,0.0,0.0,0.0,9,2,1,How many years was the Ford Model T manufactured?,"[['dbo:productionEndYear'], ['dbo:productionStartYear']]",['dbo:manufacturer'],count,many years ford model manufactured ?,3,-0.030963218559230506,-0.01818737821128629
2450,0.0,0.0,0.0,10,2,1,How many teams have someone playing at the defenceman position?,"[['dbo:team'], ['dbp:position']]",['dbo:position'],count,many teams someone playing defenceman position ?,3,-0.05323326782625676,-0.07600835171374586
2482,0.0,0.0,0.0,10,2,0,In how many nations does Rhaetian Railways own train stations?,"[['dbo:country'], ['dbo:owningOrganisation']]",[],count,many nations rhaetian railways train stations ?,3,-0.030626018218653128,-0.017176134656582832
2498,1.0,1.0,1.0,7,1,1,which music company is ryan montgomery with?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,music company ryan montgomery ?,3,0.10862482516039007,-0.0713486846617885
2517,1.0,1.0,1.0,7,1,1,What's a company that nicolas hayek founded,[['dbo:foundedBy']],['dbo:foundedBy'],factoid,'s company nicolas hayek founded,3,-0.035693849922211224,-0.01673696551673011
2523,0.0,0.0,0.0,10,2,0,How many relatives are there of veterans of operation Barbarossa?,"[['dbo:battle'], ['dbo:relation']]",[],count,many relatives veterans operation barbarossa ?,3,-0.03148760120845734,-0.016981654631748083
2553,0.5,1.0,0.6666666666666666,13,2,1,How many writers speak a language belonging to the Germanic kind of languages?,"[['dbp:language'], ['dbo:languageFamily']]",['dbo:languageFamily'],count,many writers speak language belonging germanic kind languages ?,3,-3.3413532993779984e-05,-0.055136195408526156
2594,1.0,1.0,1.0,7,1,1,what music company is curt boettcher with?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,music company curt boettcher ?,3,0.0998218791274224,-0.0645409735394242
2616,1.0,1.0,1.0,6,1,1,which company produced shrek the third?,[['dbp:studio']],['dbp:studio'],factoid,company produced shrek third ?,3,-0.03905930682573704,-0.0182610161246583
2629,1.0,1.0,1.0,7,1,1,What company published the dishwasher: dead samurai?,[['dbo:publisher']],['dbo:publisher'],factoid,company published dishwasher : dead samurai ?,3,-0.03318140138552014,-0.017547133379702408
2736,1.0,1.0,1.0,9,1,1,which company published star trek: voyager – elite force,[['dbo:publisher']],['dbo:publisher'],factoid,company published star trek : voyager – elite force,3,-0.03453390284903388,-0.01865774469607837
2764,1.0,1.0,1.0,11,1,1,what production company created the film tip on a dead jockey,[['dbp:studio']],['dbp:studio'],factoid,production company created film tip dead jockey,3,-0.04242733853072558,-0.020094711537455626
2919,0.0,0.0,0.0,15,2,0,"How many licensee are there, of the radio stations whose area is Nashville, Tennessee ?","[['dbp:area'], ['dbp:licensee']]",[],count,"many licensee , radio stations whose area nashville , tennessee ?",3,-0.034238901975807166,-0.014530765459706952
2949,0.0,0.0,0.0,16,2,0,"How many major shrine are there, of the saints whose beatified by Pope Pius XI ?","[['dbp:beatifiedBy'], ['dbo:majorShrine']]",[],count,"many major shrine , saints whose beatified pope pius xi ?",3,-0.030646590089233455,-0.014970359915742939
3018,1.0,1.0,1.0,7,1,1,which recording company is hitoe arakaki with?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,recording company hitoe arakaki ?,3,-0.03244952588703546,-0.016621613944251833
3087,0.0,0.0,0.0,9,1,0,Where in the united states is jones motor company,[['dbo:location']],[],factoid,united states jones motor company,3,-0.05415195622168651,0.011647556035056862
3118,1.0,1.0,1.0,8,1,1,What production company created the great locomotive chase?,[['dbp:studio']],['dbp:studio'],factoid,production company created great locomotive chase ?,3,-0.03371060941434153,-0.01704586392851185
3195,1.0,1.0,1.0,12,1,1,which production company is the film road to perdition a part of?,[['dbp:studio']],['dbp:studio'],factoid,production company film road perdition part ?,3,-0.04553443098257874,-0.021590218737768667
3395,1.0,1.0,1.0,8,1,1,Which production company created the film anna karenina,[['dbp:studio']],['dbp:studio'],factoid,production company created film anna karenina,3,-0.04521095039983846,-0.020434298577960964
3488,1.0,1.0,1.0,11,1,1,shell oil company's business operations are a part of what industry,[['dbo:industry']],['dbo:industry'],list,shell oil company 's business operations part industry,3,-0.032817889635626575,-0.018290789813531282
3559,1.0,1.0,1.0,6,1,1,what company is bobby broom with?,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,company bobby broom ?,3,-0.03375226603952835,-0.01779276874227552
3654,1.0,1.0,1.0,11,1,1,what is the production company of the film shes the man?,[['dbp:studio']],['dbp:studio'],factoid,production company film shes man ?,3,-0.04829514361297847,-0.021676009732223996
3695,1.0,1.0,1.0,5,1,1,which company developed herzog zwei?,[['dbo:developer']],['dbo:developer'],factoid,company developed herzog zwei ?,3,-0.03557607881073355,-0.017404620721492174
3729,0.0,0.0,0.0,6,1,0,How many employees does Google have?,[['dbo:numberOfEmployees']],[],count,many employees google ?,3,-0.03231060147148553,-0.01799850059425389
3747,0.0,0.0,0.0,15,2,0,Where is the headquarters of the company which runs the Metro Blue Line in minnesota?,"[['dbp:operator'], ['dbp:headquarters']]",[],factoid,headquarters company runs metro blue line minnesota ?,3,-0.029545331121756318,-0.016529411402110325
3762,1.0,1.0,1.0,8,1,1,is punch taverns a public or private company,[['dbo:type']],['dbo:type'],boolean,punch taverns public private company,3,-0.03367944988882832,-0.01438562173808117
3785,0.0,0.0,0.0,10,2,0,How many things belong to a division of plant kingdom?,"[['dbo:kingdom'], ['dbo:division']]",[],count,many things belong division plant kingdom ?,3,-0.028773900119326682,-0.014084272912864338
3802,1.0,1.0,1.0,9,1,1,How many famous people are born in Long Island?,[['dbo:birthPlace']],['dbo:birthPlace'],count,many famous people born long island ?,3,-0.09618690413917866,0.0629805998223828
3865,0.0,0.0,0.0,13,2,0,Count all that was built by a company whose leader is Kazuo Hirai?,"[['dbp:keyPeople'], ['dbo:manufacturer']]",[],count,count built company whose leader kazuo hirai ?,3,-0.034806348262509265,-0.015213912795778006
3885,1.0,1.0,1.0,5,1,1,what company produced the patriot?,[['dbp:studio']],['dbp:studio'],factoid,company produced patriot ?,3,-0.041742175840165985,-0.020303229985075805
3891,0.0,0.0,0.0,12,1,0,How many universities participate in the NCAA Division I Football Bowl Subdivision?,[['dbp:athletics']],[],count,many universities participate ncaa division football bowl subdivision ?,3,-0.038608430817682705,-0.043751029244352514
3899,0.0,0.0,0.0,9,1,0,How many people currently play for Stoke City F.C.?,[['dbp:currentclub']],[],count,many people currently play stoke city f.c . ?,3,-0.061716614990341284,-0.09240217094133284
3908,0.0,0.0,0.0,13,2,0,How many people have played for a club whose coach is Fred Hoiberg?,"[['dbo:coach'], ['dbp:team']]",[],count,many people played club whose coach fred hoiberg ?,3,-0.030372227657100483,-0.022763798495334147
3917,0.0,0.0,0.0,13,2,0,From how many different places have people gone to the Harward Medical School?,"[['dbo:institution'], ['dbo:birthPlace']]",[],count,many different places people gone harward medical school ?,3,-0.03523030706928789,-0.022203254361786457
3957,0.0,0.0,0.0,7,2,0,Which company's cars are assembled in Colombia?,"[['dbp:assembly'], ['dbp:parentCompany']]",[],factoid,company 's cars assembled colombia ?,3,-0.03301402716919103,-0.016919726668447932
3966,0.0,0.0,0.0,9,1,0,How many basketball players studied in the Midland College?,[['dbo:college']],[],count,many basketball players studied midland college ?,3,-0.03578441505524972,-0.023399610232439194
3989,0.0,0.0,0.0,9,1,1,How many items belong to the Science Fiction genre?,[['dbp:genre']],['dbo:literaryGenre'],count,many items belong science fiction genre ?,3,0.06070616808767567,-0.01613709512717967
4055,1.0,1.0,1.0,4,1,1,What company owns wxfx,[['dbo:owner']],['dbo:owner'],factoid,company owns wxfx,3,-0.036127257155802485,-0.018810470826553
4131,1.0,1.0,1.0,7,1,1,which company produced make way for tomorrow?,[['dbp:studio']],['dbp:studio'],factoid,company produced make way tomorrow ?,3,-0.007199108575436142,-0.043552645094324896
4137,0.0,0.0,0.0,9,1,0,What's a company that works with open source software,[['dbo:industry']],[],factoid,'s company works open source software,3,-0.03247150873883082,-0.017341392757722604
4283,0.0,0.0,0.0,6,1,0,How many Thesaban towns are there?,[['dbp:settlementType']],[],count,many thesaban towns ?,3,-0.03226068417223227,-0.017722731436864092
4340,0.0,0.0,0.0,13,2,0,In how many different places have people beatified by Pope Pius X died?,"[['dbp:deathPlace'], ['dbp:beatifiedBy']]",[],count,many different places people beatified pope pius x died ?,3,-0.03883355546578835,-0.01601457900427776
4351,1.0,1.0,1.0,11,1,1,what is the production company for the film on the road,[['dbp:studio']],['dbp:studio'],factoid,production company film road,3,-0.05234933633184673,-0.02354375086444972
4416,0.5,1.0,0.6666666666666666,13,2,1,How many religions are followed by the people in the Royal Thai Army?,"[['dbo:militaryBranch'], ['dbo:religion']]",['dbo:religion'],count,many religions followed people royal thai army ?,3,-0.03232825100188543,-0.017876492227034208
4441,0.0,0.0,0.0,11,1,0,Music of how many things has been given by Akira Ifukube?,[['dbp:music']],[],count,music many things given akira ifukube ?,3,0.08432563064938745,-0.060768742816102055
4489,0.5,0.5,0.5,13,2,2,How many TV shows are similar to the ones belonging to fantasy genre?,"[['dbo:related'], ['dbo:genre']]","['dbo:genre', 'dbp:genre']",count,many tv shows similar ones belonging fantasy genre ?,3,0.03802615695607374,-0.018186928890719968
4637,0.0,0.0,0.0,9,2,1,How many artists have collaborated with famous guitar players?,"[['dbo:associatedMusicalArtist'], ['dbp:notableInstruments']]",['dbo:instrument'],count,many artists collaborated famous guitar players ?,3,-0.027896613461012357,-0.010973048927112502
4654,0.0,0.0,0.0,19,2,1,How many other battles have the military person fought whose one of the battles is World War II ?,"[['dbp:battles'], ['dbp:battles']]",['dbo:battle'],count,many battles military person fought whose one battles world war ii ?,3,-0.04014377492166434,0.00511820995054783
4676,0.5,1.0,0.6666666666666666,18,2,1,How many games are played at universities affiliated with the Association of Southeast Asian Institutions of Higher Learning?,"[['dbo:affiliation'], ['dbo:sport']]",['dbo:sport'],count,many games played universities affiliated association southeast asian institutions higher learning ?,3,-0.029263711684421843,-0.023080425149981897
4743,1.0,1.0,1.0,8,1,1,what is the production company of zodiac (film)?,[['dbp:studio']],['dbp:studio'],factoid,production company zodiac ( film ) ?,3,-0.05032097736854481,-0.022244071618421533
