,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
448,0.0,0.0,0.0,17,2,0,Whihc place of birth of the Union State is also the largest city of Union Staete ?,"[['dbp:placeOfBirth'], ['dbp:largestCity']]",[],list,whihc place birth union state also largest city union staete ?,4,-0.07034351522977432,0.007487073060786323
515,0.0,0.0,0.0,7,1,1,What is aneek dhar's place of birth,[['dbo:hometown']],['dbo:birthPlace'],factoid,aneek dhar 's place birth,4,-0.04359015754754231,-0.007170791988476094
519,1.0,1.0,1.0,7,1,1,what is the name of a politician,[['dbo:occupation']],['dbo:occupation'],factoid,name politician,4,0.013926944911466697,0.2672266657806139
531,1.0,1.0,1.0,9,1,1,what is the place of birth of sam edwards?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,place birth sam edwards ?,4,-0.04613664782246018,-0.009655102951304222
536,1.0,0.5,0.6666666666666666,8,1,2,What is the name of jacques chirac child,[['dbo:child']],"['dbo:child', 'dbo:parent']",factoid,name jacques chirac child,4,-0.0030398054931388796,0.1379843515519296
548,1.0,1.0,1.0,10,1,1,what is the name of a 2006 speculative fiction novel,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid,name 2006 speculative fiction novel,4,0.00455791960857941,0.14581500022361837
563,1.0,1.0,1.0,7,1,1,what is aki maeda's place of origin?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,aki maeda 's place origin ?,4,-0.03838766546304431,-0.005749888016690249
592,1.0,1.0,1.0,5,1,7,Name a city within minnesota,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name city within minnesota,4,-0.038485423126827144,0.2148321233192911
639,1.0,1.0,1.0,8,1,1,what even took place on the balearic islands,[['dbo:place']],['dbo:place'],factoid,even took place balearic islands,4,-0.03754143428579363,-0.005987778392687149
665,1.0,1.0,1.0,6,1,1,Name someone who died of suicide,[['dbo:deathCause']],['dbo:deathCause'],list,name someone died suicide,4,-0.012718594178453689,0.2035861312716103
690,0.0,0.0,0.0,19,2,0,Which city is the route start of the Moscow-Kazan high-speed railway and birth place of the Ilya Savelev ?,"[['dbo:birthPlace'], ['dbo:routeStart']]",[],factoid,city route start moscow-kazan high-speed railway birth place ilya savelev ?,4,-0.05466733781713392,0.0033309675842769465
709,0.0,0.0,0.0,8,1,0,Name the associate acts of  Martin Pugh?,[['dbp:associatedActs']],[],list,name associate acts martin pugh ?,4,-0.00685150044099226,0.1131739596878139
722,1.0,1.0,1.0,10,1,3,What is the name of a country located in europe,"[['dbo:country', 'dbo:region', 'dbo:location']]","['dbo:country', 'dbo:location', 'dbo:region']",factoid,name country located europe,4,-0.06218821020432944,0.21890280654442587
762,1.0,1.0,1.0,11,1,1,which city was the place of death of robert d. orr,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,city place death robert d. orr,4,-0.0723915773678322,0.022531381370211864
763,1.0,1.0,1.0,10,1,1,What is the name of an album by fats domino,[['dbo:artist']],['dbo:artist'],factoid,name album fats domino,4,0.13212201689293396,0.20750309213884333
774,1.0,1.0,1.0,9,1,3,What is a place located within santa fe county?,"[['dbo:province', 'dbo:locatedInArea', 'dbo:isPartOf', 'dbo:location', 'dbo:region']]","['dbo:isPartOf', 'dbo:location', 'dbo:region']",factoid,place located within santa fe county ?,4,-0.08219056074717045,0.013898552894917803
776,1.0,1.0,1.0,8,1,1,Name a composition from the composer Roy Wood.,[['dbo:writer']],['dbo:writer'],list,name composition composer roy wood .,4,-0.004441480699293517,0.12933253133710076
799,1.0,1.0,1.0,8,1,7,name a culinary school in the united states,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name culinary school united states,4,-0.02253369620499097,0.17313309146403594
802,1.0,1.0,1.0,6,1,1,Name a track by john scofield,[['dbo:artist']],['dbo:artist'],list,name track john scofield,4,-0.004880910149498206,0.16297605853374503
809,1.0,1.0,1.0,9,1,1,what is the name os a hardcore punk album,[['dbo:genre']],['dbo:genre'],factoid,name os hardcore punk album,4,0.14503686195225743,0.22289787857620458
810,0.0,0.0,0.0,8,1,1,Name the death location of Judson Huss ?,[['dbp:deathPlace']],['dbo:deathPlace'],list,name death location judson huss ?,4,-0.007447167504155129,0.14011062657081294
813,1.0,1.0,1.0,7,1,1,Name a political party associated with communism,[['dbo:ideology']],['dbo:ideology'],list,name political party associated communism,4,-0.001773952771965966,0.12787239185838747
883,1.0,1.0,1.0,8,1,2,Name someone who was influenced by richard pryor,"[['dbo:influencedBy', 'dbo:influenced']]","['dbo:influenced', 'dbo:influencedBy']",list,name someone influenced richard pryor,4,-0.016083119659082906,0.16028428062353342
912,1.0,1.0,1.0,9,1,1,Name a Garage Rock album with a numerical name.,[['dbo:genre']],['dbo:genre'],list,name garage rock album numerical name .,4,0.19323222181143346,0.3315788598509804
919,1.0,1.0,1.0,8,1,7,Name a census-designated place in the united states.,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name census-designated place united states .,4,-0.03278812940218767,0.17382849851325796
941,0.0,0.0,0.0,15,2,0,"Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar, Kolkata ?","[['dbo:architecturalStyle'], ['dbo:architecturalStyle']]",[],list,"name common architecture grand serail aleppo shaheed minar , kolkata ?",4,-0.013288360750202068,0.0768393746881002
993,1.0,1.0,1.0,11,1,7,what is the name of a winery found in new jersey,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,name winery found new jersey,4,-0.010703058834722248,0.145385029316616
1035,1.0,1.0,1.0,7,1,2,Name a location in the chūgoku region,"[['dbo:region', 'dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location']",list,name location chūgoku region,4,-0.005701408191744054,0.15959433408012977
1042,1.0,1.0,1.0,10,1,1,whats the name of one of lou rawls's chirstmas songs,[['dbo:artist']],['dbo:artist'],factoid,whats name one lou rawls 's chirstmas songs,4,-0.001520505130151666,0.1164694803837543
1048,1.0,1.0,1.0,7,1,1,Name a person who died from cancer.,[['dbo:deathCause']],['dbo:deathCause'],list,name person died cancer .,4,-0.020495485580383582,0.2261266942260728
1087,1.0,1.0,1.0,8,1,1,name a person with the profession of screenwriter.,[['dbo:occupation']],['dbo:occupation'],list,name person profession screenwriter .,4,-0.01783216611164438,0.22034512545389817
1110,1.0,1.0,1.0,8,1,1,Name a baseball player that played first baseman,[['dbo:position']],['dbo:position'],list,name baseball player played first baseman,4,-0.009929827640752538,0.0998297670907392
1112,1.0,1.0,1.0,12,1,1,What is the name of a city located in mountain time zone,[['dbo:timeZone']],['dbo:timeZone'],factoid,name city located mountain time zone,4,-0.11359851804185453,0.24056153844881295
1125,0.5,1.0,0.6666666666666666,14,2,1,Name the movie whose director is Ridley Scott and it's music composer is Vangelis?,"[['dbo:musicComposer'], ['dbp:director']]",['dbo:musicComposer'],list,name movie whose director ridley scott 's music composer vangelis ?,4,0.08492319224703702,0.06236363832104686
1148,1.0,0.5,0.6666666666666666,6,1,2,what is harry greene's daughter's name,[['dbo:child']],"['dbo:child', 'dbo:parent']",factoid,harry greene 's daughter 's name,4,-0.0038752992678598697,0.13760629840977287
1173,0.0,0.0,0.0,18,2,0, Name the city whose province is Metropolitan City of Venice and has leader as Luigi Brugnaro ?,"[['dbo:leaderName'], ['dbp:province']]",[],list,name city whose province metropolitan city venice leader luigi brugnaro ?,4,-0.04809527136586386,0.11231317794661516
1178,1.0,1.0,1.0,6,1,6,Name a place in north america.,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",list,name place north america .,4,-0.01470432135293068,0.2066578928176313
1205,1.0,1.0,1.0,10,1,1,what's the name of a show that arlene phillips created,[['dbo:creator']],['dbo:creator'],list,'s name show arlene phillips created,4,-0.0022658044056869213,0.12722036210938584
1218,1.0,1.0,1.0,7,1,1,what was joseph-ferdinand daniel's place of death,"[['dbp:deathPlace', 'dbo:deathPlace']]",['dbo:deathPlace'],factoid,joseph-ferdinand daniel 's place death,4,-0.04192495338197707,-0.004806712368877711
1219,1.0,1.0,1.0,9,1,1,what was the place of death for john ogdon,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,place death john ogdon,4,-0.045222210668961066,-0.011734744583210147
1222,1.0,1.0,1.0,10,1,7,What is the name of a place in united kingdom?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,name place united kingdom ?,4,-0.022990381390417546,0.23558449212791346
1223,0.0,0.0,0.0,9,1,1,Name a military leader from the battle of culloden,[['dbo:battle']],['dbo:place'],list,name military leader battle culloden,4,-0.007515375711103413,0.12735437139205433
1232,1.0,1.0,1.0,7,1,1,What is the name of an actor?,[['dbo:occupation']],['dbo:occupation'],factoid,name actor ?,4,0.010021141864960009,0.32505836434459495
1252,1.0,1.0,1.0,10,1,1,what's the name of a band that plays death metal,[['dbo:genre']],['dbo:genre'],list,'s name band plays death metal,4,0.04129926144324097,0.19268790977039857
1260,1.0,1.0,1.0,10,1,1,what is the name of an album by gwen guthrie,[['dbo:artist']],['dbo:artist'],factoid,name album gwen guthrie,4,0.1370219730009836,0.2151031632054605
1263,1.0,1.0,1.0,7,1,1,what was lyman hall's place of birth,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,lyman hall 's place birth,4,-0.046296097995250515,-0.0065782548547835456
1265,1.0,1.0,1.0,7,1,1,What is tor marius gromstad's birth place,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,tor marius gromstad 's birth place,4,-0.04111267662256194,-0.008211257879734408
1267,1.0,1.0,1.0,10,1,1,what is the mouth name of the  conejos river,[['dbo:riverMouth']],['dbo:riverMouth'],factoid,mouth name conejos river,4,-0.006770706729076352,0.1454476536425009
1268,0.5,1.0,0.6666666666666666,16,2,1,Name the television show with opening theme as Te Deum and is composed by Marc-Antoine Charpentier?,"[['dbo:openingTheme'], ['dbp:themeMusicComposer']]",['dbp:themeMusicComposer'],list,name television show opening theme te deum composed marc-antoine charpentier ?,4,-0.01111690586730898,0.07059973511420393
1286,1.0,1.0,1.0,11,1,1,name a person that was involved in the battle of fredericksburg,[['dbo:battle']],['dbo:battle'],list,name person involved battle fredericksburg,4,-0.01820494697193807,0.1729421245948156
1328,1.0,1.0,1.0,7,1,1,Name someone who dies of heart failure.,[['dbo:deathCause']],['dbo:deathCause'],list,name someone dies heart failure .,4,-0.010348267092008293,0.14616903611869408
1332,1.0,1.0,1.0,4,1,1,Name a male actor.,[['dbo:occupation']],['dbo:occupation'],list,name male actor .,4,-0.004392522499197439,0.22523849002869634
1353,1.0,1.0,1.0,9,1,1,what was the place of birth of guy prather,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,place birth guy prather,4,-0.04350412676929498,-0.007207315506308415
1370,1.0,1.0,1.0,11,1,1,what is the name of a  left fielder baseball player,[['dbo:position']],['dbo:position'],factoid,name left fielder baseball player,4,-0.0137256575522941,0.11291872552052448
1379,0.0,0.0,0.0,8,1,1,Name an album from the Black Label Society,[['dbo:genre']],['dbo:recordLabel'],list,name album black label society,4,0.153680937112287,0.2385089708929857
1380,1.0,1.0,1.0,10,1,1,"what's the name of a high school in independence, missouri",[['dbo:type']],['dbo:type'],list,"'s name high school independence , missouri",4,-0.00505178091500454,0.12587480344325322
1391,1.0,1.0,1.0,11,1,1,what is the place of birth of alexander iii of scotlandw,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,place birth alexander iii scotlandw,4,-0.04253334985078859,-0.007974816832634176
1392,1.0,1.0,1.0,7,1,1,Where was william ticknor's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,william ticknor 's place birth ?,4,-0.04913330007065676,-0.006596909341901931
1415,1.0,1.0,1.0,7,1,7,Name a location contained in west virginia,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name location contained west virginia,4,-0.010598113562006128,0.16254140678317255
1426,1.0,1.0,1.0,17,1,1,What is the name of a Tennessee town that is located in north american central time zone?,[['dbo:timeZone']],['dbo:timeZone'],factoid,name tennessee town located north american central time zone ?,4,-0.07331526153403814,0.14496864202994728
1434,1.0,1.0,1.0,7,1,1,What is alexander cummings's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,alexander cummings 's place birth ?,4,-0.04595211602608993,-0.006576900088904591
1447,1.0,1.0,1.0,4,1,1,Name a grindcore band,[['dbo:genre']],['dbo:genre'],list,name grindcore band,4,0.014569646623791918,0.1817045984684958
1451,1.0,1.0,1.0,11,1,1,What's a battle that took place in the kingdom of prussia,[['dbo:place']],['dbo:place'],factoid,'s battle took place kingdom prussia,4,-0.04120997482896852,0.00019680799147311475
1470,0.0,0.0,0.0,8,1,0,When did the Boston Tea Party take place?,[['dbp:date']],[],factoid,boston tea party take place ?,4,-0.039212308183633464,-0.00793190065399761
1487,1.0,1.0,1.0,10,1,1,Name a place located in the central european time zone,[['dbo:timeZone']],['dbo:timeZone'],list,name place located central european time zone,4,-0.08318145511210846,0.183410097664122
1497,1.0,1.0,1.0,8,1,1,What is the name of a popular soundtrack,[['dbo:genre']],['dbo:genre'],factoid,name popular soundtrack,4,0.00987080808186536,0.1849090229501615
1514,0.0,0.0,0.0,7,1,0,Name the office of Richard Coke ?,[['dbp:office']],[],list,name office richard coke ?,4,-0.004870772000676017,0.14629357942345794
1531,1.0,0.5,0.6666666666666666,7,1,2,name an album released by willie nelson,[['dbo:artist']],"['dbo:artist', 'dbo:type']",list,name album released willie nelson,4,0.1421738766949432,0.21042062144643806
1609,1.0,1.0,1.0,6,1,7,Name a city in united states,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name city united states,4,-0.06576294583690093,0.29607545873104024
1617,1.0,1.0,1.0,6,1,1,name a fell in lake district,"[['dbo:locatedInArea', 'dbo:location']]",['dbo:location'],list,name fell lake district,4,-0.005954979479880664,0.15840230207009512
1629,1.0,1.0,1.0,4,1,1,Name a costume designer,[['dbo:occupation']],['dbo:occupation'],list,name costume designer,4,0.0009821313251057186,0.1553319949474847
1698,1.0,1.0,1.0,6,1,7,name a coal town in virginia.,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name coal town virginia .,4,-0.006938914570185656,0.16025192293364482
1700,1.0,1.0,1.0,9,1,1,What is the name of an alternative rock album?,[['dbo:genre']],['dbo:genre'],factoid,name alternative rock album ?,4,0.3060537894518597,0.3967643578449394
1701,1.0,1.0,1.0,8,1,1,Where was isidro b. maiztegui's place of death?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,isidro b. maiztegui 's place death ?,4,-0.03729790676475014,-0.003846575907254237
1724,1.0,1.0,1.0,7,1,1,where is valter palm's place of death,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,valter palm 's place death,4,-0.03720479799310158,-0.0037847468682259667
1727,0.0,0.0,0.0,15,2,0,Name a few whose live in a place where Indian English is an official language,"[['dbo:officialLanguage'], ['dbo:residence']]",[],list,name whose live place indian english official language,4,-0.017293353703003146,0.12195067307237052
1731,1.0,1.0,1.0,7,1,1,Name a song composed by mike shinoda.,[['dbo:writer']],['dbo:writer'],list,name song composed mike shinoda .,4,-0.005098781125004453,0.1327553379610498
1755,1.0,0.8571428571428571,0.923076923076923,6,1,7,Name a location in north america.,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name location north america .,4,-0.008040855586739382,0.19809635566160647
1760,1.0,0.7142857142857143,0.8333333333333333,5,1,7,Name a place in iceland.,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:location', 'dbo:region']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,name place iceland .,4,-0.006444099777681492,0.19634680841531643
1763,1.0,1.0,1.0,3,1,1,Name a musician,[['dbo:occupation']],['dbo:occupation'],list,name musician,4,0.03353959735502667,0.3132498060326524
1773,1.0,1.0,1.0,11,1,7,What is the name of a lake in the united states?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,name lake united states ?,4,-0.02570014469423009,0.23653873589275304
1799,1.0,1.0,1.0,11,1,1,what is the name of the croatian amphitheatre with roman architecture,[['dbo:architecturalStyle']],['dbo:architecturalStyle'],factoid,name croatian amphitheatre roman architecture,4,-0.006477817427934258,0.11112196684734055
1811,1.0,1.0,1.0,10,1,7,What is the name of a location inside new york,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,name location inside new york,4,-0.018423908908225255,0.18326776581202897
1817,1.0,1.0,1.0,3,1,1,Name an album.,[['dbo:type']],['dbo:type'],list,name album .,4,0.40808017120007256,0.5908629152650265
1826,0.0,0.0,0.0,13,2,0,Name a fictional character whose relative is Uncle Henry and species is Human?,"[['dbo:relative'], ['dbo:species']]",[],list,name fictional character whose relative uncle henry species human ?,4,-0.014046448355702002,0.0878820711371385
1891,1.0,1.0,1.0,12,1,1,What is the name of an album by the the kingston trio,[['dbo:artist']],['dbo:artist'],factoid,name album kingston trio,4,0.13542071448151072,0.21290552909969326
1893,1.0,1.0,1.0,9,1,7,What is the name of one river in texas?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,name one river texas ?,4,-0.0031945174540575385,0.18833474309647744
1906,0.5,1.0,0.6666666666666666,21,2,1,What is the location of the Walter Evans Edge office which is also the place of birth of henry Miller ?,"[['dbo:birthPlace'], ['dbp:office']]",['dbo:birthPlace'],factoid,location walter evans edge office also place birth henry miller ?,4,-0.0451774827253906,-0.0027418323141175658
1911,1.0,1.0,1.0,9,1,7,What is the name of a town in india?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,name town india ?,4,0.00017631038756267046,0.21922134073087213
1922,1.0,1.0,1.0,9,1,1,which hawaiian city is brian gaskill's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,hawaiian city brian gaskill 's place birth ?,4,-0.06783628636527374,0.010115465410215749
1929,1.0,1.0,1.0,4,1,1,Name a horse trainer.,[['dbo:occupation']],['dbo:occupation'],list,name horse trainer .,4,0.0014521179674502806,0.15354732789584996
1937,1.0,1.0,1.0,7,1,1,what is eric weissberg's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,eric weissberg 's place birth ?,4,-0.04581592322402588,-0.008539565457444548
1946,1.0,1.0,1.0,4,1,1,Name a famous screenwriter,[['dbo:occupation']],['dbo:occupation'],list,name famous screenwriter,4,0.004192234421869817,0.2270166274956151
1954,1.0,1.0,1.0,6,1,1,Name one of many blues album,[['dbo:genre']],['dbo:genre'],list,name one many blues album,4,0.1763385121885933,0.27680090180585604
