,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,training_count
749,0.5,0.2,0.2857142857142857,22,2,5,What is the city of the Maine School of Science and Mathematics is also the resting place of Charles A. Boutelle ?,"[['dbp:restingplace'], ['dbo:authority']]","['dbo:almaMater', 'dbo:restingPlace', 'dbp:placeOfBurial', 'dbp:restingPlace', 'dbp:restingplace']",factoid,"[[25], [2]]"
761,0.5,0.2,0.2857142857142857,16,2,5,Count the number of schools which are in a city governed by the West Berkshire Council?,"[['dbp:city'], ['dbo:leaderName']]","['dbo:city', 'dbo:leaderName', 'dbo:location', 'dbp:governingBody', 'dbp:leaderName']",count,"[[28], [25]]"
813,0.0,0.0,0.0,7,1,5,what mountain is found in lake district,[['dbo:mountainRange']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location']",factoid,[[61]]
828,0.5,0.2,0.2857142857142857,15,2,5,Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country?,"[['dbo:locationCountry'], ['dbo:locationCountry']]","['dbo:country', 'dbo:genre', 'dbo:locationCountry', 'dbo:state', 'dbp:genre']",list,"[[8], [8]]"
833,0.5,0.2,0.2857142857142857,9,2,5,Which HBO's television series was produced by Erik Bork?,"[['dbo:producer'], ['dbp:distributor']]","['dbo:executiveProducer', 'dbo:producer', 'dbo:series', 'dbo:starring', 'dbp:company']",factoid,"[[506], [35]]"
847,0.5,0.2,0.2857142857142857,20,2,5,What religions are followed by members of the societies whose architectural influences can be seen on the Sanggar Agung ?,"[['dbp:architecturalStyle'], ['dbo:religion']]","['dbo:influencedBy', 'dbo:religion', 'dbp:party', 'dbp:related', 'dbp:religion']",factoid,"[[3], [257]]"
854,0.0,0.0,0.0,9,1,5,where is the place of birth of john madden,[['dbo:nationality']],"['dbo:birthPlace', 'dbo:deathPlace', 'dbo:hometown', 'dbp:birthPlace', 'dbp:placeOfBirth']",factoid,[[266]]
917,0.5,0.2,0.2857142857142857,11,2,5,List the television shows whose network's executive officer is Steve Burke.,"[['dbo:network'], ['dbo:keyPerson']]","['dbo:birthPlace', 'dbo:executiveProducer', 'dbo:network', 'dbo:starring', 'dbp:network']",list,"[[23], [17]]"
927,0.5,0.2,0.2857142857142857,13,2,5,What is the common official residence of Lezlee Westine and Arnold W. Braswell?,"[['dbp:residence'], ['dbp:residence']]","['dbo:knownFor', 'dbo:nationality', 'dbo:officialLanguage', 'dbo:residence', 'dbp:residence']",factoid,"[[25], [25]]"
950,0.5,0.2,0.2857142857142857,9,2,5,What are some causes of death of European Americans?,"[['dbo:ethnicity'], ['dbo:deathCause']]","['dbo:award', 'dbo:deathCause', 'dbo:religion', 'dbp:citizenship', 'dbp:deathPlace']",factoid,"[[39], [319]]"
966,0.5,0.2,0.2857142857142857,17,2,5,Who is the producer of the song which is the previous work of He's a Liar ?,"[['dbo:previousWork'], ['dbo:producer']]","['dbo:musicalArtist', 'dbo:producer', 'dbo:subsequentWork', 'dbp:producer', 'dbp:writer']",factoid,"[[11], [506]]"
970,0.0,0.0,0.0,15,2,5,"In which city is the building, whose part is the Martin AN/FSG1 anti aircraft system?","[['dbo:part'], ['dbp:district']]","['dbo:architect', 'dbo:city', 'dbo:manufacturer', 'dbo:militaryUnit', 'dbp:crosses']",factoid,"[[11], [7]]"
971,0.0,0.0,0.0,9,1,5,Does Air 2000 fly to the north american continent?,[['dbo:destination']],"['dbo:artist', 'dbo:region', 'dbo:successor', 'dbo:writer', 'dbp:destinations']",boolean,[[10]]
993,0.0,0.0,0.0,7,1,5,which country does paul rabinow call home,[['dbo:citizenship']],"['dbo:birthPlace', 'dbo:hometown', 'dbo:location', 'dbo:nationality', 'dbo:spokenIn']",factoid,[[16]]
999,0.5,0.2,0.2857142857142857,13,2,5,How many nations' volleyball players have played for the Russian women volleyball team?,"[['dbp:placeOfBirth'], ['dbp:nationalteam']]","['dbo:country', 'dbo:formerTeam', 'dbo:league', 'dbo:team', 'dbp:nationalteam']",count,"[[41], [14]]"
1010,0.5,0.2,0.2857142857142857,12,2,5,Who did the associated act which is a Peter Frampton production ?,"[['dbp:producer'], ['dbp:associatedActs']]","['dbo:associatedMusicalArtist', 'dbo:battle', 'dbp:associatedActs', 'dbp:starring', 'dbp:studio']",factoid,"[[24], [19]]"
1034,0.5,0.2,0.2857142857142857,13,2,5,Which shows' opening themes was used to make If We Were a Movie?,"[['dbo:openingTheme'], ['dbo:subsequentWork']]","['dbo:openingTheme', 'dbo:type', 'dbp:company', 'dbp:genre', 'dbp:themeMusicComposer']",factoid,"[[11], [31]]"
1058,0.5,0.2,0.2857142857142857,10,2,5,How many things belong to a division of plant kingdom?,"[['dbo:kingdom'], ['dbo:division']]","['dbo:division', 'dbo:order', 'dbo:parent', 'dbp:birthPlace', 'dbp:branch']",count,"[[7], [12]]"
1107,0.0,0.0,0.0,11,1,5,Music of how many things has been given by Akira Ifukube?,[['dbp:music']],"['dbo:award', 'dbo:birthPlace', 'dbp:awards', 'dbp:birthPlace', 'dbp:creator']",count,[[26]]
1121,0.0,0.0,0.0,11,2,5,Who are some people whose relation is hqed in Gold Base?,"[['dbp:headquarters'], ['dbo:religion']]","['dbo:nationality', 'dbo:network', 'dbo:relation', 'dbo:relative', 'dbp:relatives']",factoid,"[[32], [257]]"
1145,0.5,0.2,0.2857142857142857,16,2,5,Who is the writer of the Cavalcade of America and The United States Steel Hour ?,"[['dbo:writer'], ['dbo:writer']]","['dbo:notableWork', 'dbo:writer', 'dbp:notableworks', 'dbp:writer', 'dbp:writers']",factoid,"[[1148], [1148]]"
1160,0.0,0.0,0.0,13,2,5,Under which US president was a politician in opposition of John G Schmitz?,"[['dbp:opponent'], ['dbo:incumbent']]","['dbo:leader', 'dbo:opponent', 'dbo:party', 'dbo:president', 'dbo:residence']",factoid,"[[2], [4]]"
1175,0.5,0.2,0.2857142857142857,12,2,5,How many cities are around the sea which flows into the Atlantic?,"[['dbp:cities'], ['dbo:inflow']]","['dbo:city', 'dbo:outflow', 'dbo:riverMouth', 'dbp:cities', 'dbp:outflow']",count,"[[31], [5]]"
1211,0.5,0.2,0.2857142857142857,9,2,5,Who was in conflicts of Fort Barrancas and Gadsden?,"[['dbo:battle'], ['dbo:battle']]","['dbo:battle', 'dbo:birthPlace', 'dbo:territory', 'dbp:commander', 'dbp:owner']",factoid,"[[293], [293]]"
1221,0.5,0.2,0.2857142857142857,7,2,5,Titus software publishes which genre of games?,"[['dbp:publisher'], ['dbo:genre']]","['dbo:computingPlatform', 'dbo:developer', 'dbo:genre', 'dbo:publisher', 'dbp:genre']",list,"[[10], [5588]]"
1223,0.5,0.2,0.2857142857142857,12,2,5,Which relative of George Madison is the appointer of John Drayton ?,"[['dbo:relation'], ['dbp:appointer']]","['dbo:appointer', 'dbo:nationality', 'dbo:relation', 'dbo:relative', 'dbp:relatives']",factoid,"[[24], [11]]"
1245,0.5,0.2,0.2857142857142857,16,2,5,Name the common sports played at Polytechnic University of Philippines San Juan and Islamic Azad University?,"[['dbo:sport'], ['dbo:sport']]","['dbo:affiliation', 'dbo:athletics', 'dbo:sport', 'dbp:athletics', 'dbp:genre']",list,"[[41], [41]]"
1253,0.5,0.2,0.2857142857142857,12,2,5,What is the television show whose channel's parent organisation is Fox Sports?,"[['dbo:channel'], ['dbo:parentOrganisation']]","['dbo:leader', 'dbo:network', 'dbo:parentOrganisation', 'dbp:company', 'dbp:parent']",factoid,"[[8], [10]]"
1282,0.5,0.2,0.2857142857142857,19,2,5,Name all the broadcast area of the TV stations which has Rodrigues as one of the broadcast area ?,"[['dbp:broadcastArea'], ['dbp:broadcastArea']]","['dbo:broadcastArea', 'dbo:city', 'dbp:area', 'dbp:broadcastArea', 'dbp:sisterStations']",list,"[[11], [11]]"
1284,0.5,0.2,0.2857142857142857,17,2,5,List all binomial authority of the insects whose one of the  binomial authority is douard Mntries?,"[['dbo:binomialAuthority'], ['dbo:binomialAuthority']]","['dbo:binomialAuthority', 'dbo:isPartOf', 'dbo:localAuthority', 'dbo:order', 'dbp:children']",list,"[[9], [9]]"
1287,0.0,0.0,0.0,9,1,5,which california theme park is mickey's toontown located in?,[['dbp:park']],"['dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",factoid,[[2]]
1291,0.5,0.2,0.2857142857142857,14,2,5,List the cities which share the same water body as that of Florida ?,"[['dbp:cities'], ['dbp:cities']]","['dbo:city', 'dbo:sport', 'dbp:affiliation', 'dbp:cities', 'dbp:owner']",list,"[[31], [31]]"
1321,0.0,0.0,0.0,7,1,5,What kind of boxer is richel hersisia?,[['dbp:weight']],"['dbo:genre', 'dbo:occupation', 'dbo:position', 'dbo:type', 'dbp:genre']",factoid,[[25]]
1322,0.5,0.2,0.2857142857142857,12,2,5,What is that river whose source gets water from the Shannon cave?,"[['dbo:source'], ['dbp:inflow']]","['dbo:riverMouth', 'dbo:source', 'dbo:sourceMountain', 'dbp:mouthLocation', 'dbp:sourceLocation']",factoid,"[[13], [7]]"
1327,0.0,0.0,0.0,13,2,5,What tv shows were born out of a collaboration of playtone and dreamworks?,"[['dbo:company'], ['dbo:company']]","['dbo:associatedMusicalArtist', 'dbo:birthPlace', 'dbo:genre', 'dbo:starring', 'dbp:genre']",factoid,"[[11], [11]]"
1355,0.0,0.0,0.0,10,1,5,what type of work is akseli gallen-kallela most known for?,[['dbo:movement']],"['dbo:field', 'dbo:genre', 'dbo:literaryGenre', 'dbo:occupation', 'dbo:type']",factoid,[[52]]
1357,0.0,0.0,0.0,9,1,5,Which bollywood film stars Menekka Arora and Arun Bali,[['dbo:language']],"['dbo:birthPlace', 'dbo:deathPlace', 'dbo:occupation', 'dbo:starring', 'dbp:starring']",factoid,[[520]]
1382,0.5,0.2,0.2857142857142857,15,2,5,Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family ?,"[['dbp:languages'], ['dbo:languageFamily']]","['dbo:ethnicity', 'dbo:language', 'dbo:languageFamily', 'dbo:officialLanguage', 'dbp:region']",count,"[[7], [48]]"
1402,0.5,0.2,0.2857142857142857,10,2,5,Which company owns the airlines whose hub is in Dubai?,"[['dbp:hubs'], ['dbp:parent']]","['dbo:hubAirport', 'dbo:operator', 'dbo:parentCompany', 'dbp:hubs', 'dbp:owner']",factoid,"[[10], [15]]"
1405,0.0,0.0,0.0,10,1,5,Which fictional character is portrayed by Roger Barton (film editor)?,[['dbp:portrayer']],"['dbo:editing', 'dbo:literaryGenre', 'dbo:portrayer', 'dbp:creator', 'dbp:editing']",factoid,[[2]]
1409,0.5,0.2,0.2857142857142857,14,2,5,What is the region served by Toll Global Express and also borders Siberia ?,"[['dbo:border'], ['dbo:regionServed']]","['dbo:city', 'dbo:country', 'dbo:distributor', 'dbo:regionServed', 'dbp:region']",factoid,"[[9], [10]]"
1449,0.0,0.0,0.0,11,2,5,What awards were presented to the person who produced Paradise place?,"[['dbp:producer'], ['dbp:awards']]","['dbo:award', 'dbo:presenter', 'dbo:producer', 'dbo:product', 'dbp:notableworks']",factoid,"[[24], [50]]"
1455,0.5,0.2,0.2857142857142857,14,2,5,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:cpu', 'dbo:manufacturer', 'dbo:successor', 'dbp:predecessor', 'dbp:successor']",factoid,"[[6], [34]]"
1484,0.0,0.0,0.0,9,1,5,Who was the writer of the novel Maniac Magee?,[['dbp:notableworks']],"['dbo:author', 'dbo:literaryGenre', 'dbo:notableWork', 'dbo:writer', 'dbp:writer']",factoid,[[16]]
1496,0.0,0.0,0.0,10,1,5,What are the names of books written by george orwell?,[['dbo:literaryGenre']],"['dbo:author', 'dbo:birthPlace', 'dbo:notableWork', 'dbo:restingPlace', 'dbp:religion']",factoid,[[750]]
1502,0.5,0.2,0.2857142857142857,12,2,5,What are some team members of the team based in Camp Nou?,"[['dbo:homeStadium'], ['dbp:name']]","['dbo:bandMember', 'dbo:location', 'dbo:team', 'dbp:name', 'dbp:placeOfBirth']",factoid,"[[11], [18]]"
1534,0.0,0.0,0.0,5,1,5,Where did Whitney Wistert debut?,[['dbp:debutteam']],"['dbo:debutTeam', 'dbo:hometown', 'dbo:knownFor', 'dbo:type', 'dbp:birthPlace']",factoid,[[21]]
1570,0.5,0.2,0.2857142857142857,13,2,5,Who worked at  A Goon's Deed in a Weary World and CBS?,"[['dbo:occupation'], ['dbo:occupation']]","['dbo:employer', 'dbo:occupation', 'dbo:producer', 'dbp:employer', 'dbp:place']",factoid,"[[629], [629]]"
1587,0.5,0.2,0.2857142857142857,5,2,5,Starwood operates in which places?,"[['dbp:operator'], ['dbp:address']]","['dbo:city', 'dbo:operatedBy', 'dbo:operator', 'dbp:location', 'dbp:operator']",list,"[[11], [11]]"
1642,0.0,0.0,0.0,13,1,5,Who were all the people in office when bob hawke was the PM?,[['dbo:primeMinister']],"['dbo:leader', 'dbo:leaderName', 'dbp:office', 'dbp:primeminister', 'dbp:residence']",factoid,[[10]]
1659,0.0,0.0,0.0,8,1,5,Where is the gold coast football club located?,[['dbp:location']],"['dbo:city', 'dbo:country', 'dbo:district', 'dbo:locatedInArea', 'dbo:location']",factoid,[[22]]
1697,0.0,0.0,0.0,6,1,5,what county is john hardin from,[['dbp:namedFor']],"['dbo:country', 'dbo:district', 'dbo:hometown', 'dbo:isPartOf', 'dbo:state']",factoid,[[40]]
1737,0.5,0.2,0.2857142857142857,17,2,5,List the pole drivers in the grand prixes where Williams Grand Prix Engineering was a first team?,"[['dbp:firstTeam'], ['dbo:poleDriver']]","['dbo:bronzeMedalist', 'dbo:firstDriver', 'dbo:location', 'dbo:poleDriver', 'dbp:firstDriver']",list,"[[8], [6]]"
1741,0.0,0.0,0.0,7,1,5,Was Morrissey a member of the Smiths?,[['dbo:formerBandMember']],"['dbo:associatedBand', 'dbo:bandMember', 'dbo:district', 'dbp:currentMembers', 'dbp:pastMembers']",boolean,[[10]]
1749,0.5,0.2,0.2857142857142857,11,2,5,Where does the river begin whose left tributary is Krapanski Potok?,"[['dbo:leftTributary'], ['dbo:source']]","['dbo:leftTributary', 'dbo:mouthCountry', 'dbo:position', 'dbo:restingPlace', 'dbo:rightTributary']",factoid,"[[6], [13]]"
1750,0.5,0.2,0.2857142857142857,8,2,5,What made Jon Speelman and Eric Schiller famous?,"[['dbo:knownFor'], ['dbo:field']]","['dbo:knownFor', 'dbo:manufacturer', 'dbo:notableWork', 'dbp:creator', 'dbp:knownFor']",factoid,"[[40], [83]]"
1781,0.0,0.0,0.0,13,1,5,Was Lionel Messi a member  of the 2009 FIFA World Cup squads?,[['dbo:currentMember']],"['dbo:season', 'dbo:writer', 'dbp:debutteam', 'dbp:name', 'dbp:nationalteam']",boolean,[[3]]
