,recall_x,precision_x,f1_x,word_count_x,rel_count_x,sys_relations_x,question,gold_relations_x,system_relations_x,question_type_x,recall_y,precision_y,f1_y,word_count_y,rel_count_y,sys_relations_y,gold_relations_y,system_relations_y,question_type_y,training_count
10,0.0,0.0,0.0,10,1,5,Do the White Plains Road lie in the Bronx county?,[['dbp:counties']],"['dbo:genre', 'dbo:isPartOf', 'dbo:sourceRegion', 'dbo:writer', 'dbp:office']",boolean,0.0,0.0,0.0,10,1,5,[['dbp:counties']],"['dbo:city', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:state']",boolean,[[5]]
11,0.5,0.2,0.2857142857142857,14,2,5,What is the largest city in the country where the San Marcos River originates?,"[['dbo:sourceMountain'], ['dbo:largestCity']]","['dbo:areaTotal', 'dbo:capital', 'dbo:largestCity', 'dbo:origin', 'dbp:birthplace']",factoid,0.0,0.0,0.0,14,2,5,"[['dbo:sourceMountain'], ['dbo:largestCity']]","['dbo:capital', 'dbo:country', 'dbo:district', 'dbo:sourceCountry', 'dbp:country']",factoid,"[[11], [23]]"
12,0.0,0.0,0.0,8,1,5,Does Walson Augustin play for the Brothers Union?,[['dbp:currentclub']],"['dbo:city', 'dbo:distributor', 'dbo:isPartOf', 'dbo:region', 'dbo:state']",boolean,0.0,0.0,0.0,8,1,5,[['dbp:currentclub']],"['dbo:formerTeam', 'dbo:team', 'dbp:nationalteam', 'dbp:playedFor', 'dbp:team']",boolean,[[12]]
13,0.5,0.2,0.2857142857142857,6,2,5,What do typically NGOs work for?,"[['dbp:type'], ['dbp:purpose']]","['dbo:employer', 'dbo:foundedBy', 'dbo:industry', 'dbp:employer', 'dbp:purpose']",factoid,0.5,0.2,0.2857142857142857,6,2,5,"[['dbp:type'], ['dbp:purpose']]","['dbo:employer', 'dbo:industry', 'dbo:occupation', 'dbp:employer', 'dbp:purpose']",factoid,"[[12], [15]]"
14,0.5,0.2,0.2857142857142857,22,2,5,What is the city of the Maine School of Science and Mathematics is also the resting place of Charles A. Boutelle ?,"[['dbp:restingplace'], ['dbo:authority']]","['dbo:almaMater', 'dbo:restingPlace', 'dbp:placeOfBurial', 'dbp:restingPlace', 'dbp:restingplace']",factoid,0.5,0.2,0.2857142857142857,22,2,5,"[['dbp:restingplace'], ['dbo:authority']]","['dbo:city', 'dbo:location', 'dbo:restingPlace', 'dbp:restingPlace', 'dbp:restingplace']",factoid,"[[25], [2]]"
15,0.5,0.2,0.2857142857142857,15,2,5,Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country?,"[['dbo:locationCountry'], ['dbo:locationCountry']]","['dbo:country', 'dbo:genre', 'dbo:locationCountry', 'dbo:state', 'dbp:genre']",list,0.0,0.0,0.0,15,2,5,"[['dbo:locationCountry'], ['dbo:locationCountry']]","['dbo:country', 'dbo:location', 'dbo:starring', 'dbp:firstAired', 'dbp:genre']",list,"[[8], [8]]"
16,0.5,0.2,0.2857142857142857,20,2,5,What religions are followed by members of the societies whose architectural influences can be seen on the Sanggar Agung ?,"[['dbp:architecturalStyle'], ['dbo:religion']]","['dbo:influencedBy', 'dbo:religion', 'dbp:party', 'dbp:related', 'dbp:religion']",factoid,0.5,0.2,0.2857142857142857,20,2,5,"[['dbp:architecturalStyle'], ['dbo:religion']]","['dbo:movement', 'dbo:religion', 'dbo:veneratedIn', 'dbp:religion', 'dbp:veneratedIn']",factoid,"[[3], [257]]"
17,0.5,0.2,0.2857142857142857,11,2,5,List the television shows whose network's executive officer is Steve Burke.,"[['dbo:network'], ['dbo:keyPerson']]","['dbo:birthPlace', 'dbo:executiveProducer', 'dbo:network', 'dbo:starring', 'dbp:network']",list,0.5,0.2,0.2857142857142857,11,2,5,"[['dbo:network'], ['dbo:keyPerson']]","['dbo:network', 'dbp:company', 'dbp:judges', 'dbp:network', 'dbp:voices']",list,"[[23], [17]]"
18,0.5,0.2,0.2857142857142857,10,2,5,How many things belong to a division of plant kingdom?,"[['dbo:kingdom'], ['dbo:division']]","['dbo:division', 'dbo:order', 'dbo:parent', 'dbp:birthPlace', 'dbp:branch']",count,0.5,0.2,0.2857142857142857,10,2,5,"[['dbo:kingdom'], ['dbo:division']]","['dbo:division', 'dbo:foundationPlace', 'dbo:order', 'dbp:country', 'dbp:locationCountry']",count,"[[7], [12]]"
19,0.0,0.0,0.0,11,2,5,Who are some people whose relation is hqed in Gold Base?,"[['dbp:headquarters'], ['dbo:religion']]","['dbo:nationality', 'dbo:network', 'dbo:relation', 'dbo:relative', 'dbp:relatives']",factoid,0.5,0.2,0.2857142857142857,11,2,5,"[['dbp:headquarters'], ['dbo:religion']]","['dbo:leader', 'dbo:militaryUnit', 'dbo:residence', 'dbp:headquarters', 'dbp:membership']",factoid,"[[32], [257]]"
20,0.5,0.2,0.2857142857142857,16,2,5,Who is the writer of the Cavalcade of America and The United States Steel Hour ?,"[['dbo:writer'], ['dbo:writer']]","['dbo:notableWork', 'dbo:writer', 'dbp:notableworks', 'dbp:writer', 'dbp:writers']",factoid,0.5,0.2,0.2857142857142857,16,2,5,"[['dbo:writer'], ['dbo:writer']]","['dbo:author', 'dbo:musicalArtist', 'dbo:writer', 'dbp:lyrics', 'dbp:writer']",factoid,"[[1148], [1148]]"
21,0.0,0.0,0.0,13,2,5,Under which US president was a politician in opposition of John G Schmitz?,"[['dbp:opponent'], ['dbo:incumbent']]","['dbo:leader', 'dbo:opponent', 'dbo:party', 'dbo:president', 'dbo:residence']",factoid,0.0,0.0,0.0,13,2,5,"[['dbp:opponent'], ['dbo:incumbent']]","['dbo:leader', 'dbo:leaderName', 'dbo:opponent', 'dbo:party', 'dbo:president']",factoid,"[[2], [4]]"
22,0.5,0.2,0.2857142857142857,12,2,5,How many cities are around the sea which flows into the Atlantic?,"[['dbp:cities'], ['dbo:inflow']]","['dbo:city', 'dbo:outflow', 'dbo:riverMouth', 'dbp:cities', 'dbp:outflow']",count,0.5,0.2,0.2857142857142857,12,2,5,"[['dbp:cities'], ['dbo:inflow']]","['dbo:mouthMountain', 'dbo:outflow', 'dbo:riverMouth', 'dbp:cities', 'dbp:mouthLocation']",count,"[[31], [5]]"
23,0.5,0.2,0.2857142857142857,7,2,5,Titus software publishes which genre of games?,"[['dbp:publisher'], ['dbo:genre']]","['dbo:computingPlatform', 'dbo:developer', 'dbo:genre', 'dbo:publisher', 'dbp:genre']",list,0.5,0.2,0.2857142857142857,7,2,5,"[['dbp:publisher'], ['dbo:genre']]","['dbo:computingPlatform', 'dbo:developer', 'dbo:genre', 'dbo:publisher', 'dbp:genre']",list,"[[10], [5588]]"
24,0.5,0.2,0.2857142857142857,12,2,5,What is the television show whose channel's parent organisation is Fox Sports?,"[['dbo:channel'], ['dbo:parentOrganisation']]","['dbo:leader', 'dbo:network', 'dbo:parentOrganisation', 'dbp:company', 'dbp:parent']",factoid,0.0,0.0,0.0,12,2,5,"[['dbo:channel'], ['dbo:parentOrganisation']]","['dbo:network', 'dbp:company', 'dbp:distributor', 'dbp:network', 'dbp:sisterNames']",factoid,"[[8], [10]]"
25,0.5,0.2,0.2857142857142857,17,2,5,List all binomial authority of the insects whose one of the  binomial authority is douard Mntries?,"[['dbo:binomialAuthority'], ['dbo:binomialAuthority']]","['dbo:binomialAuthority', 'dbo:isPartOf', 'dbo:localAuthority', 'dbo:order', 'dbp:children']",list,0.5,0.2,0.2857142857142857,17,2,5,"[['dbo:binomialAuthority'], ['dbo:binomialAuthority']]","['dbo:binomialAuthority', 'dbo:citizenship', 'dbo:family', 'dbo:localAuthority', 'dbo:order']",list,"[[9], [9]]"
26,0.0,0.0,0.0,9,1,5,which california theme park is mickey's toontown located in?,[['dbp:park']],"['dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",factoid,0.0,0.0,0.0,9,1,5,[['dbp:park']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region']",factoid,[[2]]
27,0.5,0.2,0.2857142857142857,14,2,5,List the cities which share the same water body as that of Florida ?,"[['dbp:cities'], ['dbp:cities']]","['dbo:city', 'dbo:sport', 'dbp:affiliation', 'dbp:cities', 'dbp:owner']",list,0.5,0.2,0.2857142857142857,14,2,5,"[['dbp:cities'], ['dbp:cities']]","['dbo:broadcastArea', 'dbo:city', 'dbp:cities', 'dbp:city', 'dbp:location']",list,"[[31], [31]]"
28,0.5,0.2,0.2857142857142857,14,2,5,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:cpu', 'dbo:manufacturer', 'dbo:successor', 'dbp:predecessor', 'dbp:successor']",factoid,0.0,0.0,0.0,14,2,5,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:manufacturer', 'dbo:predecessor', 'dbo:successor', 'dbp:predecessor', 'dbp:related']",factoid,"[[6], [34]]"
29,0.5,0.2,0.2857142857142857,12,2,5,What are some team members of the team based in Camp Nou?,"[['dbo:homeStadium'], ['dbp:name']]","['dbo:bandMember', 'dbo:location', 'dbo:team', 'dbp:name', 'dbp:placeOfBirth']",factoid,0.5,0.2,0.2857142857142857,12,2,5,"[['dbo:homeStadium'], ['dbp:name']]","['dbo:formerTeam', 'dbo:ground', 'dbo:locationCity', 'dbp:name', 'dbp:nationalteam']",factoid,"[[11], [18]]"
30,0.5,0.2,0.2857142857142857,5,2,5,Starwood operates in which places?,"[['dbp:operator'], ['dbp:address']]","['dbo:city', 'dbo:operatedBy', 'dbo:operator', 'dbp:location', 'dbp:operator']",list,0.0,0.0,0.0,5,2,5,"[['dbp:operator'], ['dbp:address']]","['dbo:broadcastArea', 'dbo:city', 'dbo:location', 'dbo:state', 'dbp:headquarters']",list,"[[11], [11]]"
31,0.5,0.2,0.2857142857142857,10,2,5,Which awards are presented by the committee located in Stockholm?,"[['dbp:headquarters'], ['dbo:presenter']]","['dbo:city', 'dbo:country', 'dbo:location', 'dbo:presenter', 'dbo:restingPlace']",factoid,0.0,0.0,0.0,10,2,5,"[['dbp:headquarters'], ['dbo:presenter']]","['dbo:award', 'dbo:headquarter', 'dbo:location', 'dbp:awards', 'dbp:governingBody']",factoid,"[[32], [10]]"
32,0.5,0.2,0.2857142857142857,15,2,5,Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield ?,"[['dbo:militaryBranch'], ['dbo:tenant']]","['dbo:militaryBranch', 'dbp:branch', 'dbp:founder', 'dbp:office', 'dbp:placeOfDeath']",factoid,0.5,0.2,0.2857142857142857,15,2,5,"[['dbo:militaryBranch'], ['dbo:tenant']]","['dbo:commander', 'dbo:militaryBranch', 'dbo:militaryUnit', 'dbp:battles', 'dbp:mascot']",factoid,"[[19], [28]]"
33,0.5,0.2,0.2857142857142857,15,2,5,How many other family of the mammals exists  whose family is also Hominidae ?,"[['dbo:family'], ['dbo:family']]","['dbo:family', 'dbo:isPartOf', 'dbo:order', 'dbo:species', 'dbp:children']",count,0.5,0.2,0.2857142857142857,15,2,5,"[['dbo:family'], ['dbo:family']]","['dbo:ethnicity', 'dbo:family', 'dbo:order', 'dbo:phylum', 'dbo:species']",count,"[[20], [20]]"
34,0.5,0.2,0.2857142857142857,12,2,5,Radios on what topics can be tuned in to in Washington DC?,"[['dbo:broadcastArea'], ['dbo:programmeFormat']]","['dbo:deathPlace', 'dbo:programmeFormat', 'dbp:country', 'dbp:music', 'dbp:subject']",list,0.5,0.2,0.2857142857142857,12,2,5,"[['dbo:broadcastArea'], ['dbo:programmeFormat']]","['dbo:associatedBand', 'dbo:genre', 'dbo:instrument', 'dbo:programmeFormat', 'dbp:genre']",list,"[[48], [100]]"
35,0.0,0.0,0.0,7,1,5,How much carbs does peanut butter have?,[['dbp:carbs']],"['dbo:city', 'dbo:ingredient', 'dbo:mountainRange', 'dbo:writer', 'dbp:country']",factoid,0.0,0.0,0.0,7,1,5,[['dbp:carbs']],"['dbo:class', 'dbo:ingredient', 'dbo:order', 'dbo:species', 'dbp:mainIngredient']",factoid,[[1]]
36,0.5,0.2,0.2857142857142857,13,2,5,Who are the relatives of the character after which Quagmire's Quagmire was made?,"[['dbo:subsequentWork'], ['dbo:relative']]","['dbo:creator', 'dbo:religion', 'dbo:subsequentWork', 'dbo:successor', 'dbp:relatives']",factoid,0.5,0.2,0.2857142857142857,13,2,5,"[['dbo:subsequentWork'], ['dbo:relative']]","['dbo:creator', 'dbo:relation', 'dbo:relative', 'dbp:creators', 'dbp:relatives']",factoid,"[[31], [22]]"
37,0.5,0.2,0.2857142857142857,19,2,5,"Of all the teams that Andrew Economos played for, which one did Jerrel Jackson play his first game for?","[['dbo:formerTeam'], ['dbo:debutTeam']]","['dbo:formerTeam', 'dbo:publisher', 'dbo:team', 'dbp:debutteam', 'dbp:playedFor']",list,0.5,0.2,0.2857142857142857,19,2,5,"[['dbo:formerTeam'], ['dbo:debutTeam']]","['dbo:formerTeam', 'dbo:team', 'dbp:playedFor', 'dbp:team', 'dbp:youthclubs']",list,"[[36], [20]]"
38,0.5,0.2,0.2857142857142857,11,2,5,What is the occupation of the band members of The Shirelles?,"[['dbo:associatedMusicalArtist'], ['dbo:occupation']]","['dbo:associatedBand', 'dbo:bandMember', 'dbo:instrument', 'dbo:occupation', 'dbp:currentMembers']",factoid,0.5,0.2,0.2857142857142857,11,2,5,"[['dbo:associatedMusicalArtist'], ['dbo:occupation']]","['dbo:instrument', 'dbo:occupation', 'dbp:currentMembers', 'dbp:employer', 'dbp:occupation']",factoid,"[[26], [629]]"
39,0.5,0.2,0.2857142857142857,13,2,5,What is the common ethnicity of the Maike Evers and Francisco Lachowski ?,"[['dbo:ethnicity'], ['dbo:ethnicity']]","['dbo:ethnicity', 'dbo:religion', 'dbo:stateOfOrigin', 'dbp:ethnicity', 'dbp:religion']",factoid,0.5,0.2,0.2857142857142857,13,2,5,"[['dbo:ethnicity'], ['dbo:ethnicity']]","['dbo:ethnicity', 'dbo:family', 'dbo:residence', 'dbp:ethnicity', 'dbp:residence']",factoid,"[[39], [39]]"
40,0.0,0.0,0.0,9,1,5,Give me all breeds of the German Shepherd dog.,[['dbp:breed']],"['dbo:child', 'dbo:family', 'dbo:honours', 'dbo:species', 'dbp:mascot']",list,0.0,0.0,0.0,9,1,5,[['dbp:breed']],"['dbo:class', 'dbo:ethnicity', 'dbo:family', 'dbo:order', 'dbo:species']",list,[[1]]
41,0.5,0.2,0.2857142857142857,14,2,5,What is the ethnicity of the people working for the Philippines house of representatives?,"[['dbo:occupation'], ['dbo:ethnicity']]","['dbo:almaMater', 'dbo:ethnicity', 'dbo:residence', 'dbp:office', 'dbp:residence']",factoid,0.5,0.2,0.2857142857142857,14,2,5,"[['dbo:occupation'], ['dbo:ethnicity']]","['dbo:ethnicity', 'dbo:party', 'dbo:residence', 'dbp:ethnicity', 'dbp:residence']",factoid,"[[629], [39]]"
42,0.5,0.2,0.2857142857142857,11,2,5,Count the number of different religions that field marshals have followed?,"[['dbo:militaryRank'], ['dbo:religion']]","['dbo:field', 'dbo:profession', 'dbo:religion', 'dbp:fields', 'dbp:religion']",count,0.5,0.2,0.2857142857142857,11,2,5,"[['dbo:militaryRank'], ['dbo:religion']]","['dbo:militaryBranch', 'dbo:profession', 'dbo:religion', 'dbp:religion', 'dbp:veneratedIn']",count,"[[7], [257]]"
43,0.0,0.0,0.0,8,2,5,Where are jockeys in Dubai World Cup from?,"[['dbo:race'], ['dbp:birthPlace']]","['dbo:birthPlace', 'dbo:country', 'dbo:hometown', 'dbo:location', 'dbo:nationality']",factoid,0.5,0.2,0.2857142857142857,8,2,5,"[['dbo:race'], ['dbp:birthPlace']]","['dbo:birthPlace', 'dbo:country', 'dbo:hometown', 'dbo:nationality', 'dbp:birthPlace']",factoid,"[[6], [1526]]"
44,0.5,0.2,0.2857142857142857,11,2,5,What is the deathplace of people who have worked in Ethics?,"[['dbp:mainInterests'], ['dbp:placeOfDeath']]","['dbo:deathPlace', 'dbo:employer', 'dbo:occupation', 'dbp:deathPlace', 'dbp:placeOfDeath']",factoid,0.5,0.2,0.2857142857142857,11,2,5,"[['dbp:mainInterests'], ['dbp:placeOfDeath']]","['dbo:author', 'dbo:knownFor', 'dbo:notableWork', 'dbp:fields', 'dbp:mainInterests']",factoid,"[[14], [32]]"
45,0.0,0.0,0.0,10,2,5,In which municipalities does the NYC housing authority own buildings?,"[['dbo:owningOrganisation'], ['dbo:municipality']]","['dbo:deathPlace', 'dbo:localAuthority', 'dbo:location', 'dbo:tenant', 'dbp:governingBody']",factoid,0.0,0.0,0.0,10,2,5,"[['dbo:owningOrganisation'], ['dbo:municipality']]","['dbo:builder', 'dbo:location', 'dbo:maintainedBy', 'dbo:tenant', 'dbp:owner']",factoid,"[[9], [9]]"
46,0.0,0.0,0.0,9,2,5,How many years was the Ford Model T manufactured?,"[['dbo:productionEndYear'], ['dbo:productionStartYear']]","['dbo:automobilePlatform', 'dbo:child', 'dbo:manufacturer', 'dbo:predecessor', 'dbp:related']",count,0.0,0.0,0.0,9,2,5,"[['dbo:productionEndYear'], ['dbo:productionStartYear']]","['dbo:class', 'dbo:layout', 'dbo:manufacturer', 'dbo:successor', 'dbp:related']",count,"[[1], [1]]"
47,0.0,0.0,0.0,6,1,5,When was Alberta admitted as province?,[['dbp:admittancedate']],"['dbo:country', 'dbo:province', 'dbo:type', 'dbp:birthPlace', 'dbp:province']",factoid,0.0,0.0,0.0,6,1,5,[['dbp:admittancedate']],"['dbo:capital', 'dbo:largestCity', 'dbp:country', 'dbp:locationCountry', 'dbp:placeOfBirth']",factoid,[[2]]
48,0.5,0.2,0.2857142857142857,10,2,5,Name some people working at someplace owned by News Corp.,"[['dbp:owners'], ['dbo:employer']]","['dbo:employer', 'dbo:occupation', 'dbo:owner', 'dbo:owningCompany', 'dbp:employer']",list,0.0,0.0,0.0,10,2,5,"[['dbp:owners'], ['dbo:employer']]","['dbo:location', 'dbo:owner', 'dbo:owningCompany', 'dbp:foundation', 'dbp:owner']",list,"[[6], [18]]"
49,0.5,0.2,0.2857142857142857,14,2,5,List the origin of the weapons which were used in the American Revolutionary War.,"[['dbo:usedInWar'], ['dbp:origin']]","['dbo:battle', 'dbo:origin', 'dbp:genre', 'dbp:office', 'dbp:origin']",list,0.0,0.0,0.0,14,2,5,"[['dbo:usedInWar'], ['dbp:origin']]","['dbo:birthPlace', 'dbo:currency', 'dbo:genre', 'dbo:hometown', 'dbo:origin']",list,"[[3], [12]]"
50,0.0,0.0,0.0,10,1,5,President of Ghana is the leader title of which country?,[['dbp:leaderTitle']],"['dbo:country', 'dbo:genre', 'dbo:leader', 'dbo:leaderName', 'dbp:leaderName']",list,0.0,0.0,0.0,10,1,5,[['dbp:leaderTitle']],"['dbo:capital', 'dbo:country', 'dbo:leader', 'dbo:leaderName', 'dbp:allegiance']",list,[[5]]
51,0.5,0.2,0.2857142857142857,11,2,5,Where does the network cofounded by Seewoosagur Ramgoolam air its shows?,"[['dbp:founder'], ['dbp:broadcastArea']]","['dbo:birthPlace', 'dbo:foundedBy', 'dbo:network', 'dbp:founder', 'dbp:network']",factoid,0.0,0.0,0.0,11,2,5,"[['dbp:founder'], ['dbp:broadcastArea']]","['dbo:network', 'dbp:company', 'dbp:distributor', 'dbp:network', 'dbp:sisterNames']",factoid,"[[25], [11]]"
52,0.5,0.2,0.2857142857142857,18,2,5,"Who  has these major shrines  : Emmitsburg, Maryland and Shrine of St. Elizabeth Ann Bayley Seton?","[['dbo:majorShrine'], ['dbo:majorShrine']]","['dbo:majorShrine', 'dbp:birthPlace', 'dbp:majorShrine', 'dbp:placeOfBirth', 'dbp:veneratedIn']",factoid,0.0,0.0,0.0,18,2,5,"[['dbo:majorShrine'], ['dbo:majorShrine']]","['dbo:location', 'dbo:restingPlace', 'dbp:placeOfBurial', 'dbp:restingPlace', 'dbp:restingplace']",factoid,"[[6], [6]]"
53,0.0,0.0,0.0,7,1,5,Who was on the Apollo 11 mission?,[['dbp:crewMembers']],"['dbo:locatedInArea', 'dbo:mission', 'dbo:writer', 'dbp:mission', 'dbp:type']",factoid,0.0,0.0,0.0,7,1,5,[['dbp:crewMembers']],"['dbo:musicComposer', 'dbo:publisher', 'dbp:mission', 'dbp:modes', 'dbp:type']",factoid,[[1]]
54,0.5,0.2,0.2857142857142857,17,2,5,What is the television show with presentator as Ryan Seacrest and theme music composer as Julian Gingell?,"[['dbo:presenter'], ['dbp:themeMusicComposer']]","['dbp:channel', 'dbp:company', 'dbp:creator', 'dbp:genre', 'dbp:themeMusicComposer']",factoid,0.5,0.2,0.2857142857142857,17,2,5,"[['dbo:presenter'], ['dbp:themeMusicComposer']]","['dbo:associatedBand', 'dbo:musicComposer', 'dbp:creator', 'dbp:music', 'dbp:themeMusicComposer']",factoid,"[[10], [28]]"
55,0.5,0.2,0.2857142857142857,13,2,5,Where is Tahual located which is also the country of Ren Romano ?,"[['dbp:citizenship'], ['dbp:location']]","['dbo:country', 'dbo:region', 'dbp:location', 'dbp:locationCountry', 'dbp:region']",factoid,0.0,0.0,0.0,13,2,5,"[['dbp:citizenship'], ['dbp:location']]","['dbo:capital', 'dbo:country', 'dbo:nationality', 'dbo:region', 'dbp:locationCountry']",factoid,"[[7], [22]]"
56,0.5,0.2,0.2857142857142857,12,2,5,Which genre of books does the writer of The Many Hands write?,"[['dbp:author'], ['dbo:genre']]","['dbo:author', 'dbo:literaryGenre', 'dbp:author', 'dbp:subject', 'dbp:writer']",factoid,0.0,0.0,0.0,12,2,5,"[['dbp:author'], ['dbo:genre']]","['dbo:author', 'dbo:literaryGenre', 'dbo:nonFictionSubject', 'dbo:notableWork', 'dbo:occupation']",factoid,"[[24], [5588]]"
57,0.5,0.2,0.2857142857142857,17,2,5,What is the headquarters of the public transit system which is the system of Bottineau LRT ?,"[['dbp:system'], ['dbp:headquarters']]","['dbo:manufacturer', 'dbo:owningOrganisation', 'dbo:type', 'dbp:headquarters', 'dbp:operator']",factoid,0.5,0.2,0.2857142857142857,17,2,5,"[['dbp:system'], ['dbp:headquarters']]","['dbo:operator', 'dbo:regionServed', 'dbp:foundation', 'dbp:headquarters', 'dbp:services']",factoid,"[[4], [32]]"
58,0.5,0.2,0.2857142857142857,17,2,5,"How many awards have been received by graduates of University of Melbourne, Faculty of VCA & MCM?","[['dbo:training'], ['dbo:award']]","['dbo:almaMater', 'dbo:award', 'dbp:awards', 'dbp:education', 'dbp:prizes']",count,0.5,0.2,0.2857142857142857,17,2,5,"[['dbo:training'], ['dbo:award']]","['dbo:almaMater', 'dbo:award', 'dbp:almaMater', 'dbp:awards', 'dbp:prizes']",count,"[[9], [67]]"
