,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right
1952,1.0,1.0,1.0,11,1,1,Name a city that starts with an 'f' in sacramento county,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]",['dbo:location'],0.0,0.0,0.0,11,1,0,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]",[]
2101,1.0,1.0,1.0,5,1,1,what is andré gumprecht's nationality,[['dbo:birthPlace']],['dbo:birthPlace'],0.0,0.0,0.0,5,1,1,[['dbo:birthPlace']],['dbo:nationality']
2144,0.5,1.0,0.6666666666666666,17,2,1,What is the headquarters of the public transit system which is the section of Red Ahead ?,"[['dbo:isPartOf'], ['dbp:headquarters']]",['dbp:headquarters'],0.0,0.0,0.0,17,2,0,"[['dbo:isPartOf'], ['dbp:headquarters']]",[]
2166,1.0,1.0,1.0,8,1,1,what art forms did pier francesco mola create,[['dbo:field']],['dbo:field'],0.0,0.0,0.0,8,1,1,[['dbo:field']],['dbo:movement']
2177,1.0,0.5,0.6666666666666666,7,1,2,Who was Vincent van Gogh inspired by?,[['dbo:influenced']],"['dbo:influenced', 'dbo:influencedBy']",0.0,0.0,0.0,7,1,1,[['dbo:influenced']],['dbo:influencedBy']
2222,1.0,1.0,1.0,4,1,1,Who is les schwab?,[['dbo:occupation']],['dbo:occupation'],0.0,0.0,0.0,4,1,0,[['dbo:occupation']],[]
2313,0.5,1.0,0.6666666666666666,10,2,1,Count all the games whose distributors are located in America,"[['dbp:country'], ['dbp:distributor']]",['dbp:distributor'],0.0,0.0,0.0,10,2,0,"[['dbp:country'], ['dbp:distributor']]",[]
2485,1.0,1.0,1.0,6,1,1,what albums are by black sabbath?,[['dbo:artist']],['dbo:artist'],0.0,0.0,0.0,6,1,1,[['dbo:artist']],['dbo:type']
2607,1.0,1.0,1.0,5,1,1,who wrote the martian child,[['dbo:author']],['dbo:author'],0.0,0.0,0.0,5,1,1,[['dbo:author']],['dbo:writer']
2611,1.0,0.5,0.6666666666666666,6,1,2,where did simon dominic originate from,[['dbo:birthPlace']],"['dbo:birthPlace', 'dbo:hometown']",0.0,0.0,0.0,6,1,1,[['dbo:birthPlace']],['dbo:hometown']
2701,0.5,1.0,0.6666666666666666,14,2,1,List the people died in Hyderabad and are a member of political party ?,"[['dbo:deathPlace'], ['dbo:party']]",['dbo:deathPlace'],0.0,0.0,0.0,14,2,0,"[['dbo:deathPlace'], ['dbo:party']]",[]
2756,1.0,1.0,1.0,7,1,1,what kind of program was frannie's turn?,[['dbo:genre']],['dbo:genre'],0.0,0.0,0.0,7,1,1,[['dbo:genre']],['dbp:genre']
2761,1.0,1.0,1.0,9,1,1,What is the name of a notable ballet artist,[['dbo:genre']],['dbo:genre'],0.0,0.0,0.0,9,1,1,[['dbo:genre']],['dbo:occupation']
2766,0.5,1.0,0.6666666666666666,13,2,1,What is the place of birth of the stars of Auto Shankar ?,"[['dbp:starring'], ['dbo:birthPlace']]",['dbo:birthPlace'],0.5,0.5,0.5,13,2,2,"[['dbp:starring'], ['dbo:birthPlace']]","['dbo:birthPlace', 'dbo:starring']"
2852,1.0,1.0,1.0,5,1,1,where was jános vass deliveed,[['dbo:birthPlace']],['dbo:birthPlace'],0.0,0.0,0.0,5,1,1,[['dbo:birthPlace']],['dbo:country']
2878,0.5,1.0,0.6666666666666666,11,2,1,"List all the movies whose directors were born in Kenosha, Wisconsin?","[['dbo:birthPlace'], ['dbp:director']]",['dbo:birthPlace'],0.0,0.0,0.0,11,2,0,"[['dbo:birthPlace'], ['dbp:director']]",[]
2880,0.5,0.5,0.5,12,2,2,Which awards have been given to both Ingmar Bergman and Charles LeMaire?,"[['dbp:awards'], ['dbp:awards']]","['dbo:award', 'dbp:awards']",0.5,0.5,0.5,12,2,2,"[['dbp:awards'], ['dbp:awards']]","['dbo:award', 'dbp:awards']"
2891,1.0,1.0,1.0,11,1,1,is hymn of the nations in the english language or french,[['dbo:language']],['dbo:language'],0.0,0.0,0.0,11,1,1,[['dbo:language']],['dbo:spokenIn']
2910,1.0,1.0,1.0,5,1,1,who produced school for scoundrels,[['dbp:studio']],['dbp:studio'],0.0,0.0,0.0,5,1,1,[['dbp:studio']],['dbo:producer']
2974,0.5,1.0,0.6666666666666666,10,2,1,What is the religion of the relatives of Ananda Weerasekara?,"[['dbo:relation'], ['dbo:religion']]",['dbo:religion'],0.0,0.0,0.0,10,2,0,"[['dbo:relation'], ['dbo:religion']]",[]
