,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,question_type_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right,question_type_right
14,1.0,1.0,1.0,6,1,2,what politician was born in wuppertal,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid,1.0,1.0,1.0,6,1,2,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid
16,1.0,1.0,1.0,9,1,1,which artist is signed to sony bmg music entertainment,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,1.0,1.0,1.0,9,1,1,[['dbo:recordLabel']],['dbo:recordLabel'],factoid
17,1.0,1.0,1.0,7,1,1,who is one of kamal jumblatt's children,"[['dbo:parent', 'dbo:child']]",['dbo:child'],factoid,1.0,1.0,1.0,7,1,2,"[['dbo:parent', 'dbo:child']]","['dbo:child', 'dbo:parent']",factoid
19,1.0,0.6666666666666666,0.8,6,1,3,what is located in barren county?,"[['dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location', 'dbo:region']",factoid,1.0,1.0,1.0,6,1,2,"[['dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location']",factoid
20,1.0,1.0,1.0,8,1,1,which record company is stina nordenstam signed to,[['dbo:recordLabel']],['dbo:recordLabel'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:recordLabel']],['dbo:recordLabel'],factoid
21,1.0,1.0,1.0,11,1,1,is the show the shadow line a drama or a comedy,[['dbo:genre']],['dbo:genre'],boolean,1.0,0.5,0.6666666666666666,11,1,2,[['dbo:genre']],"['dbo:genre', 'dbp:genre']",boolean
22,1.0,1.0,1.0,9,1,1,List a ps4 game published by sony computer entertainment,[['dbo:publisher']],['dbo:publisher'],list,1.0,1.0,1.0,9,1,1,[['dbo:publisher']],['dbo:publisher'],list
23,1.0,1.0,1.0,9,1,7,name a census designated place in washington (u.s. state),"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list,1.0,1.0,1.0,9,1,7,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list
25,1.0,1.0,1.0,7,1,1,what type of lake is lake taylorville,[['dbo:type']],['dbo:type'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:type']],['dbo:type'],factoid
26,1.0,1.0,1.0,7,1,1,what weight class is harry wills in?,[['dbp:weight']],['dbp:weight'],factoid,1.0,1.0,1.0,7,1,1,[['dbp:weight']],['dbp:weight'],factoid
27,1.0,1.0,1.0,8,1,1,What is a film that laurence fishburne produced?,[['dbo:producer']],['dbo:producer'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:producer']],['dbo:producer'],factoid
28,1.0,1.0,1.0,7,1,1,Name an album from The Righteous Brothers.,[['dbo:artist']],['dbo:artist'],list,1.0,1.0,1.0,7,1,1,[['dbo:artist']],['dbo:artist'],list
29,1.0,1.0,1.0,6,1,1,what religion does dési bouterse practice,[['dbo:religion']],['dbo:religion'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:religion']],['dbo:religion'],factoid
30,1.0,1.0,1.0,7,1,1,Who wrote the film city of joy?,[['dbo:writer']],['dbo:writer'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:writer']],['dbo:writer'],factoid
31,1.0,1.0,1.0,7,1,1,where did john logie baird pass away,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:deathPlace']],['dbo:deathPlace'],factoid
33,1.0,1.0,1.0,10,1,1,What is the name of one of chet atkins albums,[['dbo:artist']],['dbo:artist'],factoid,1.0,1.0,1.0,10,1,1,[['dbo:artist']],['dbo:artist'],factoid
34,1.0,1.0,1.0,8,1,2,"where is santa clara pueblo, new mexico located?","[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid,1.0,1.0,1.0,8,1,1,"[['dbo:country', 'dbo:isPartOf']]",['dbo:isPartOf'],factoid
35,1.0,1.0,1.0,6,1,1,who composed run for your life,[['dbo:writer']],['dbo:writer'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:writer']],['dbo:writer'],factoid
36,1.0,1.0,1.0,5,1,1,what event occurred in italy,[['dbo:place']],['dbo:place'],factoid,1.0,1.0,1.0,5,1,1,[['dbo:place']],['dbo:place'],factoid
37,1.0,1.0,1.0,6,1,1,"Where did richard maltby, sr. die",[['dbo:deathPlace']],['dbo:deathPlace'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:deathPlace']],['dbo:deathPlace'],factoid
39,1.0,0.5,0.6666666666666666,8,1,2,Which Nigerian football player was born in Kalba?,[['dbo:birthPlace']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid,1.0,0.5,0.6666666666666666,8,1,2,[['dbo:birthPlace']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid
40,1.0,1.0,1.0,8,1,1,in what genre does leon haywood perform in,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],factoid
41,1.0,1.0,1.0,8,1,1,what's the name of a famous acting teacher,[['dbo:occupation']],['dbo:occupation'],list,1.0,1.0,1.0,8,1,1,[['dbo:occupation']],['dbo:occupation'],list
42,1.0,1.0,1.0,7,1,1,Łosice  belongs to which time zone,[['dbo:timeZone']],['dbo:timeZone'],list,1.0,1.0,1.0,7,1,1,[['dbo:timeZone']],['dbo:timeZone'],list
44,0.5,1.0,0.6666666666666666,10,2,1,How many services does the company who made Onedrive provide?,"[['dbo:service'], ['dbp:services']]",['dbp:services'],count,0.5,1.0,0.6666666666666666,10,2,1,"[['dbo:service'], ['dbp:services']]",['dbp:services'],count
46,1.0,1.0,1.0,8,1,1,what is a book in the genre fiction,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid
47,1.0,1.0,1.0,6,1,5,Name a lake contained within Australia.,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",list,1.0,1.0,1.0,6,1,7,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list
48,1.0,1.0,1.0,8,1,1,what is a mountain within the mourne mountains,[['dbo:mountainRange']],['dbo:mountainRange'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:mountainRange']],['dbo:mountainRange'],factoid
49,1.0,1.0,1.0,11,1,1,What type of rock is played on otteita tuomari nurmion laulukirjasta,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,11,1,1,[['dbo:genre']],['dbo:genre'],factoid
50,1.0,0.5,0.6666666666666666,9,1,2,who is a military leader born in kangaroo point,[['dbo:birthPlace']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid,1.0,0.5,0.6666666666666666,9,1,2,[['dbo:birthPlace']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid
52,1.0,1.0,1.0,7,1,1,what music genre is north from here?,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:genre']],['dbo:genre'],factoid
53,1.0,1.0,1.0,8,1,1,which organizations did the sisters of mercy founded?,[['dbo:foundedBy']],['dbo:foundedBy'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:foundedBy']],['dbo:foundedBy'],factoid
54,1.0,1.0,1.0,8,1,1,what position does marcell takács play in soccer?,[['dbo:position']],['dbo:position'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:position']],['dbo:position'],factoid
55,1.0,1.0,1.0,8,1,1,where would you find the cologne bonn airport,"[['dbo:city', 'dbo:location']]",['dbo:city'],factoid,1.0,1.0,1.0,8,1,1,"[['dbo:city', 'dbo:location']]",['dbo:city'],factoid
56,1.0,1.0,1.0,6,1,1,what books have susan estrich written?,[['dbo:author']],['dbo:author'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:author']],['dbo:author'],factoid
57,1.0,1.0,1.0,7,1,1,which movie is directed by fred wilcox,[['dbo:director']],['dbo:director'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:director']],['dbo:director'],factoid
58,1.0,1.0,1.0,7,1,1,Who was a businessman from the 1900s?,[['dbo:occupation']],['dbo:occupation'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:occupation']],['dbo:occupation'],factoid
59,1.0,1.0,1.0,7,1,1,What type of videogame is fifa street?,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:genre']],['dbo:genre'],factoid
60,1.0,1.0,1.0,8,1,6,what is an attraction to see in ohio,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,1.0,1.0,1.0,8,1,1,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]",['dbo:location'],factoid
61,1.0,1.0,1.0,6,1,1,who is the director of hiatus,[['dbo:director']],['dbo:director'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:director']],['dbo:director'],factoid
63,1.0,1.0,1.0,6,1,1,What position does roger vonlanthen play,[['dbo:position']],['dbo:position'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:position']],['dbo:position'],factoid
64,0.5,1.0,0.6666666666666666,11,2,1,Count the total religions followed by the ones living in England.,"[['dbp:residence'], ['dbp:religion']]",['dbp:religion'],count,0.5,1.0,0.6666666666666666,11,2,1,"[['dbp:residence'], ['dbp:religion']]",['dbp:religion'],count
65,1.0,1.0,1.0,8,1,1,dan fogel creates what kind of music genre,[['dbo:genre']],['dbo:genre'],list,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],list
66,1.0,1.0,1.0,7,1,1,what is an album recorded by gillan,[['dbo:artist']],['dbo:artist'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:artist']],['dbo:artist'],factoid
67,1.0,1.0,1.0,6,1,1,What's an album from serj tankian,[['dbo:artist']],['dbo:artist'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:artist']],['dbo:artist'],factoid
68,1.0,1.0,1.0,8,1,1,What sort of music does tevin campbell perform,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],factoid
71,1.0,1.0,1.0,7,1,1,Who is an artist of nashville sound?,[['dbo:genre']],['dbo:genre'],factoid,1.0,0.5,0.6666666666666666,7,1,2,[['dbo:genre']],"['dbo:genre', 'dbo:recordLabel']",factoid
72,1.0,1.0,1.0,6,1,1,Where was high tide filmed at?,[['dbo:country']],['dbo:country'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:country']],['dbo:country'],factoid
73,1.0,1.0,1.0,8,1,1,psilodump typically creates what kind of electronic music?,[['dbo:genre']],['dbo:genre'],list,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],list
74,1.0,1.0,1.0,7,1,1,what is a game developed by gameloft?,[['dbo:developer']],['dbo:developer'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:developer']],['dbo:developer'],factoid
75,0.5,1.0,0.6666666666666666,12,2,1,What is a common ingredient used in boyt Blodpalt and Kaszanka ?,"[['dbo:ingredient'], ['dbo:ingredient']]",['dbo:ingredient'],factoid,0.5,1.0,0.6666666666666666,12,2,1,"[['dbo:ingredient'], ['dbo:ingredient']]",['dbo:ingredient'],factoid
76,1.0,1.0,1.0,9,1,1,who was the producer of the film gross anatomy,[['dbo:producer']],['dbo:producer'],factoid,1.0,1.0,1.0,9,1,1,[['dbo:producer']],['dbo:producer'],factoid
78,1.0,0.5,0.6666666666666666,5,1,2,Where is scotland landing located?,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:location']",factoid,1.0,1.0,1.0,5,1,2,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid
79,1.0,1.0,1.0,5,1,1,where did william gaddis die,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,1.0,1.0,1.0,5,1,1,[['dbo:deathPlace']],['dbo:deathPlace'],factoid
80,1.0,1.0,1.0,8,1,1,who has the profession of a film director?,[['dbo:occupation']],['dbo:occupation'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:occupation']],['dbo:occupation'],factoid
81,1.0,1.0,1.0,6,1,1,where was  lisa edelstein born,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
82,1.0,1.0,1.0,6,1,1,what position does franco cucinotta play,[['dbo:position']],['dbo:position'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:position']],['dbo:position'],factoid
83,1.0,1.0,1.0,8,1,1,what kind of music does john waite make,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],factoid
85,1.0,1.0,1.0,8,1,1,What is a book written by georgette heyer?,[['dbo:author']],['dbo:author'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:author']],['dbo:author'],factoid
87,1.0,1.0,1.0,8,1,1,What's a book written by carol ann duffy,[['dbo:author']],['dbo:author'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:author']],['dbo:author'],factoid
88,1.0,1.0,1.0,7,1,1,Where in france did yves giraud-cabantous die,"[['dbp:deathPlace', 'dbo:deathPlace']]",['dbo:deathPlace'],factoid,1.0,1.0,1.0,7,1,1,"[['dbp:deathPlace', 'dbo:deathPlace']]",['dbo:deathPlace'],factoid
89,1.0,1.0,1.0,11,1,1,What type of release was the album detras de tu mirada?,[['dbo:type']],['dbo:type'],factoid,1.0,1.0,1.0,11,1,1,[['dbo:type']],['dbo:type'],factoid
90,1.0,1.0,1.0,7,1,1,what style of architecture is pittock mansion,[['dbo:architecturalStyle']],['dbo:architecturalStyle'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:architecturalStyle']],['dbo:architecturalStyle'],factoid
91,1.0,1.0,1.0,6,1,1,what industry is dubai holding in,[['dbo:industry']],['dbo:industry'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:industry']],['dbo:industry'],factoid
92,1.0,1.0,1.0,7,1,1,What is an example of a soundtrack?,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:genre']],['dbo:genre'],factoid
93,1.0,1.0,1.0,8,1,1,What baseball position does jonathan hurst  play,[['dbo:position']],['dbo:position'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:position']],['dbo:position'],factoid
94,1.0,1.0,1.0,5,1,1,Who is a funk artist,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,5,1,1,[['dbo:genre']],['dbo:genre'],factoid
96,1.0,1.0,1.0,6,1,1,what kind of release was picture,[['dbo:type']],['dbo:type'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:type']],['dbo:type'],factoid
97,1.0,1.0,1.0,8,1,1,what kind of music is monstro known for?,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],factoid
100,1.0,1.0,1.0,8,1,1,How was for those who think young released,[['dbo:type']],['dbo:type'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:type']],['dbo:type'],factoid
101,1.0,1.0,1.0,7,1,1,Whats the architectural style of withers-chapman house,[['dbo:architecturalStyle']],['dbo:architecturalStyle'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:architecturalStyle']],['dbo:architecturalStyle'],factoid
102,1.0,1.0,1.0,6,1,1,Which religion does val butnaru practice?,[['dbo:religion']],['dbo:religion'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:religion']],['dbo:religion'],factoid
103,1.0,1.0,1.0,5,1,1,Where was ron perlman born?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,1.0,1.0,1.0,5,1,1,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
104,1.0,1.0,1.0,5,1,1,where did shanu lahiri die?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,1.0,1.0,1.0,5,1,1,[['dbo:deathPlace']],['dbo:deathPlace'],factoid
105,1.0,1.0,1.0,8,1,2,whats an example of a comedy tv program,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",factoid,1.0,1.0,1.0,8,1,2,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",factoid
106,1.0,1.0,1.0,7,1,1,What position does walter de vecchi play,[['dbo:position']],['dbo:position'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:position']],['dbo:position'],factoid
107,1.0,1.0,1.0,6,1,1,What's the time zone in chrisney,[['dbo:timeZone']],['dbo:timeZone'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:timeZone']],['dbo:timeZone'],factoid
108,1.0,0.6666666666666666,0.8,16,1,3,"This man known for being a film director, screenwriter and film editor was born in beirut.","[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbo:occupation', 'dbp:birthPlace']",list,1.0,1.0,1.0,16,1,2,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",list
109,1.0,1.0,1.0,12,1,1,is speculative fiction or comedic non-fiction the genre of the beginning place,[['dbo:literaryGenre']],['dbo:literaryGenre'],boolean,1.0,1.0,1.0,12,1,1,[['dbo:literaryGenre']],['dbo:literaryGenre'],boolean
112,1.0,1.0,1.0,10,1,1,What genre of book is the naming of the dead,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid,1.0,1.0,1.0,10,1,1,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid
113,1.0,1.0,1.0,11,1,1,What is the name of a track by artist nelly furtado?,[['dbo:artist']],['dbo:artist'],factoid,1.0,1.0,1.0,11,1,1,[['dbo:artist']],['dbo:artist'],factoid
114,1.0,1.0,1.0,8,1,2,Which Dutch baseball player was born in curaçao?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid,1.0,1.0,1.0,8,1,2,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid
115,1.0,1.0,1.0,6,1,1,which instrument did george morgan play,[['dbo:instrument']],['dbo:instrument'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:instrument']],['dbo:instrument'],factoid
116,1.0,1.0,1.0,7,1,2,"what is in san mateo county, california?","[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location']",factoid,1.0,0.8,0.888888888888889,7,1,5,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]","['dbo:city', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",factoid
117,1.0,1.0,1.0,9,1,1,Which country was mohd khyril muhymeen zambri born in,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,1.0,1.0,1.0,9,1,1,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
119,1.0,1.0,1.0,8,1,1,Who was a politician that died from complication?,[['dbo:deathCause']],['dbo:deathCause'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:deathCause']],['dbo:deathCause'],factoid
120,1.0,1.0,1.0,8,1,1,what kind of music is on everybody's crazy?,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],factoid
121,1.0,1.0,1.0,5,1,1,what timezone is szolnok in,[['dbo:timeZone']],['dbo:timeZone'],factoid,1.0,1.0,1.0,5,1,1,[['dbo:timeZone']],['dbo:timeZone'],factoid
122,1.0,1.0,1.0,7,1,2,What attraction is located in park county,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location']",factoid,1.0,1.0,1.0,7,1,1,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]",['dbo:location'],factoid
123,1.0,1.0,1.0,6,1,1,who was born in oriente province,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,1.0,0.5,0.6666666666666666,6,1,2,[['dbo:birthPlace']],"['dbo:birthPlace', 'dbp:birthPlace']",factoid
126,1.0,1.0,1.0,6,1,1,What genre is the book Vurt.,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid
127,0.5,1.0,0.6666666666666666,13,2,1,What show had NTSC format and theme music composed by  Ron Grainer?,"[['dbo:format'], ['dbp:themeMusicComposer']]",['dbp:themeMusicComposer'],factoid,0.5,1.0,0.6666666666666666,13,2,1,"[['dbo:format'], ['dbp:themeMusicComposer']]",['dbp:themeMusicComposer'],factoid
128,1.0,1.0,1.0,9,1,1,What are a few molluscas whose family is Buccinidae?,[['dbo:family']],['dbo:family'],factoid,1.0,1.0,1.0,9,1,1,[['dbo:family']],['dbo:family'],factoid
129,1.0,1.0,1.0,6,1,1,which genre does hundredth play in,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:genre']],['dbo:genre'],factoid
130,0.5,1.0,0.6666666666666666,10,2,1,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]",['dbo:manufacturer'],factoid,0.5,1.0,0.6666666666666666,10,2,1,"[['dbp:founder'], ['dbo:manufacturer']]",['dbo:manufacturer'],factoid
131,1.0,1.0,1.0,7,1,1,what songs are by trans am (band)?,[['dbo:artist']],['dbo:artist'],factoid,1.0,1.0,1.0,7,1,1,[['dbo:artist']],['dbo:artist'],factoid
132,1.0,1.0,1.0,6,1,1,what kind of music is onesidezero,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:genre']],['dbo:genre'],factoid
134,1.0,1.0,1.0,7,1,2,Where did the artist vincent lopez originate,"[['dbo:hometown', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbo:hometown']",factoid,1.0,1.0,1.0,7,1,2,"[['dbo:hometown', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbo:hometown']",factoid
135,1.0,1.0,1.0,9,1,1,who is an artist that plays the bass guitar,[['dbo:instrument']],['dbo:instrument'],factoid,1.0,1.0,1.0,9,1,1,[['dbo:instrument']],['dbo:instrument'],factoid
136,1.0,1.0,1.0,6,1,7,What location is contained in Ohio?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,1.0,1.0,1.0,6,1,7,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid
137,1.0,1.0,1.0,6,1,2,name a place located in pernambuco.,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:location']",list,1.0,1.0,1.0,6,1,7,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list
