,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,question_type_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right,question_type_right,training_count
36,0.0,0.0,0.0,14,2,2,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:manufacturer', 'dbo:successor']",factoid,0.0,0.0,0.0,14,2,1,"[['dbp:manufacturer'], ['dbp:successor']]",['dbo:successor'],factoid,"[[6], [34]]"
37,0.0,0.0,0.0,7,1,1,which film did bertolt brecht contribute to?,[['dbo:writer']],['dbo:musicComposer'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:writer']],['dbo:musicComposer'],factoid,[[1148]]
38,0.0,0.0,0.0,10,1,1,What are the names of books written by george orwell?,[['dbo:literaryGenre']],['dbo:author'],factoid,0.0,0.0,0.0,10,1,1,[['dbo:literaryGenre']],['dbo:author'],factoid,[[750]]
39,0.0,0.0,0.0,5,1,2,what anime aired in 1968?,[['dbo:language']],"['dbo:genre', 'dbp:genre']",factoid,0.0,0.0,0.0,5,1,1,[['dbo:language']],['dbp:genre'],factoid,[[520]]
40,0.0,0.0,0.0,8,1,1,what is an work created by jack mcduff,[['dbo:artist']],['dbo:author'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:artist']],['dbo:creator'],factoid,[[1147]]
41,0.0,0.0,0.0,12,2,1,What are some team members of the team based in Camp Nou?,"[['dbo:homeStadium'], ['dbp:name']]",['dbo:team'],factoid,0.0,0.0,0.0,12,2,1,"[['dbo:homeStadium'], ['dbp:name']]",['dbo:locationCity'],factoid,"[[11], [18]]"
42,0.0,0.0,0.0,6,1,1,what religion does maria alexandrovna follow,[['dbp:religion']],['dbo:religion'],factoid,0.0,0.0,0.0,6,1,1,[['dbp:religion']],['dbo:religion'],factoid,[[78]]
43,0.0,0.0,0.0,9,1,1,How many people are buried in Arlington National Cemetery?,[['dbp:placeofburial']],['dbo:restingPlace'],count,0.0,0.0,0.0,9,1,1,[['dbp:placeofburial']],['dbo:restingPlace'],count,[[8]]
44,0.0,0.0,0.0,5,2,1,Starwood operates in which places?,"[['dbp:operator'], ['dbp:address']]",['dbo:operator'],list,0.0,0.0,0.0,5,2,1,"[['dbp:operator'], ['dbp:address']]",['dbo:city'],list,"[[11], [11]]"
45,0.0,0.0,0.0,5,1,1,Where is mc harvey from?,[['dbo:birthPlace']],['dbo:hometown'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:birthPlace']],['dbo:hometown'],factoid,[[4201]]
46,0.0,0.0,0.0,5,1,1,How did grigori rasputin die?,[['dbo:deathCause']],['dbo:deathPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:deathCause']],['dbo:deathPlace'],factoid,[[319]]
47,0.5,0.5,0.5,17,2,2,List the pole drivers in the grand prixes where Williams Grand Prix Engineering was a first team?,"[['dbp:firstTeam'], ['dbo:poleDriver']]","['dbo:firstDriver', 'dbo:poleDriver']",list,0.0,0.0,0.0,17,2,1,"[['dbp:firstTeam'], ['dbo:poleDriver']]",['dbp:race'],list,"[[8], [6]]"
48,0.0,0.0,0.0,7,1,1,Was Morrissey a member of the Smiths?,[['dbo:formerBandMember']],['dbo:bandMember'],boolean,0.0,0.0,0.0,7,1,1,[['dbo:formerBandMember']],['dbo:bandMember'],boolean,[[10]]
49,0.0,0.0,0.0,12,2,1,List the things for which people of New Orleans are famous for?,"[['dbp:placeOfBirth'], ['dbp:knownFor']]",['dbo:knownFor'],list,0.0,0.0,0.0,12,2,1,"[['dbp:placeOfBirth'], ['dbp:knownFor']]",['dbo:knownFor'],list,"[[41], [20]]"
50,0.0,0.0,0.0,10,1,1,What is the country whose leader name is Grard Larcher?,[['dbp:leaderName']],['dbo:leader'],factoid,0.0,0.0,0.0,10,1,1,[['dbp:leaderName']],['dbo:leader'],factoid,[[13]]
51,0.0,0.0,0.0,9,1,1,What is the debut team of ngel Escobar ?,[['dbp:debutteam']],['dbo:debutTeam'],factoid,0.0,0.0,0.0,9,1,1,[['dbp:debutteam']],['dbo:debutTeam'],factoid,[[21]]
52,0.0,0.0,0.0,5,1,1,what is pato bantons nationality,[['dbo:hometown']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:hometown']],['dbo:birthPlace'],factoid,[[505]]
53,0.0,0.0,0.0,3,1,1,who wrote showdown?,[['dbo:author']],['dbo:writer'],factoid,0.0,0.0,0.0,3,1,1,[['dbo:author']],['dbo:writer'],factoid,[[426]]
54,0.0,0.0,0.0,6,1,1,Where does lord wind hail from?,[['dbo:birthPlace']],['dbo:hometown'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:birthPlace']],['dbo:hometown'],factoid,[[4201]]
55,0.0,0.0,0.0,13,1,1,Is Another Lonely Night in New York by the musical band Robin Gibb?,[['dbo:musicalBand']],['dbo:associatedBand'],boolean,0.0,0.0,0.0,13,1,1,[['dbo:musicalBand']],['dbo:associatedBand'],boolean,[[10]]
56,0.0,0.0,0.0,6,1,2,Which country is greg demos from,[['dbo:nationality']],"['dbo:country', 'dbo:hometown']",factoid,0.0,0.0,0.0,6,1,1,[['dbo:nationality']],['dbo:artist'],factoid,[[266]]
57,0.0,0.0,0.0,8,1,1,which ivy league university did ezra cornell create,[['dbo:foundedBy']],['dbo:creator'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:foundedBy']],['dbo:architect'],factoid,[[73]]
58,0.0,0.0,0.0,15,2,1,What is the person known for who is the movie director of Sleepy-Time Squirrel ?,"[['dbp:director'], ['dbo:knownFor']]",['dbo:director'],factoid,0.0,0.0,0.0,15,2,1,"[['dbp:director'], ['dbo:knownFor']]",['dbo:director'],factoid,"[[19], [40]]"
59,0.0,0.0,0.0,6,1,1,which religion does anaukpetlun primarily practice,[['dbp:religion']],['dbo:religion'],factoid,0.0,0.0,0.0,6,1,1,[['dbp:religion']],['dbo:religion'],factoid,[[78]]
60,0.0,0.0,0.0,22,2,2,Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull?,"[['dbo:keyPerson'], ['dbo:product']]","['dbp:keyPeople', 'dbp:products']",list,0.0,0.0,0.0,22,2,1,"[['dbo:keyPerson'], ['dbo:product']]",['dbp:products'],list,"[[17], [29]]"
61,0.0,0.0,0.0,7,1,1,which album is created by rod stewart,[['dbo:type']],['dbo:recordLabel'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:type']],['dbo:artist'],factoid,[[1160]]
62,0.0,0.0,0.0,9,1,1,What are the awrds won by Laemmle Theatres ?,[['dbo:service']],['dbp:awards'],factoid,0.0,0.0,0.0,9,1,1,[['dbo:service']],['dbp:awards'],factoid,[[9]]
63,0.0,0.0,0.0,7,1,1,How much carbs does peanut butter have?,[['dbp:carbs']],['dbo:ingredient'],factoid,0.0,0.0,0.0,7,1,1,[['dbp:carbs']],['dbo:ingredient'],factoid,[[1]]
64,0.0,0.0,0.0,13,2,1,Who are the relatives of the character after which Quagmire's Quagmire was made?,"[['dbo:subsequentWork'], ['dbo:relative']]",['dbo:creator'],factoid,0.0,0.0,0.0,13,2,1,"[['dbo:subsequentWork'], ['dbo:relative']]",['dbp:relatives'],factoid,"[[31], [22]]"
65,0.0,0.0,0.0,19,2,1,"Of all the teams that Andrew Economos played for, which one did Jerrel Jackson play his first game for?","[['dbo:formerTeam'], ['dbo:debutTeam']]",['dbp:debutteam'],list,0.0,0.0,0.0,19,2,1,"[['dbo:formerTeam'], ['dbo:debutTeam']]",['dbo:team'],list,"[[36], [20]]"
66,0.0,0.0,0.0,12,2,1,Which governor of Charles Willing had a child named John Scott ?,"[['dbo:child'], ['dbo:governor']]",['dbp:children'],factoid,0.0,0.0,0.0,12,2,1,"[['dbo:child'], ['dbo:governor']]",['dbp:children'],factoid,"[[150], [7]]"
67,0.0,0.0,0.0,7,1,1,what is don stenberg's country of origin?,[['dbo:birthPlace']],['dbo:hometown'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:birthPlace']],['dbo:nationality'],factoid,[[4201]]
68,0.0,0.0,0.0,9,1,1,Give me all breeds of the German Shepherd dog.,[['dbp:breed']],['dbp:mascot'],list,0.0,0.0,0.0,9,1,1,[['dbp:breed']],['dbo:species'],list,[[1]]
69,0.0,0.0,0.0,7,1,1,what is lu xuechang's place of birth?,[['dbp:birthPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,7,1,1,[['dbp:birthPlace']],['dbo:birthPlace'],factoid,[[1526]]
70,0.0,0.0,0.0,4,1,1,Where was harold theobald,[['dbo:birthPlace']],['dbo:district'],factoid,0.0,0.0,0.0,4,1,1,[['dbo:birthPlace']],['dbo:deathPlace'],factoid,[[4201]]
71,0.0,0.0,0.0,5,1,1,what genre is tam lin?,[['dbo:literaryGenre']],['dbo:genre'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:literaryGenre']],['dbo:genre'],factoid,[[750]]
72,0.0,0.0,0.0,7,1,1,What is the successor of PlayStation 4,[['dbp:successor']],['dbo:successor'],factoid,0.0,0.0,0.0,7,1,1,[['dbp:successor']],['dbo:successor'],factoid,[[34]]
73,0.0,0.0,0.0,8,2,1,Where are jockeys in Dubai World Cup from?,"[['dbo:race'], ['dbp:birthPlace']]",['dbo:country'],factoid,0.0,0.0,0.0,8,2,1,"[['dbo:race'], ['dbp:birthPlace']]",['dbo:nationality'],factoid,"[[6], [1526]]"
74,0.0,0.0,0.0,7,1,1,which european nation does nembrionic belong to?,[['dbo:hometown']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:hometown']],['dbo:nationality'],factoid,[[505]]
75,0.0,0.0,0.0,13,2,1,Where is the tombstone of the congressman who died in the McLean hospital?,"[['dbo:deathPlace'], ['dbp:restingplace']]",['dbo:restingPlace'],factoid,0.0,0.0,0.0,13,2,1,"[['dbo:deathPlace'], ['dbp:restingplace']]",['dbo:restingPlace'],factoid,"[[1213], [25]]"
76,0.0,0.0,0.0,5,1,1,which group released nuclear blast,[['dbo:recordLabel']],['dbo:publisher'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:recordLabel']],['dbo:hometown'],factoid,[[880]]
77,0.0,0.0,0.0,11,2,1,What is the deathplace of people who have worked in Ethics?,"[['dbp:mainInterests'], ['dbp:placeOfDeath']]",['dbp:deathPlace'],factoid,0.0,0.0,0.0,11,2,1,"[['dbp:mainInterests'], ['dbp:placeOfDeath']]",['dbp:fields'],factoid,"[[14], [32]]"
78,0.0,0.0,0.0,10,2,1,In which municipalities does the NYC housing authority own buildings?,"[['dbo:owningOrganisation'], ['dbo:municipality']]",['dbo:location'],factoid,0.0,0.0,0.0,10,2,1,"[['dbo:owningOrganisation'], ['dbo:municipality']]",['dbo:tenant'],factoid,"[[9], [9]]"
79,0.0,0.0,0.0,9,2,1,How many years was the Ford Model T manufactured?,"[['dbo:productionEndYear'], ['dbo:productionStartYear']]",['dbo:manufacturer'],count,0.0,0.0,0.0,9,2,1,"[['dbo:productionEndYear'], ['dbo:productionStartYear']]",['dbo:manufacturer'],count,"[[1], [1]]"
80,0.0,0.0,0.0,5,1,1,where was saraswathi gora born?,[['dbo:nationality']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:nationality']],['dbo:birthPlace'],factoid,[[266]]
81,0.0,0.0,0.0,6,1,1,where is el condor pasa from,[['dbo:country']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:country']],['dbo:hometown'],factoid,[[2554]]
82,0.0,0.0,0.0,6,1,1,what language is kaffe written in?,[['dbo:programmingLanguage']],['dbo:language'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:programmingLanguage']],['dbo:language'],factoid,[[15]]
83,0.0,0.0,0.0,8,1,1,Which baseball team is owned by Robert Nutting?,[['dbp:owner']],['dbo:position'],factoid,0.0,0.0,0.0,8,1,1,[['dbp:owner']],['dbo:owner'],factoid,[[51]]
84,0.0,0.0,0.0,6,1,1,When was Alberta admitted as province?,[['dbp:admittancedate']],['dbo:province'],factoid,0.0,0.0,0.0,6,1,1,[['dbp:admittancedate']],['dbo:capital'],factoid,[[2]]
85,0.0,0.0,0.0,8,1,1,Which country did anthony acid have nationality in,[['dbo:hometown']],['dbo:nationality'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:hometown']],['dbo:birthPlace'],factoid,[[505]]
86,0.0,0.0,0.0,10,1,1,President of Ghana is the leader title of which country?,[['dbp:leaderTitle']],['dbo:leader'],list,0.0,0.0,0.0,10,1,1,[['dbp:leaderTitle']],['dbo:leader'],list,[[5]]
87,0.0,0.0,0.0,11,2,1,Where does the network cofounded by Seewoosagur Ramgoolam air its shows?,"[['dbp:founder'], ['dbp:broadcastArea']]",['dbo:foundedBy'],factoid,0.0,0.0,0.0,11,2,1,"[['dbp:founder'], ['dbp:broadcastArea']]",['dbp:company'],factoid,"[[25], [11]]"
88,0.0,0.0,0.0,18,2,1,"Who  has these major shrines  : Emmitsburg, Maryland and Shrine of St. Elizabeth Ann Bayley Seton?","[['dbo:majorShrine'], ['dbo:majorShrine']]",['dbp:majorShrine'],factoid,0.0,0.0,0.0,18,2,1,"[['dbo:majorShrine'], ['dbo:majorShrine']]",['dbo:location'],factoid,"[[6], [6]]"
89,0.0,0.0,0.0,6,1,1,what country is rockingham county in?,"[['dbo:region', 'dbo:isPartOf', 'dbo:location']]",['dbo:country'],factoid,0.0,0.0,0.0,6,1,1,"[['dbo:region', 'dbo:isPartOf', 'dbo:location']]",['dbo:country'],factoid,"[[1153, 1891, 1670]]"
90,0.0,0.0,0.0,8,1,1,what city was the birthplace of denny sothern,[['dbp:birthPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,8,1,1,[['dbp:birthPlace']],['dbo:birthPlace'],factoid,[[1526]]
91,0.0,0.0,0.0,8,1,1,what is the nationality of thad h. brown,[['dbo:country']],['dbo:nationality'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:country']],['dbo:nationality'],factoid,[[2554]]
92,0.0,0.0,0.0,9,1,1,which asian city showcasts the gloomy salad days program,[['dbo:country']],['dbo:genre'],factoid,0.0,0.0,0.0,9,1,1,[['dbo:country']],['dbp:genre'],factoid,[[2554]]
93,0.0,0.0,0.0,7,1,1,Who was on the Apollo 11 mission?,[['dbp:crewMembers']],['dbp:mission'],factoid,0.0,0.0,0.0,7,1,1,[['dbp:crewMembers']],['dbp:mission'],factoid,[[1]]
94,0.0,0.0,0.0,6,1,2,Which county is raynham located in,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid,0.0,0.0,0.0,6,1,2,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid,[[1670]]
95,0.0,0.0,0.0,13,2,1,Where is Tahual located which is also the country of Ren Romano ?,"[['dbp:citizenship'], ['dbp:location']]",['dbo:country'],factoid,0.0,0.0,0.0,13,2,1,"[['dbp:citizenship'], ['dbp:location']]",['dbo:country'],factoid,"[[7], [22]]"
96,0.0,0.0,0.0,11,1,1,what kind of comdey is not the end of the world,[['dbo:literaryGenre']],['dbo:type'],factoid,0.0,0.0,0.0,11,1,1,[['dbo:literaryGenre']],['dbo:genre'],factoid,[[750]]
97,0.0,0.0,0.0,6,1,1,what country is tom shapiro from,[['dbo:hometown']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:hometown']],['dbo:birthPlace'],factoid,[[505]]
98,0.0,0.0,0.0,12,2,1,Which genre of books does the writer of The Many Hands write?,"[['dbp:author'], ['dbo:genre']]",['dbo:author'],factoid,0.0,0.0,0.0,12,2,1,"[['dbp:author'], ['dbo:genre']]",['dbo:literaryGenre'],factoid,"[[24], [5588]]"
99,0.0,0.0,0.0,8,1,1,what was eric wyndham white's place of birth,[['dbo:nationality']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:nationality']],['dbo:birthPlace'],factoid,[[266]]
100,0.0,0.0,0.0,6,1,1,Where was Special 26 recorded ?,[['dbp:recorded']],['dbo:recordedIn'],factoid,0.0,0.0,0.0,6,1,1,[['dbp:recorded']],['dbo:country'],factoid,[[6]]
101,0.0,0.0,0.0,7,1,1,Name the university of Alexandre Tichonov ?,[['dbp:university']],['dbo:university'],list,0.0,0.0,0.0,7,1,1,[['dbp:university']],['dbo:university'],list,[[3]]
102,0.0,0.0,0.0,9,1,1,What is the location of the Houses of Parliament?,[['dbo:location']],['dbp:houses'],factoid,0.0,0.0,0.0,9,1,1,[['dbo:location']],['dbp:constituency'],factoid,[[1670]]
103,0.0,0.0,0.0,6,1,1,what state is johnny ross from,[['dbo:hometown']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:hometown']],['dbo:birthPlace'],factoid,[[505]]
104,0.0,0.0,0.0,6,1,1,where was  andrzej pałys born,[['dbo:nationality']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:nationality']],['dbo:birthPlace'],factoid,[[266]]
105,0.0,0.0,0.0,8,1,1,who was a coproducer of the trudell movie,[['dbo:cinematography']],['dbo:producer'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:cinematography']],['dbo:producer'],factoid,[[124]]
106,0.0,0.0,0.0,7,1,1,what album was created by taro hakase,[['dbo:recordLabel']],['dbo:artist'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:recordLabel']],['dbo:artist'],factoid,[[880]]
107,0.0,0.0,0.0,6,1,1,which genre is book of lightning,[['dbo:genre']],['dbo:literaryGenre'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:genre']],['dbo:literaryGenre'],factoid,[[5588]]
108,0.0,0.0,0.0,10,2,1,whose is famous works are Maniac Magee and Wringer ?,"[['dbp:notableworks'], ['dbp:notableworks']]",['dbo:notableWork'],factoid,0.0,0.0,0.0,10,2,1,"[['dbp:notableworks'], ['dbp:notableworks']]",['dbo:notableWork'],factoid,"[[16], [16]]"
109,0.0,0.0,0.0,6,1,1,How many shows does HBO have?,[['dbo:company']],['dbp:genre'],count,0.0,0.0,0.0,6,1,1,[['dbo:company']],['dbo:network'],count,[[11]]
110,0.0,0.0,0.0,6,1,1,what river flows into lake chehaw,[['dbo:outflow']],['dbo:crosses'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:outflow']],['dbo:riverMouth'],factoid,[[16]]
